sample_id,star_position,target_position,reference_line,fixation_line,marker_line
sample_001,12,0.98,-------------,------+------,------+-----*
sample_002,10,0.623,-------------,------+------,------+---*--
sample_003,0,0.952,-------------,------+------,*-----+------
sample_004,1,0.87,-------------,------+------,-*----+------
sample_005,10,0.685,-------------,------+------,------+---*--
sample_006,12,0.946,-------------,------+------,------+-----*
sample_007,11,0.845,-------------,------+------,------+----*-
sample_008,2,0.645,-------------,------+------,--*---+------
sample_009,11,0.883,-------------,------+------,------+----*-
sample_010,2,0.717,-------------,------+------,--*---+------
sample_011,10,0.725,-------------,------+------,------+---*--
sample_012,10,0.656,-------------,------+------,------+---*--
sample_013,1,0.811,-------------,------+------,-*----+------
sample_014,10,0.674,-------------,------+------,------+---*--
sample_015,0,0.944,-------------,------+------,*-----+------
sample_016,11,0.776,-------------,------+------,------+----*-
sample_017,11,0.81,-------------,------+------,------+----*-
sample_018,10,0.673,-------------,------+------,------+---*--
sample_019,0,0.975,-------------,------+------,*-----+------
sample_020,11,0.782,-------------,------+------,------+----*-
sample_021,12,0.986,-------------,------+------,------+-----*
sample_022,10,0.716,-------------,------+------,------+---*--
sample_023,10,0.662,-------------,------+------,------+---*--
sample_024,2,0.679,-------------,------+------,--*---+------
sample_025,10,0.639,-------------,------+------,------+---*--
sample_026,1,0.751,-------------,------+------,-*----+------
sample_027,1,0.761,-------------,------+------,-*----+------
sample_028,10,0.608,-------------,------+------,------+---*--
sample_029,11,0.843,-------------,------+------,------+----*-
sample_030,1,0.791,-------------,------+------,-*----+------
sample_031,0,0.922,-------------,------+------,*-----+------
sample_032,1,0.857,-------------,------+------,-*----+------
sample_033,0,0.957,-------------,------+------,*-----+------
sample_034,11,0.914,-------------,------+------,------+----*-
sample_035,2,0.715,-------------,------+------,--*---+------
sample_036,11,0.773,-------------,------+------,------+----*-
sample_037,0,0.921,-------------,------+------,*-----+------
sample_038,1,0.857,-------------,------+------,-*----+------
sample_039,2,0.631,-------------,------+------,--*---+------
sample_040,11,0.865,-------------,------+------,------+----*-
sample_041,2,0.692,-------------,------+------,--*---+------
sample_042,2,0.691,-------------,------+------,--*---+------
sample_043,1,0.845,-------------,------+------,-*----+------
sample_044,11,0.808,-------------,------+------,------+----*-
sample_045,10,0.722,-------------,------+------,------+---*--
sample_046,1,0.888,-------------,------+------,-*----+------
sample_047,0,0.97,-------------,------+------,*-----+------
sample_048,12,0.98,-------------,------+------,------+-----*
sample_049,11,0.874,-------------,------+------,------+----*-
sample_050,12,0.988,-------------,------+------,------+-----*
sample_051,2,0.624,-------------,------+------,--*---+------
sample_052,11,0.819,-------------,------+------,------+----*-
sample_053,1,0.829,-------------,------+------,-*----+------
sample_054,10,0.649,-------------,------+------,------+---*--
sample_055,1,0.87,-------------,------+------,-*----+------
sample_056,0,0.954,-------------,------+------,*-----+------
sample_057,2,0.745,-------------,------+------,--*---+------
sample_058,2,0.642,-------------,------+------,--*---+------
sample_059,2,0.696,-------------,------+------,--*---+------
sample_060,10,0.747,-------------,------+------,------+---*--
sample_061,2,0.708,-------------,------+------,--*---+------
sample_062,1,0.868,-------------,------+------,-*----+------
sample_063,2,0.612,-------------,------+------,--*---+------
sample_064,10,0.626,-------------,------+------,------+---*--
sample_065,10,0.722,-------------,------+------,------+---*--
sample_066,2,0.605,-------------,------+------,--*---+------
sample_067,11,0.84,-------------,------+------,------+----*-
sample_068,2,0.708,-------------,------+------,--*---+------
sample_069,11,0.893,-------------,------+------,------+----*-
sample_070,0,0.998,-------------,------+------,*-----+------
sample_071,10,0.68,-------------,------+------,------+---*--
sample_072,10,0.75,-------------,------+------,------+---*--
sample_073,2,0.674,-------------,------+------,--*---+------
sample_074,2,0.655,-------------,------+------,--*---+------
sample_075,10,0.619,-------------,------+------,------+---*--
sample_076,12,0.964,-------------,------+------,------+-----*
sample_077,0,0.97,-------------,------+------,*-----+------
sample_078,1,0.876,-------------,------+------,-*----+------
sample_079,10,0.662,-------------,------+------,------+---*--
sample_080,0,0.965,-------------,------+------,*-----+------
sample_081,1,0.891,-------------,------+------,-*----+------
sample_082,10,0.704,-------------,------+------,------+---*--
sample_083,11,0.798,-------------,------+------,------+----*-
sample_084,1,0.783,-------------,------+------,-*----+------
sample_085,11,0.806,-------------,------+------,------+----*-
sample_086,0,0.982,-------------,------+------,*-----+------
sample_087,2,0.691,-------------,------+------,--*---+------
sample_088,10,0.668,-------------,------+------,------+---*--
sample_089,12,0.933,-------------,------+------,------+-----*
sample_090,12,0.923,-------------,------+------,------+-----*
sample_091,11,0.837,-------------,------+------,------+----*-
sample_092,10,0.614,-------------,------+------,------+---*--
sample_093,10,0.673,-------------,------+------,------+---*--
sample_094,10,0.717,-------------,------+------,------+---*--
sample_095,1,0.775,-------------,------+------,-*----+------
sample_096,11,0.839,-------------,------+------,------+----*-
sample_097,0,0.99,-------------,------+------,*-----+------
sample_098,2,0.69,-------------,------+------,--*---+------
sample_099,1,0.802,-------------,------+------,-*----+------
sample_100,2,0.669,-------------,------+------,--*---+------
