"","TE_datasets[j]","Species","Subj_idx","Session","Block","Trial","Stim","Procedure","Duration_Set","Target_Duration","Response"
"1","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,1,"Audiovisual","TE",12,12,15.3
"2","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,2,"Audiovisual","TE",16,16,10
"3","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,3,"Audiovisual","TE",4,4,5.3
"4","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,4,"Audiovisual","TE",3,3,4
"5","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,5,"Audiovisual","TE",4,4,4
"6","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,6,"Audiovisual","TE",6,6,8.4
"7","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,7,"Audiovisual","TE",24,24,23.3
"8","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,8,"Audiovisual","TE",48,48,60
"9","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,9,"Audiovisual","TE",3,3,3.1
"10","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,10,"Audiovisual","TE",4,4,6
"11","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,11,"Audiovisual","TE",3,3,4.2
"12","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,12,"Audiovisual","TE",12,12,9
"13","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,13,"Audiovisual","TE",1.5,1.5,3
"14","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,14,"Audiovisual","TE",4,4,7.5
"15","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,15,"Audiovisual","TE",6,6,7.6
"16","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,16,"Audiovisual","TE",24,24,20.7
"17","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,17,"Audiovisual","TE",64,64,70.1
"18","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,18,"Audiovisual","TE",64,64,45.1
"19","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,19,"Audiovisual","TE",48,48,50.1
"20","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,20,"Audiovisual","TE",12,12,14.9
