scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Linear_weber,1708.2903886736253,0.5390990930476403,0.8508251483474335,44.28444590210867,3,,,0.0
overall,SeqGain_weber,1709.729479889977,0.26252696273427933,0.8493559088343859,44.720608278085635,4,0.9154635194684354,0.024387554242562653,1.4390912163516987
overall,StaticGain_weber,1710.2903886736253,0.1983234730863973,0.8508251511798965,44.28444506125609,4,0.910970259284296,0.0,2.0
overall,Seq_weber,1727.074585464552,4.4950248246592785e-05,0.842993630976518,46.609331119031644,3,,0.07207935300101828,18.78419679092667
overall,Static_weber,1731.2686222511236,5.520883436589343e-06,0.8444297553439244,46.182999393861046,3,,0.038252652240681397,22.97823357749826
overall,Linear_basic,1987.2277760053294,1.449387608002542e-61,0.8544235858173763,43.21620411936538,3,,,278.93738733170403
overall,StaticGain_basic,1989.2277760053357,5.331999032710913e-62,0.8544235858173708,43.21620411936704,4,1.220548628561725,0.0,280.9373873317104
overall,SeqGain_basic,1990.0377447576177,3.556375274209813e-62,0.8540300135992593,43.333041021890786,4,1.2230697873901222,0.009900990099009901,281.7473560839924
overall,Static_basic,2039.82629550353,5.489858575141173e-73,0.8265256880562621,51.49804875000063,3,,0.0,331.53590682990466
overall,Seq_basic,2041.3863229162623,2.5165496790724896e-73,0.8256212562568598,51.766540795738095,3,,0.009900990099009901,333.095934242637
range:long,Linear_weber,731.3110888321701,0.47295071008812384,0.6653622536958266,96.73725906744248,3,,,0.0
range:long,StaticGain_weber,733.3110888321703,0.17398884292883604,0.6653622515044009,96.73725970094101,4,1.4631644478148045,0.22740719467525441,2.0000000000002274
range:long,SeqGain_weber,733.5018967944876,0.1581568393683132,0.6640595932310976,97.11383285281234,4,1.140375938896895,0.009900990099009901,2.1908079623175354
range:long,Static_weber,734.2111437572066,0.11093713766453231,0.6531729591927874,100.26094685584292,3,,0.0,2.9000549250365566
range:long,Seq_weber,734.7872423267988,0.08317230574265752,0.650106962022514,101.14726696120006,3,,0.009900990099009901,3.476153494628761
range:long,Linear_basic,745.1640915407545,0.00046416732467757365,0.6714090029231872,94.9892615597395,3,,,13.853002708584427
range:long,StaticGain_basic,747.1640915407799,0.00017075761601026467,0.6714090029231917,94.98926155973818,4,1.3190514318239621,0.0002130611201080685,15.853002708609779
range:long,SeqGain_basic,747.339326247406,0.00015643299125969542,0.6708326926532059,95.155861641488,4,1.3299337747293634,0.009900990099009901,16.028237415235935
range:long,Static_basic,756.4420382247198,1.6508193802930378e-06,0.6321801522119758,106.32955875000049,3,,0.0,25.130949392549724
range:long,Seq_basic,757.1555912378105,1.1554562091012254e-06,0.6295461763742577,107.09098989697907,3,,0.009900990099009901,25.84450240564047
range:medium,SeqGain_weber,562.8835093088641,0.9970012641019178,0.7573155488467889,16.965909565698777,4,1.5099046021110158,0.42630845927150385,0.0
range:medium,Seq_weber,574.6839878427706,0.0027305765323547065,0.6611850834948525,23.68632685621505,3,,0.1493990443388065,11.800478533906585
range:medium,Linear_weber,581.0580156214236,0.00011275915366305308,0.6495859610493808,24.497213839358047,3,,,18.174506312559515
range:medium,Static_weber,581.0931627056927,0.00011079488604665828,0.6477370782586018,24.62646801314988,3,,0.0,18.209653396828685
range:medium,StaticGain_weber,583.0580156214226,4.148177443654998e-05,0.6495859651079395,24.497213555626885,4,1.2337346481351317,0.17847134358160224,20.174506312558492
range:medium,SeqGain_basic,588.2308445365113,3.1231424892642934e-06,0.722731205740442,19.383678132012697,4,2.2887658367408403,0.4341072443761253,25.34733522764725
range:medium,Linear_basic,606.7382401501808,2.9906246187176037e-10,0.6596204329486381,23.795710541666885,3,,,43.85473084131672
range:medium,StaticGain_basic,608.7382401501814,1.100189313487077e-10,0.6596204329486379,23.795710541666907,4,2.636274910372882,0.4122053764512914,45.85473084131729
range:medium,Static_basic,628.5526174963144,5.480624531508382e-15,0.5766475098555854,29.596292750000043,3,,0.0,65.66910818745032
range:medium,Seq_basic,628.6851854602814,5.129124993608637e-15,0.5760859079091047,29.63555397085962,3,,0.009900990099009901,65.80167615141738
range:short,Linear_weber,388.7935276918665,0.26438246934619114,0.6567538442397074,3.960173689407292,3,,,0.0
range:short,Static_weber,388.79352769186653,0.2643824693461836,0.6567538467624836,3.9601736603009723,3,,0.12709571921685595,5.684341886080802e-14
range:short,Seq_weber,389.019221825759,0.2361694923796331,0.6903125048673087,3.572993461343834,3,,0.10172271053829485,0.22569413389254578
range:short,SeqGain_weber,390.09664735202523,0.13780463203036025,0.6723305893412019,3.7804583012453867,4,0.9191216343994152,0.05400591691759183,1.3031196601587567
range:short,StaticGain_weber,390.79352769186653,0.0972608750786,0.6567538476685014,3.9601736498478686,4,2.5805021375458637,0.6617308422114007,2.000000000000057
range:short,SeqGain_basic,419.73627585778087,5.047778190814683e-08,0.6884232638522352,3.5947904208590007,4,1.6309355755283481,0.1892608555154362,30.942748165914395
range:short,Linear_basic,423.3512636181366,8.281626589216133e-09,0.6704277737197482,3.802411876641398,3,,,34.55773592627014
range:short,StaticGain_basic,425.351263618137,3.046640161630783e-09,0.6704277737197466,3.8024118766414152,4,1.9688442022183896,0.3006174417449136,36.55773592627054
range:short,Static_basic,437.541716548718,6.865907417644911e-12,0.6201790114874925,4.38215275000002,3,,0.0,48.74818885685153
range:short,Seq_basic,437.7726091663854,6.117306601963949e-12,0.619301019645549,4.392282507125128,3,,0.009900990099009901,48.97908147451892
