scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Linear_weber,1917.9203627320003,0.6157149090701243,0.8060167768397103,80.13252103380749,3,,,0.0
overall,StaticGain_weber,1919.9203627319996,0.22650885666972,0.8060167762169737,80.13252129105376,4,0.8049418384121367,0.0,1.9999999999993179
overall,SeqGain_weber,1920.6435752441998,0.15777623426015566,0.8044486496184127,80.78029863795877,4,0.8064213177201661,0.009900990099009901,2.7232125121995523
overall,Static_weber,2015.8247636819287,3.3861728755071373e-22,0.6532423394180931,143.24210659832835,3,,0.15417061215088151,97.90440094992846
overall,Seq_weber,2023.0601359040677,9.090086401812447e-24,0.6166712311825893,158.34926407395,3,,0.08609743245253201,105.13977317206741
overall,Linear_basic,2188.520010009497,1.0700716569792622e-59,0.7953544346437189,84.53702749766767,3,,,270.59964727749684
overall,StaticGain_basic,2190.5200100095017,3.936573631820353e-60,0.7953544346437361,84.53702749766057,4,1.3891316068236568,0.0,272.5996472775014
overall,SeqGain_basic,2192.1313657617557,1.7588018887961048e-60,0.794252288013267,84.99231320025679,4,1.391356403009193,0.009900990099009901,274.2110030297554
overall,Static_basic,2268.375164672697,4.887495270624839e-77,0.732942662596267,110.31870363889306,3,,0.0,350.4548019406966
overall,Seq_basic,2270.087895249716,2.0757336742787657e-77,0.7314136445306749,110.9503256436521,3,,0.009900990099009901,352.1675325177157
range:long,Linear_basic,803.5272282130167,0.21555772163230677,0.5379952407652495,170.2716692140636,3,,,0.0
range:long,Static_weber,803.6375403424133,0.203990343875846,0.529820503293786,173.28446543927646,3,,0.07183386223783544,0.11031212939667512
range:long,Linear_weber,803.6375403424264,0.20399034387451248,0.5298205140307716,173.28446148216474,3,,,0.1103121294097491
range:long,Seq_weber,804.9643149283784,0.10507615424557903,0.5194510044065366,177.10614010637272,3,,0.009900990099009901,1.4370867153617155
range:long,StaticGain_basic,805.5272282133348,0.07929925416166995,0.5379952407645818,170.2716692143097,4,1.6034873835352863,0.16873754125261248,2.0000000003180958
range:long,StaticGain_weber,805.6375403424134,0.07504385370941231,0.5298204987031048,173.28446713117023,4,2.248812785244929,0.5872639375219071,2.110312129396789
range:long,SeqGain_basic,806.2753673915431,0.05455225961351786,0.5345258403651112,171.55031534377443,4,1.3404365466374861,0.009900990099009901,2.7481391785264577
range:long,SeqGain_weber,806.3766485655585,0.05185848400390666,0.5249118809875588,175.09353622678762,4,0.9338108493570106,0.009900990099009901,2.8494203525418698
range:long,Static_basic,810.5398967600523,0.006468177925792931,0.504433338823318,182.6408947500017,3,,0.0,7.012668547035673
range:long,Seq_basic,811.4210182214781,0.004163406957456015,0.5000475007110079,184.2572936319583,3,,0.009900990099009901,7.893790008461451
range:medium,Seq_weber,630.3226964593487,0.6023091308560684,0.729256950974012,31.03719798549709,3,,0.13351120045258896,0.0
range:medium,SeqGain_weber,631.9643082538673,0.2650623079412983,0.7351642888766728,30.359997899615966,4,1.0552942364601379,0.1672587491676813,1.641611794518667
range:medium,Static_weber,635.1607113102808,0.05361148912471289,0.6932431672363046,35.16571371321503,3,,0.09527223807367843,4.838014850932154
range:medium,Linear_weber,635.1607113102831,0.05361148912465195,0.6932431726106151,35.16571309711966,3,,,4.838014850934428
range:medium,StaticGain_weber,637.1607113102809,0.019722564659567114,0.6932431651583646,35.16571395142405,4,2.3424081793546088,0.6137616960336654,6.838014850932268
range:medium,SeqGain_basic,639.7915493767542,0.005292783882416384,0.7168371370082653,32.46096944106978,4,2.4576577519340743,0.2110664891333334,9.46885291740557
range:medium,Linear_basic,645.6327768061583,0.0002852842140096814,0.6937399756131709,35.10876104163537,3,,,15.310080346809627
range:medium,StaticGain_basic,647.6327768061558,0.000104950197225047,0.693739975613148,35.10876104163799,4,3.2321372220331743,0.37038810904216446,17.310080346807126
range:medium,Static_basic,691.7506501042445,2.7599981802566042e-14,0.5142892767699014,55.68046875000114,3,,0.0,61.427953644895865
range:medium,Seq_basic,692.1538675807523,2.2560630527238317e-14,0.5123268524885773,55.90543537858171,3,,0.009900990099009901,61.8311711214036
range:short,Static_weber,431.7200531831109,0.35754621809839515,0.6619194777447219,8.207614646843611,3,,0.21366875298825064,0.0
range:short,Linear_weber,431.72005318311096,0.357546218098385,0.6619194777358006,8.207614647060197,3,,,5.684341886080802e-14
range:short,SeqGain_weber,433.48361432174113,0.14804023069668365,0.6640193558688392,8.156635695636602,4,0.8060286054000796,0.025786908695672565,1.763561138630223
range:short,StaticGain_weber,433.72005318311085,0.13153390290700398,0.6619194761392719,8.20761468581928,4,1.5276429167855385,0.4852650282677479,1.9999999999999432
range:short,Seq_weber,440.13059326181923,0.005333430199526172,0.6726141207310226,7.947979729600891,3,,0.14967820212904756,8.410540078708323
range:short,Linear_basic,496.46989507501115,3.1123087220846345e-15,0.6746037585603386,7.899677093054803,3,,,64.74984189190025
range:short,SeqGain_basic,497.66757596388084,1.7100529940649743e-15,0.6772040296079349,7.836550052805202,4,2.1200229665771992,0.06255932653945634,65.94752278076993
range:short,StaticGain_basic,498.46989507501365,1.1449543934320693e-15,0.6746037585603284,7.899677093055053,4,2.5808566301559686,0.22365497284792457,66.74984189190275
range:short,Static_basic,538.3525336962061,2.5025528015356675e-24,0.505340310415987,12.00890275000004,3,,0.0,106.63248051309523
range:short,Seq_basic,538.8821185931007,1.9203719342839786e-24,0.5027137185307202,12.072668783857853,3,,0.009900990099009901,107.1620654099898
