scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,SeqGain_weber,711.0024124575378,0.46777518012078456,0.8709483010216688,25.66527995038354,4,0.8929896836864036,0.06162979389707809,0.0
overall,Linear_weber,711.3707847151707,0.3890864935352674,0.874389986794047,24.980811403679866,3,,,0.36837225763281367
overall,StaticGain_weber,713.3707847151707,0.1431369218091102,0.8743899868070957,24.980811401084782,4,0.8844664761105765,0.0,2.3683722576328137
overall,Seq_weber,736.4718534323343,1.378536718547226e-06,0.8781102431383644,24.240941868292115,3,,0.1269394125716032,25.4694409747965
overall,Static_weber,744.4133607615017,2.599811933461189e-08,0.883623787547431,23.144430455441015,3,,0.04470397628205936,33.41094830396389
overall,Linear_basic,891.4308304364346,3.093883962693798e-40,0.8922224776692713,21.43435774093391,3,,,180.42841797889673
overall,Static_basic,892.5129902318351,1.8010095157455817e-40,0.8914421161241992,21.589552888888917,3,,0.0,181.5105777742973
overall,Seq_basic,893.0206182722023,1.3972881600034532e-40,0.8910741136083765,21.66273974087001,3,,0.009900990099009901,182.0182058146645
overall,StaticGain_basic,893.4308304364166,1.1381763032553042e-40,0.8922224776692841,21.43435774093136,4,0.9712754119350128,0.0,182.42841797887877
overall,SeqGain_basic,894.0746182445707,8.24921823445073e-41,0.8917589112203246,21.526549961431666,4,0.9730359403956097,0.009900990099009901,183.07220578703289
range:long,Linear_weber,312.3313882377649,0.5249729328319029,0.7604599492320046,47.25272439071814,3,,,0.0
range:long,SeqGain_weber,313.89555134450023,0.24015034179934347,0.7545018150357891,48.42805215805408,4,1.2328579620349203,0.05166921010925434,1.56416310673535
range:long,StaticGain_weber,314.3313882377364,0.19312674916308356,0.7604600106632575,47.25271227251889,4,2.0868167434343623,0.43062981521770904,1.9999999999715214
range:long,Static_weber,318.6199556249389,0.02262517017636241,0.7166945985803548,55.886070027805445,3,,0.0,6.288567387173998
range:long,Seq_weber,318.95618599070264,0.01912407147644974,0.7131998037841237,56.57546862640708,3,,0.009900990099009901,6.624797752937752
range:long,Linear_basic,340.79386830180243,3.4640798600080636e-07,0.7598627541156231,47.370529727034054,3,,,28.46248006403755
range:long,StaticGain_basic,342.79386830181,1.2743637630681973e-07,0.759862754115584,47.37052972704177,4,1.1743534507268907,0.010069889734335343,30.46248006404511
range:long,SeqGain_basic,342.923935521134,1.1941246840769142e-07,0.7592372612306257,47.49391720569733,4,1.1707651563645833,0.009900990099009901,30.59254728336913
range:long,Static_basic,343.79440936171954,7.727316185985e-08,0.745010736858744,50.30030400000196,3,,0.0,31.46302112395466
range:long,Seq_basic,344.1706221841306,6.40228652786784e-08,0.7430848960772246,50.68020382626392,3,,0.009900990099009901,31.83923394636571
range:medium,SeqGain_weber,222.45992330831632,0.9968158346603329,0.8648798539935741,4.397836464158747,4,1.4777532253334305,0.39982608179907175,0.0
range:medium,SeqGain_basic,234.28102736202484,0.0027020588150975106,0.8338659279945226,5.4072653220054745,4,1.8172465191502316,0.5870615557564258,11.821104053708524
range:medium,Seq_weber,237.95687072830887,0.00043002683012765506,0.7462652514316072,8.258457102504622,3,,0.1658066645493041,15.496947419992551
range:medium,Linear_weber,243.57312821320923,2.59382538051699e-05,0.7022413427291467,9.691329673388823,3,,,21.11320490489291
range:medium,Static_weber,244.4785204710979,1.6494429716870385e-05,0.6983295821730061,9.818648091265866,3,,0.0,22.01859716278159
range:medium,StaticGain_weber,245.57312821320812,9.54215031481423e-06,0.7022413399136211,9.691329765027422,4,2.2068735257013814,0.5125836780421292,23.113204904891802
range:medium,Seq_basic,254.8133170909401,9.40079826105589e-08,0.7392815939148962,8.485758393895525,3,,0.2061157207016999,32.35339378262378
range:medium,Linear_basic,260.5944947751415,5.2215320654089745e-09,0.7073245034786102,9.525884990579588,3,,,38.13457146682521
range:medium,Static_basic,261.2779069953734,3.710196157401697e-09,0.7032966793250488,9.65698100000004,3,,0.0,38.81798368705711
range:medium,StaticGain_basic,262.5944947751395,1.920894298283386e-09,0.7073245034786214,9.52588499057922,4,2.0842354421904434,0.48104672614882343,40.13457146682316
range:short,Static_weber,141.68530724471637,0.26670473075002493,0.7406073857291472,1.741146984031673,3,,0.19092898939895644,0.0
range:short,Linear_weber,141.68530724471648,0.2667047307500097,0.7406073823156837,1.7411470069442052,3,,,1.1368683772161603e-13
range:short,SeqGain_weber,141.95727121144597,0.23279545343802516,0.7618257433327063,1.598720880453543,4,0.8684678251412379,0.10063128813703708,0.27196396672960077
range:short,Seq_weber,143.03699980044465,0.1356795548642624,0.7838696068875789,1.4507536507278158,3,,0.21263452765634006,1.3516925557282775
range:short,StaticGain_weber,143.68530724471637,0.09811518730609915,0.7406073842868593,1.7411469937128858,4,1.8446095836873708,0.5613863146037236,2.0
range:short,SeqGain_basic,170.67724692211556,1.3505510608745793e-07,0.7742413318094991,1.515382484361919,4,1.2650964113221301,0.17737114982848234,28.991939677399188
range:short,Linear_basic,171.5589991717994,8.690423485118963e-08,0.7608474497535545,1.6052875782742413,3,,,29.87369192708303
range:short,Seq_basic,172.80859797778734,4.6525816894352314e-08,0.7547952416218568,1.645912420137448,3,,0.03033143217077143,31.123290733070974
range:short,Static_basic,172.992612011567,4.243613940537125e-08,0.753891156665276,1.6519810000000024,3,,0.0,31.30730476685062
range:short,StaticGain_basic,173.55899917179917,3.1970281352491055e-08,0.7608474497535553,1.605287578274235,4,1.1636175820670904,0.04975000340973667,31.873691927082803
