scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Linear_basic,168.20252924624265,0.324269623196686,0.8253068301950317,0.17264343661258996,3,,,0.0
overall,Linear_weber,168.52238963981733,0.2763436343577202,0.8266499178710314,0.1713161078319888,3,,,0.319860393574686
overall,StaticGain_basic,170.20252924624714,0.11929212777020316,0.8253068301950258,0.17264343661259582,4,0.7307193852350065,0.0,2.0000000000044906
overall,StaticGain_weber,170.52238963980562,0.10166114177939872,0.8266499118940017,0.17131611373888792,4,0.8515612780199859,0.0,2.3198603935629762
overall,SeqGain_basic,170.67400004815875,0.09423954946125247,0.8247568815062452,0.17318693257009485,4,0.7337045252285285,0.009900990099009901,2.471470801916098
overall,SeqGain_weber,170.90266222250108,0.08405815258194259,0.8261323734173208,0.17182757976410912,4,0.8545400450774476,0.009900990099009901,2.7001329762584305
overall,Seq_weber,185.1231034498595,6.865153675091114e-05,0.7959442337279473,0.20166151194779391,3,,0.07259486066440095,16.920574203616866
overall,Static_weber,185.16824674355684,6.71193159336813e-05,0.7954189941546719,0.20218058871007624,3,,0.07784013366024026,16.965717497314188
overall,Static_basic,226.11498350432112,8.617407057119174e-14,0.7429902175819983,0.2539942009709638,3,,0.22368957347738028,57.91245425807847
overall,Seq_basic,228.50861104890157,2.6037962120324616e-14,0.7388560820822886,0.2580798292808103,3,,0.21842436969930099,60.30608180265892
range:long,Static_basic,69.45523651879591,0.3280870847824229,0.7634021481445238,0.20830074877356125,3,,0.26815271542317204,0.0
range:long,Linear_basic,69.45523651879937,0.3280870847818564,0.7634021481445092,0.20830074877357407,3,,,3.453237695794087e-12
range:long,StaticGain_basic,71.45523651879903,0.12069649340513752,0.7634021481445091,0.20830074877357418,4,0.9489380699014399,0.22877247023758204,2.000000000003112
range:long,SeqGain_basic,71.81715206879113,0.10071767448225645,0.7616833662763965,0.20981396433026045,4,0.7403372268888679,0.009900990099009901,2.361915549995217
range:long,Static_weber,73.61194225522671,0.04105555737278222,0.7629620282134669,0.20868823036086373,3,,0.12457738122561637,4.156705736430794
range:long,Linear_weber,73.61194225526854,0.0410555573719234,0.7629620291593464,0.2086882295281114,3,,,4.156705736472631
range:long,StaticGain_weber,75.61194225522662,0.015103495503281855,0.7629620254595985,0.20868823278536952,4,1.6802487217941353,0.47899225943762447,6.156705736430709
range:long,SeqGain_weber,75.98338043423007,0.012543556630182291,0.7615030822320363,0.20997268640291522,4,0.88531299467369,0.009900990099009901,6.528143915434157
range:long,Seq_weber,76.2385600806992,0.011041018528154083,0.7481438647247555,0.22173414149632528,3,,0.020927779983590734,6.783323561903288
range:long,Seq_basic,80.08625148168555,0.0016124771420029005,0.7073485906530101,0.2576503007890899,3,,0.1510863870151762,10.631014962889637
range:medium,Static_basic,55.95122336952888,0.2349493177263135,0.6235801184627294,0.1589997579613431,3,,0.16170102150974927,0.0
range:medium,Linear_basic,55.95122336954085,0.23494931772490785,0.6235801184626395,0.15899975796138105,3,,,1.1965539670200087e-11
range:medium,Seq_basic,57.10549177637208,0.1319252689849461,0.614789247081922,0.16271302203259616,3,,0.16436404535365184,1.1542684068431939
range:medium,SeqGain_basic,57.86842686275123,0.09008629776986125,0.6242029276815984,0.15873668334729282,4,0.8582423236928172,0.041551677441241434,1.9172034932223454
range:medium,StaticGain_basic,57.95122336953083,0.08643302370868372,0.6235801184627163,0.15899975796134863,4,1.1356924927911918,0.26186096132924414,2.000000000001947
range:medium,Seq_weber,58.618042490745296,0.06192724702969564,0.621753930599162,0.15977113971491397,3,,0.08662353317733232,2.666819121216413
range:medium,Static_weber,58.763134402870406,0.05759376440383086,0.6233137295345187,0.1591122806446193,3,,0.06612569300873357,2.8119110333415236
range:medium,Linear_weber,58.76313440287467,0.05759376440370809,0.6233137236370629,0.15911228313570464,3,,,2.811911033345787
range:medium,SeqGain_weber,60.5683890905794,0.02335443638420918,0.6230828303007274,0.15920981248097277,4,0.9693536258183518,0.06461362001067147,4.617165721050519
range:medium,StaticGain_weber,60.763134402870136,0.021187561863843865,0.6233137299841436,0.15911228045469777,4,1.585668560775493,0.41105332954080853,4.811911033341254
range:short,SeqGain_weber,33.78087236262843,0.28020824870101124,0.598314791416054,0.09977860581225217,4,1.4032855876817498,0.6129867887076215,0.0
range:short,SeqGain_basic,33.86847293885566,0.2681999498807436,0.6045744210999902,0.09822371379876248,4,1.2745857602578037,0.5902024872992834,0.08760057622723139
range:short,Seq_basic,34.764771999129735,0.17132858353387223,0.5809925997427676,0.10408143822389652,3,,0.40797087298049645,0.983899636501306
range:short,Seq_weber,36.53223062634284,0.07079964171974415,0.5574426032483711,0.10993125735310462,3,,0.333444543837072,2.7513582637144083
range:short,Linear_basic,37.20193641748932,0.050653130974011355,0.5600628526198763,0.10928038740922273,3,,,3.421064054860892
range:short,Static_basic,37.22554559734657,0.05005870690311407,0.5598550724637679,0.1093320000000001,3,,0.0,3.444673234718138
range:short,Linear_weber,37.633989814003684,0.04081192615433597,0.559397073419406,0.10944576696261954,3,,,3.8531174513752546
range:short,Static_weber,37.982131936946715,0.034291698029846746,0.5520254280366961,0.11127688367568472,3,,0.0,4.201259574318286
range:short,StaticGain_basic,39.20193641748346,0.01863424551635779,0.5600628526199212,0.10928038740921162,4,1.380113252659184,0.2611915790208318,5.42106405485503
range:short,StaticGain_weber,39.63398981398029,0.015013868586962884,0.559397096097412,0.1094457613294029,4,1.4153902477804186,0.23523296186640963,5.853117451351864
