sample_id,actual_length,image_path,ascii_line
sample_001,0.25,0.1_0.5/sample_000_0.25.png,"('|----.=----                              |', '|--------------------------- .-----------|')"
sample_002,0.48,0.1_0.5/sample_001_0.48.png,"('|--------------.----                     |', '|-------------=---------~----------------|')"
sample_003,0.39,0.1_0.5/sample_002_0.39.png,"('|--.---------=--                         |', '|--------------------- -=----------------|')"
sample_004,0.34,0.1_0.5/sample_003_0.34.png,"('|-=--=--------                           |', '|-------------=-----------------------=--|')"
sample_005,0.16,0.1_0.5/sample_004_0.16.png,"('|--=.--                                  |', '|-----------------------------=------~---|')"
sample_006,0.16,0.1_0.5/sample_005_0.16.png,"('|.-=---                                  |', '|------------------------.------------- -|')"
sample_007,0.12,0.1_0.5/sample_006_0.12.png,"('|--=~                                    |', '|------.-----------=---------------------|')"
sample_008,0.45,0.1_0.5/sample_007_0.45.png,"('|----.------------=                      |', '|------------------------.------- -------|')"
sample_009,0.34,0.1_0.5/sample_008_0.34.png,"('|---------- -.                           |', '|----------- -------------------=--------|')"
sample_010,0.38,0.1_0.5/sample_009_0.38.png,"('|----~ ---------                         |', '|--------------------------.----=--------|')"
sample_011,0.11,0.1_0.5/sample_010_0.11.png,"('|--.                                     |', '|----------------~---------------- ------|')"
sample_012,0.49,0.1_0.5/sample_011_0.49.png,"('|----------- -- ----                     |', '|----------------- -------------------=--|')"
sample_013,0.43,0.1_0.5/sample_012_0.43.png,"('|-----------~-----                       |', '|------------------~------------------.--|')"
sample_014,0.18,0.1_0.5/sample_013_0.18.png,"('|-=---.-                                 |', '|------------------.---------------------|')"
sample_015,0.17,0.1_0.5/sample_014_0.17.png,"('|-=---                                   |', '|-=-------------------------.------------|')"
sample_016,0.17,0.1_0.5/sample_015_0.17.png,"('|- -=--                                  |', '|------------------------ ----~----------|')"
sample_017,0.22,0.1_0.5/sample_016_0.22.png,"('|-.---.--                                |', '|----.---------------------=-------------|')"
sample_018,0.31,0.1_0.5/sample_017_0.31.png,"('|--- ~-------                            |', '|--~-----=-------------------------------|')"
sample_019,0.27,0.1_0.5/sample_018_0.27.png,"('|=.--------                              |', '|---------------------------- ------- ---|')"
sample_020,0.22,0.1_0.5/sample_019_0.22.png,"('|----  --                                |', '|-------=------------.-------------------|')"
sample_021,0.34,0.1_0.5/sample_020_0.34.png,"('|.-----------.                           |', '|-- ----------------------------- -------|')"
sample_022,0.16,0.1_0.5/sample_021_0.16.png,"('|--=-=-                                  |', '|-~-----------------~--------------------|')"
sample_023,0.22,0.1_0.5/sample_022_0.22.png,"('|---.--.-                                |', '|----=---------------=-------------------|')"
sample_024,0.25,0.1_0.5/sample_023_0.25.png,"('|~---- ----                              |', '|--------- ------~-----------------------|')"
sample_025,0.28,0.1_0.5/sample_024_0.28.png,"('|--=----- --                             |', '|-------------- ---~---------------------|')"
sample_026,0.41,0.1_0.5/sample_025_0.41.png,"('|=-------------.-                        |', '|--------------------.-------------~-----|')"
sample_027,0.18,0.1_0.5/sample_026_0.18.png,"('|--~---=                                 |', '|-----------~----------------=-----------|')"
sample_028,0.31,0.1_0.5/sample_027_0.31.png,"('|------- ---.                            |', '|---- ------.----------------------------|')"
sample_029,0.34,0.1_0.5/sample_028_0.34.png,"('|-~----------.                           |', '|----------------.--=--------------------|')"
sample_030,0.12,0.1_0.5/sample_029_0.12.png,"('| =--                                    |', '|-----------.------=---------------------|')"
sample_031,0.34,0.1_0.5/sample_030_0.34.png,"('|-------.-----                           |', '|-------- ----------.--------------------|')"
sample_032,0.17,0.1_0.5/sample_031_0.17.png,"('|.---=-                                  |', '|--------------=-------.-----------------|')"
sample_033,0.13,0.1_0.5/sample_032_0.13.png,"('|--.~-                                   |', '|----------------------=---------------~-|')"
sample_034,0.48,0.1_0.5/sample_033_0.48.png,"('|-----------==------                     |', '|.-------------------------------------- |')"
sample_035,0.49,0.1_0.5/sample_034_0.49.png,"('|------- =----------                     |', '|------ --------------------------~------|')"
sample_036,0.42,0.1_0.5/sample_035_0.42.png,"('|~----- ---------                        |', '|---.----------------------- ------------|')"
sample_037,0.22,0.1_0.5/sample_036_0.22.png,"('|--.-----                                |', '|-------------- ---------------=---------|')"
sample_038,0.14,0.1_0.5/sample_037_0.14.png,"('|--= -                                   |', '|-=----------------- --------------------|')"
