scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Static_weber,-554.8094000577257,0.6997873965954725,0.9084382810308373,0.001917019164296921,3,,1.0,0.0
overall,StaticGain_weber,-553.116828721495,0.3002126033952604,0.9091470572648807,0.001902179582437204,4,1.011950986210832,1.0,1.6925713362306851
overall,StaticGain_basic,-504.714244497011,9.267045628471858e-12,0.9083455930797296,0.0019189597632783884,4,0.8351318900327004,1.0,50.095155560714716
overall,Static_basic,-457.7245881284898,5.79785123410835e-22,0.8729446565809135,0.0026601458666666946,3,,1.0,97.08481192923591
overall,Seq_weber,-440.7853687844721,1.2160804963439347e-25,0.8429182631546375,0.0032888056633692494,3,,0.9900990099009901,114.02403127325363
overall,SeqGain_weber,-440.293858185127,9.511130765978537e-26,0.8417646485398524,0.0033129587848883054,4,0.9617927149549309,0.9900990099009901,114.5155418725987
overall,SeqGain_basic,-422.8495032625485,1.5496678071881672e-29,0.8418110825349471,0.003311986600666848,4,0.7758584714730299,0.9900990099009901,131.9598967951772
overall,Seq_basic,-369.7225615668707,4.506815732366815e-41,0.7715532952400371,0.004782967335866898,3,,0.9900990099009901,185.08683849085503
overall,Linear_basic,-269.6537840550361,8.3986766188275e-63,0.5548425111964919,0.00932022079504676,3,,,285.1556160026896
overall,Linear_weber,-258.0071206177775,2.4841054513856164e-65,0.5352154531655127,0.00973115067718262,3,,,296.8022794399482
range:long,Linear_basic,-123.62805932948774,0.2719345812183677,0.00013343527541942457,0.004381175318647577,3,,,0.0
range:long,Static_basic,-123.6213871205527,0.2710288906263038,0.0,0.004381759999999999,3,,1.0,0.0066722089350435
range:long,Linear_weber,-121.62682429969699,0.0999773851834072,-0.003664671310031453,0.004397817710159443,3,,,2.001235029790749
range:long,StaticGain_basic,-121.62138712055278,0.09970595682492486,-4.6629367034256575e-15,0.004381760000000019,4,1.0689732854436802,1.0,2.0066722089349582
range:long,Static_weber,-121.61703992127656,0.099489471354855,-0.0037709546197632893,0.004398283418114693,3,,1.0,2.011019408211183
range:long,SeqGain_basic,-121.3518211296144,0.08713358729979238,-0.005405879136351821,0.004405447264964501,4,0.1,0.9872425479337802,2.2762381998733474
range:long,StaticGain_weber,-119.61703992127656,0.03660013112446628,-0.003770952993141341,0.004398283410987226,4,3.162299967669924,1.0,4.011019408211183
range:long,SeqGain_weber,-119.44470611856784,0.033578464422813925,-0.007144172644955482,0.0044130640499287594,4,0.1,0.9900990099009901,4.183353210919904
range:long,Seq_weber,-110.97463084151181,0.0004861914916981042,-0.25136386336714844,0.005483176121947635,3,,0.9900990099009901,12.65342848797593
range:long,Seq_basic,-106.96064840681696,6.534045337074277e-05,-0.39544697239892446,0.00611451372577871,3,,0.9900990099009901,16.667410922670783
range:medium,Linear_weber,-223.40784081644446,0.24060111646155688,-8.243456574330565e-05,0.0006040497904777088,3,,,0.0
range:medium,Static_weber,-223.3737891049023,0.23653935217888003,-0.0008583134366710876,0.0006045184213157492,3,,1.0,0.03405171154216191
range:medium,Linear_basic,-222.78112430129758,0.17587652499132916,0.0015619712569808764,0.0006030565693607834,3,,,0.6267165151468816
range:medium,Static_basic,-222.70296468100042,0.1691358733347454,-4.063416270128073e-14,0.0006040000000000243,3,,1.0,0.7048761354440387
range:medium,StaticGain_weber,-221.37378910490193,0.0870179646946053,-0.0008583124984726798,0.0006045184207490774,4,0.9966312758777489,1.0,2.0340517115425314
range:medium,StaticGain_basic,-220.70296468100082,0.06222161056444237,-1.865174681370263e-14,0.0006040000000000111,4,1.4437370548629505,1.0,2.704876135443641
range:medium,SeqGain_weber,-218.65393768073847,0.022335757642742104,-0.05835730286709495,0.0006392478109317251,4,0.1,0.9900990099009901,4.753903135705997
range:medium,SeqGain_basic,-216.11368676030622,0.006271800131698147,-0.09612974107575845,0.0006620623636097579,4,0.1,0.9900990099009901,7.29415405613824
range:medium,Seq_weber,-155.94589942001053,5.396636853060216e-16,-2.925144707239317,0.0023707874031725466,3,,0.9900990099009901,67.46194139643393
range:medium,Seq_basic,-134.49196796755928,1.1842984812108715e-20,-4.837017324517567,0.0035255584640086096,3,,0.9900990099009901,88.91587284888519
range:short,Static_weber,-225.47401231647495,0.29757173144480503,-0.0029374769463472727,0.0006017624861678082,3,,1.0,0.0
range:short,Linear_weber,-225.4740123164722,0.29757173144439486,-0.00293746871728251,0.0006017624812303693,3,,,2.7569058147491887e-12
range:short,StaticGain_weber,-223.47401231647498,0.10947052227233495,-0.0029374684944887264,0.0006017624810966931,4,1.0716287223330594,1.0,1.9999999999999716
range:short,Static_basic,-223.03519181693855,0.08790397805401937,-1.2212453270876722e-14,0.0006000000000000072,3,,1.0,2.438820499536405
range:short,Linear_basic,-223.03519181692667,0.08790397805349721,-1.836308882730009e-13,0.00060000000000011,3,,,2.438820499548285
range:short,SeqGain_weber,-222.60594510881225,0.07092490960588048,-0.019606127951304897,0.0006117636767707827,4,0.1,0.9900990099009901,2.8680672076627047
range:short,StaticGain_basic,-221.03519181693798,0.03233806632325019,2.220446049250313e-16,0.0005999999999999997,4,1.6725579675768194,1.0,4.438820499536973
range:short,SeqGain_basic,-219.66688170651142,0.016315082798761427,-0.027744096017286113,0.0006166464576103715,4,0.1,0.9900990099009901,5.8071306099635365
range:short,Seq_weber,-174.87046634416797,3.056126183351169e-12,-1.7836526903933927,0.0016701916142360352,3,,0.9900990099009901,50.60354597230699
range:short,Seq_basic,-156.62299313810908,3.3325971660908265e-16,-2.77440960172834,0.0022646457610370034,3,,0.9900990099009901,68.85101917836587
