scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Linear_weber,-361.0154346440187,0.5865383533996611,0.03296404991323987,0.005719097886126215,3,,,0.0
overall,StaticGain_weber,-359.015434644018,0.2157754016742117,0.03296404395582486,0.005719097921358659,4,0.13504541899327666,0.0,2.000000000000682
overall,SeqGain_weber,-358.83979565102265,0.19763434148390244,0.03215389881022801,0.0057238891593568144,4,0.13453119841641126,0.009900990099009901,2.175638992996028
overall,Linear_basic,-341.8662342232738,4.0747444589318195e-05,0.026211070467035413,0.00575903533671673,3,,,19.149200420744876
overall,StaticGain_basic,-337.95008199077375,5.750673693344158e-06,0.01369175881385254,0.00583307515788889,4,0.1,0.0,23.06535265324493
overall,SeqGain_basic,-337.82621673297706,5.405323942255916e-06,0.012876960278980554,0.0058378939162587185,4,0.1,0.009900990099009901,23.189217911041624
overall,Static_weber,-156.8851583596599,2.7667513198895687e-45,-2.443766795510852,0.020366605190583406,3,,0.6056843728883264,204.13027628435879
overall,Seq_weber,-155.9648233796965,1.746312345112336e-45,-2.4061154253473758,0.020143933146702955,3,,0.9900990099009901,205.05061126432219
overall,Static_basic,-67.47924854116374,1.0659172337625629e-64,-5.065917856801635,0.03587413476110898,3,,0.7314217623505924,293.5361861028549
overall,Seq_basic,-64.11256567091975,1.979965338465363e-65,-5.2036040408029285,0.03668841758461718,3,,0.9900990099009901,296.9028689730989
range:long,SeqGain_basic,-163.6213950652498,0.4309299702292678,0.13672094222058795,0.0018916516025685593,4,0.4242307920676982,0.9900990099009901,0.0
range:long,Linear_weber,-161.55791409759016,0.15357746704180106,0.04893996430582492,0.0020840007926145048,3,,,2.0634809676596433
range:long,Static_basic,-161.1852781261097,0.12747077533488022,0.05662833502278597,0.002067153727164671,3,,0.9070730870303123,2.4361169391401063
range:long,Linear_basic,-161.18527812610543,0.1274707753346085,0.056628335022736564,0.0020671537271647793,3,,,2.4361169391443696
range:long,StaticGain_weber,-159.55791409759067,0.05649799275187782,0.048939967513228266,0.0020840007855863142,4,3.1866941674263067,0.9358535138567607,4.063480967659132
