scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,SeqGain_basic,-220.55301972647868,0.5527463529122332,0.651905572470564,0.012758419599334977,4,0.7628739909279938,0.15283124112100094,0.0
overall,Linear_basic,-218.97481228188553,0.2510859973412906,0.6435020452746674,0.013066427190380392,3,,,1.578207444593147
overall,StaticGain_basic,-217.2522626142421,0.10611470859074297,0.6441608389852146,0.013042280964747825,4,0.7478657094345346,0.06413529824466019,3.3007571122365675
overall,SeqGain_weber,-216.11764906487545,0.06017240694463137,0.6560893474154219,0.012605075127162505,4,0.7076094134949147,0.1378298130095433,4.43537066160323
overall,Linear_weber,-214.08781790606577,0.021808467491698433,0.6465373163962115,0.012955177887019654,3,,,6.465201820412915
overall,StaticGain_weber,-212.08781790606653,0.008022886833654664,0.6465373121733391,0.012955178041797131,4,0.6802009441463477,0.0,8.465201820412148
overall,Static_basic,-200.533553358904,2.485157962280145e-05,0.5968655097835016,0.014775757881706248,3,,0.3000988361608831,20.019466367574694
overall,Seq_basic,-200.4909915816573,2.432830356263706e-05,0.5967511060843687,0.014779951026674454,3,,0.2954185706121943,20.06202814482137
overall,Seq_weber,-167.29164805665204,1.5030242178834554e-12,0.4760725512472469,0.01920308313534102,3,,0.3283026077975151,53.261371669826644
overall,Static_weber,-166.59349921888358,1.0601440602505733e-12,0.494512761653901,0.018527209225098023,3,,0.2947463371187321,53.9595205075951
range:long,Seq_basic,-69.6037277328207,0.3634557776331062,0.5363170270308673,0.012907437013350722,3,,0.11083163650811141,0.0
range:long,SeqGain_basic,-68.3541021945737,0.19458028676668543,0.5432237880522924,0.012715175084301528,4,1.1488401285695689,0.1635295990604002,1.2496255382470025
range:long,Linear_basic,-68.2319693282936,0.1830534945699873,0.5234196954568916,0.013266457086624953,3,,,1.3717584045270996
range:long,Static_basic,-68.22934242097078,0.18281322011653334,0.5233946561533,0.013267154100000053,3,,0.0,1.3743853118499203
range:long,StaticGain_basic,-66.23196932829396,0.06734161728689854,0.523419695456895,0.013266457086624859,4,1.49996270315781,0.3286735407231314,3.3717584045267444
range:long,Seq_weber,-59.81826988147432,0.002726254548030749,0.5274692594830642,0.013153730297748809,3,,0.08110316342678237,9.78545785134638
range:long,Linear_weber,-59.22815140831227,0.0020296623926596273,0.519285654666573,0.013381535435890136,3,,,10.37557632450843
range:long,Static_weber,-59.21371980842076,0.002015069468007594,0.5187452249336919,0.013396579254930197,3,,0.0,10.390007924399939
range:long,SeqGain_weber,-58.239319821535844,0.0012379461513126117,0.5365477192619492,0.0129010152864042,4,1.1185966784957921,0.12375150315194236,11.364407911284857
range:long,StaticGain_weber,-57.22815140831334,0.000746671066778714,0.5192856672021647,0.013381535086939731,4,2.288678787893016,0.5553249555988885,12.375576324507364
range:medium,Linear_basic,-77.26672838291346,0.2551419650218805,0.21550879767789854,0.011073375737609296,3,,,0.0
range:medium,Static_basic,-77.26672838291326,0.2551419650218551,0.21550879767789932,0.011073375737609286,3,,0.6319124293316984,1.9895196601282805e-13
range:medium,Static_weber,-75.61292569057406,0.11159974551918168,0.20327353770784373,0.01124608083678021,3,,0.6945392754824147,1.6538026923393971
range:medium,Linear_weber,-75.6129256905736,0.11159974551915632,0.20327353605529652,0.011246080860106509,3,,,1.6538026923398519
range:medium,StaticGain_basic,-75.26672838291333,0.09386148351162708,0.21550879767790043,0.01107337573760927,4,1.2321435339336098,0.7012624638701591,2.000000000000128
range:medium,SeqGain_basic,-75.22525063098387,0.0919349479877552,0.21485774904527866,0.011082565523436234,4,0.3702597382642315,0.009900990099009901,2.041477751929591
range:medium,StaticGain_weber,-73.61292569057417,0.041055252016474066,0.2032735386543556,0.011246080823419853,4,1.6864366617378346,0.818872115550741,3.6538026923392835
range:medium,SeqGain_weber,-73.53611167307795,0.039508338895412304,0.20251638812235917,0.011256768275753176,4,0.30673646544601385,0.009900990099009901,3.730616709835502
range:medium,Seq_basic,-62.296526557565315,0.00014323325885423448,-0.058321449991614926,0.01493858826235364,3,,0.9900990099009901,14.970201825348141
range:medium,Seq_weber,-57.54659852225382,1.332324780336947e-05,-0.1456622444363127,0.01617143501862655,3,,0.9900990099009901,19.72012986065964
range:short,Seq_weber,-114.3678061348325,0.6451281937861928,0.6833275379557137,0.006744276786048779,3,,0.31232742584579487,0.0
range:short,SeqGain_weber,-113.16750322186708,0.35400023983055773,0.6756203158989638,0.00690842000982866,4,1.0841253778028324,0.35943913368615027,1.2003029129654266
range:short,Static_weber,-99.05505807911227,0.00030515819010253656,0.5552647339970844,0.00947167212165492,3,,0.18002389416414963,15.312748055720235
range:short,Linear_weber,-99.055058079112,0.00030515819010249536,0.555264746090791,0.009471671864091301,3,,,15.312748055720505
range:short,StaticGain_weber,-97.0550580791122,0.00011226142444380592,0.5552647463817808,0.009471671857893998,4,2.1303872469860803,0.615104680978114,17.312748055720306
range:short,SeqGain_basic,-97.01075432326216,0.00010980196447410522,0.6634196637522659,0.007168261280889746,4,1.3289471292444632,0.4266991988707278,17.357051811570344
range:short,Seq_basic,-94.90428939832246,3.8299849161270814e-05,0.634609677150095,0.007781836969135807,3,,0.2981026279536033,19.463516736510044
range:short,Linear_basic,-85.64905725670742,3.7449751446978703e-07,0.5603096176622855,0.009364229587587104,3,,,28.718748878125083
range:short,Static_basic,-85.6490572567069,3.7449751446968856e-07,0.5603096176622868,0.009364229587587074,3,,0.08871055000278237,28.71874887812561
range:short,StaticGain_basic,-83.6490572567078,1.3776993634326582e-07,0.5603096176622882,0.009364229587587045,4,2.8071139854412417,0.6753642793995813,30.7187488781247
