scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Static_basic,-301.86273308611146,0.7084936297264703,0.7894981510623008,0.0075192018247202345,3,,0.6543206681279365,0.0
overall,StaticGain_basic,-300.0865713007291,0.2915058794384645,0.7898120391904602,0.0075079896277826545,4,0.9797223202354373,0.64716602578147,1.776161785382385
overall,StaticGain_weber,-273.044833874183,3.913890272221759e-07,0.7682906665020502,0.008276740807906826,4,0.9009545955919078,0.7691133355481845,28.817899211928477
overall,Static_weber,-270.30461026031196,9.944355660884976e-08,0.7823943863741449,0.00777295085673645,3,,0.7919816048729019,31.5581228257995
overall,SeqGain_basic,-248.84632763492868,2.177558247791472e-12,0.7042235873283154,0.010565239940141139,4,0.8733180537336023,0.7030124309419292,53.01640545118278
overall,Seq_basic,-244.8861967656396,3.0063413394129484e-13,0.6922345360845914,0.010993493166625408,3,,0.8140791074153853,56.976536320471865
overall,Linear_basic,-235.1929260600987,2.361409462880445e-15,0.671689496759325,0.011727369367538081,3,,,66.66980702601276
overall,SeqGain_weber,-233.02517172585405,7.988209137515305e-16,0.6694843948331193,0.011806136402178842,4,0.8420840974128659,0.961275067839598,68.83756136025741
overall,Seq_weber,-227.1591165736612,4.2525725834894505e-17,0.6820297181481454,0.011358012937049713,3,,0.9900990099009901,74.70361651245025
overall,Linear_weber,-198.61998227820482,2.700582589993702e-23,0.6080880382377463,0.013999236362453938,3,,,103.24275080790665
range:long,Linear_basic,-136.10011164182686,0.29270743480852485,0.26056519659081223,0.0034139704873402217,3,,,0.0
range:long,Static_basic,-136.1001116418234,0.29270743480801736,0.26056519659078337,0.003413970487340355,3,,0.710653710719771,3.467448550509289e-12
range:long,StaticGain_basic,-134.10011164182745,0.10768104754411863,0.2605651965908099,0.003413970487340232,4,1.4310697441653273,0.7978111785458281,1.9999999999994031
range:long,SeqGain_basic,-133.74997019882798,0.09038721881897879,0.25536888801499147,0.003437961844034786,4,0.28857383326149566,0.009900990099009901,2.3501414429988756
range:long,Static_weber,-133.52130065407442,0.08062172065802842,0.23903457397214356,0.0035133773719706147,3,,0.7414010733862085,2.5788109877524334
range:long,Linear_weber,-133.52130065407323,0.08062172065798029,0.239034554618623,0.0035133774613258194,3,,,2.578810987753627
range:long,StaticGain_weber,-131.52130065407425,0.029659073541953088,0.23903456817863933,0.003513377398719224,4,2.0333577463586385,0.8728217318824615,4.578810987752604
range:long,SeqGain_weber,-131.2280664854962,0.025614305807033205,0.2338370843240014,0.003537374181676087,4,0.25766801917607696,0.009900990099009901,4.872045156330643
range:long,Seq_basic,-103.66245546143848,2.6465872211218368e-08,-0.41465255930687794,0.006531450866319859,3,,0.9900990099009901,32.43765618038837
range:long,Seq_weber,-102.76412678521015,1.6889493189242342e-08,-0.4380942852272436,0.006639681314894187,3,,0.9900990099009901,33.335984856616705
range:medium,Linear_basic,-77.91880845827001,0.296249844864474,0.4283537690302148,0.010929898801991531,3,,,0.0
range:medium,Static_basic,-77.91880845826995,0.2962498448644656,0.42835376903021416,0.010929898801991543,3,,0.3960259094420709,5.684341886080802e-14
range:medium,StaticGain_basic,-75.91880845826994,0.1089842273758653,0.42835376903021494,0.010929898801991527,4,2.2211368777939127,0.7280788455980665,2.000000000000071
range:medium,SeqGain_basic,-75.74962708120049,0.10014433348687256,0.42641625503485336,0.0109669441470834,4,0.6070804410537802,0.009900990099009901,2.1691813770695205
range:medium,Static_weber,-75.0544638311584,0.07074139157219048,0.42145451601730655,0.011061812795568457,3,,0.27672758802022585,2.864344627111606
range:medium,Linear_weber,-75.05446383115824,0.07074139157218495,0.4214545156198266,0.01106181280316829,3,,,2.8643446271117625
range:medium,StaticGain_weber,-73.05446383115842,0.026024303599267797,0.42145451720899973,0.011061812772783236,4,1.9702982496784858,0.6329122182904958,4.864344627111592
range:medium,SeqGain_weber,-72.90695286367989,0.024173944304441104,0.4189123740691836,0.011110418651302245,4,0.7269500414567673,0.009900990099009901,5.011855594590116
range:medium,Seq_weber,-70.0323944034524,0.005743082811751197,0.3650603627770873,0.012140071261287577,3,,0.06423621431882036,7.886414054817607
range:medium,Seq_basic,-66.42883153436344,0.000947635548487044,0.28067026063334777,0.013753613389879965,3,,0.23560559495061964,11.489976923906568
range:short,Linear_basic,-203.5049478815931,0.4034373427121805,3.983600926216191e-05,0.0008867246750204266,3,,,0.0
range:short,Static_basic,-203.50295604145612,0.4030357513758241,-2.2648549702353193e-14,0.0008867600000000201,3,,1.0,0.001991840136980727
range:short,StaticGain_basic,-201.50295604145788,0.14826856698838115,-6.661338147750939e-15,0.0008867600000000059,4,1.164726886105295,1.0,2.0019918401352186
range:short,SeqGain_basic,-199.08182031448132,0.044188183318975886,-0.04961424876487275,0.0009307559312347384,4,0.1,0.9900990099009901,4.423127567111777
range:short,Linear_weber,-189.8447584031288,0.00043601721692163335,-0.0032628099546818667,0.0008896533293554135,3,,,13.660189478464304
range:short,Static_weber,-189.80569211713583,0.0004275830711270489,-0.003784290358102016,0.0008901157573179505,3,,1.0,13.699255764457263
range:short,StaticGain_weber,-187.80569211713595,0.00015729902126059673,-0.003784283403053035,0.0008901157511504912,4,2.561189979104403,1.0,15.699255764457149
range:short,SeqGain_weber,-185.4834693036767,4.925629522099668e-05,-0.06252043436507249,0.0009422006203775716,4,0.1,0.9900990099009901,18.021478577916383
range:short,Seq_basic,-145.57025354185774,1.060271440456559e-13,-2.1856426735137227,0.0028249004971650283,3,,0.9900990099009901,57.93469433973536
range:short,Seq_weber,-137.73167838103015,2.1051938577118935e-15,-2.5235366371738857,0.0031245313483803145,3,,0.9900990099009901,65.77326950056295
