scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Linear_basic,-244.1763875338058,0.5827500441074714,0.7110321102401995,0.011045638332653573,3,,,0.0
overall,StaticGain_basic,-242.17638753380513,0.21438176056881686,0.7110321102401991,0.01104563833265359,4,0.7829937038973298,0.0,2.000000000000682
overall,SeqGain_basic,-242.0657777677119,0.20284729823956088,0.7108189471855082,0.011053786372942624,4,0.7851053200076483,0.009900990099009901,2.1106097660939156
overall,Seq_basic,-221.34731592546157,6.4300211557947965e-06,0.6635298679355619,0.01286138536573481,3,,0.1318100224665198,22.829071608344236
overall,Linear_weber,-221.335212399098,6.391225699366596e-06,0.7144364039350952,0.010915511082310267,3,,,22.84117513470781
overall,Static_basic,-220.3112142210466,3.830238130047493e-06,0.6611977075080108,0.012950530912798427,3,,0.10349211543117792,23.865173312759197
overall,StaticGain_weber,-219.3352123990979,2.351200538683444e-06,0.7144364045930589,0.010915511057159965,4,0.7428545704311654,0.0,24.841175134707896
overall,SeqGain_weber,-218.90316315038768,1.8943986268823287e-06,0.7137716250495363,0.010940921888843724,4,0.7446598522084721,0.009900990099009901,25.273224383418125
overall,Static_weber,-169.28663079402577,3.1869721144959487e-17,0.46698837177816477,0.02037407574014899,3,,0.13126517204643595,74.88975673978004
overall,Seq_weber,-167.58564324444484,1.3614870354623088e-17,0.45612733270879857,0.020789232972936205,3,,0.11961788499047284,76.59074428936097
range:long,Linear_basic,-131.06201826525012,0.29734995741576176,0.5438085616548105,0.0037758965351831334,3,,,0.0
range:long,Static_basic,-131.06201826524995,0.2973499574157364,0.543808561654815,0.003775896535183097,3,,0.4403206812281464,1.7053025658242404e-13
range:long,SeqGain_basic,-130.0263602288982,0.1771648641202033,0.5525227479239163,0.0037037692154337446,4,0.6441497286641562,0.19296059163007043,1.0356580363519186
range:long,StaticGain_basic,-129.0620182652498,0.10938893616644552,0.5438085616548123,0.003775896535183119,4,1.2010462439996836,0.5340068190326425,2.0000000000003126
range:long,Seq_basic,-128.55881658041898,0.08505591897856259,0.5203884161838352,0.003969745079246396,3,,0.6495339987641522,2.50320168483114
range:long,Linear_weber,-124.43919710107002,0.010842777290970617,0.5459223470694401,0.0037584007333062437,3,,,6.622821164180095
range:long,Static_weber,-124.43919710106903,0.010842777290965225,0.5459223412791401,0.0037584007812325572,3,,0.45987304613227,6.62282116418109
range:long,SeqGain_weber,-123.08327844054679,0.0055043563402600365,0.5508273647443844,0.00371780190201073,4,0.6112164082104525,0.17627329331959918,7.978739824703325
range:long,StaticGain_weber,-122.43919710107062,0.003988834850549867,0.5459223479776225,0.003758400725789219,4,2.600768736661544,0.7923202681533348,8.622821164179499
range:long,Seq_weber,-121.51405478987758,0.002511620130544627,0.5012370551922132,0.0041282608941740516,3,,0.6873271463594238,9.54796347537254
range:medium,Seq_basic,-89.95454140953093,0.2887419093529598,0.6016496364014251,0.008591620642094063,3,,0.29253763895621515,0.0
range:medium,Linear_basic,-89.50031161072248,0.23007799093863612,0.5980142964771723,0.008670027653580348,3,,,0.4542297988084556
range:medium,Static_basic,-89.50031161072174,0.2300779909385511,0.5980142964771724,0.008670027653580345,3,,0.24206263387774274,0.45422979880919456
range:medium,SeqGain_basic,-88.79464170944189,0.16167423115788881,0.6082868065570948,0.008448470156176582,4,0.8695678794072208,0.18730895022442903,1.159899700089042
range:medium,StaticGain_basic,-87.50031161072269,0.08464096273236266,0.5980142964771752,0.008670027653580286,4,1.5066107984586818,0.49692553123439315,2.4542297988082424
