scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Linear_basic,-280.41066655238717,0.4960122943556174,0.802568838072509,0.008564784526068493,3,,,0.0
overall,StaticGain_basic,-278.9847095577171,0.2431363059928875,0.8033280054568177,0.008531850996212597,4,0.9058151889644159,0.06169539561184872,1.4259569946700594
overall,SeqGain_basic,-278.1356619668163,0.15903088372767693,0.8022041091429688,0.008580606874787094,4,0.8864994540445746,0.009900990099009901,2.275004585570855
overall,Static_basic,-276.8038271230881,0.08171037630637562,0.7977313119488115,0.008774641817512249,3,,0.1500691880246851,3.6068394292990433
overall,Linear_weber,-272.4247012441896,0.009148757331746525,0.7890040375307621,0.009153240738577782,3,,,7.985965308197592
overall,Seq_basic,-270.71221034197913,0.0038859699118512247,0.7892905255121591,0.009140812569660484,3,,0.03561729701556573,9.69845621040804
overall,StaticGain_weber,-270.57727096121306,0.0036324338940986484,0.7906067967304954,0.009083711252660403,4,0.8801329235859435,0.03147633371863227,9.83339559117411
overall,SeqGain_weber,-270.23330711419663,0.0030584889729935237,0.788840755651915,0.009160324089026029,4,0.8706544044079272,0.009900990099009901,10.177359438190535
overall,Static_weber,-265.982667328422,0.00036516758325702575,0.8018769227151126,0.008594800587811346,3,,0.14757038421958493,14.427999223965173
overall,Seq_weber,-260.1044353348587,1.9321923495612345e-05,0.7981007063809894,0.008758617074073343,3,,0.06688245452914401,20.306231217528477
range:long,Seq_basic,-92.81955098196742,0.2747422358579113,0.658739203448228,0.007792429475614704,3,,0.03934637653941802,0.0
range:long,Linear_basic,-92.67888498331706,0.2560826732237904,0.6577581267175052,0.00781483161295826,3,,,0.14066599865036267
range:long,Static_basic,-92.65955246937702,0.253619237581024,0.6576230715914273,0.007817915493544356,3,,0.0,0.15999851259040554
range:long,SeqGain_basic,-91.10034159341113,0.11630646415082381,0.6606891789364188,0.007747903275639668,4,1.074552330547708,0.08372778581948605,1.719209388556294
range:long,StaticGain_basic,-90.67888498331867,0.09420755071933273,0.657758126717517,0.00781483161295799,4,1.044469098524161,0.028657241018026858,2.140665998648757
range:long,Linear_weber,-82.53910137473596,0.001608993020695361,0.6528478891478114,0.007926953135140042,3,,,10.28044960723146
range:long,Static_weber,-81.57554145308208,0.0009938475736706418,0.6523093217767124,0.007939250909450956,3,,0.0,11.244009528885343
range:long,Seq_weber,-81.57109947051728,0.0009916426962865617,0.652204601071682,0.007941642126715968,3,,0.009900990099009901,11.248451511450142
range:long,SeqGain_weber,-81.27560502175929,0.0008554397231627312,0.6529691955518775,0.00792418319611342,4,1.208347273186437,0.11776999737122336,11.543945960208134
range:long,StaticGain_weber,-80.53910137473633,0.0005919154533022697,0.6528478933485067,0.007926953039220376,4,1.1169293418866149,0.0001816872846270307,12.280449607231091
range:medium,Static_weber,-87.2932592650563,0.17653435228696213,0.5989627813494778,0.009233480922209622,3,,0.05492103545136136,0.0
range:medium,Linear_weber,-87.29325926505598,0.17653435228693326,0.5989627780254025,0.00923348099874313,3,,,3.268496584496461e-13
range:medium,Linear_basic,-86.89041702496954,0.14432884876117624,0.6032572836664281,0.009134604300864158,3,,,0.4028422400867697
range:medium,Static_basic,-86.89041702495715,0.14432884876028199,0.6032572836663888,0.009134604300865065,3,,0.21347200309645953,0.4028422400991616
range:medium,Seq_weber,-86.71526506211241,0.13222676779822934,0.5956703492305431,0.009309285879315976,3,,0.009900990099009901,0.5779942029438985
range:medium,StaticGain_weber,-85.29325926505624,0.06494335886688785,0.5989627798633143,0.009233480956427051,4,1.377539016364916,0.3139367076491869,2.000000000000071
range:medium,SeqGain_weber,-84.94429714490036,0.05454545702512216,0.5957309309327461,0.009307891046204452,4,0.9497356425827107,0.009900990099009901,2.348962120155946
range:medium,StaticGain_basic,-84.89041702497012,0.053095616227194595,0.6032572836664322,0.009134604300864064,4,1.4828973290952032,0.46960036658721516,2.402842240086187
range:medium,SeqGain_basic,-84.50512897736851,0.04379196460793742,0.600188269777383,0.009205265276645532,4,0.7903493885531588,0.009900990099009901,2.7881302876877925
range:medium,Seq_basic,-81.48437453983499,0.009670433379275098,0.5579562537425868,0.010177615213830678,3,,0.009900990099009901,5.8088847252213185
range:short,Static_weber,-123.64897412551909,0.28329624593045066,0.652081604858652,0.004698860594156796,3,,0.2240808865396938,0.0
range:short,Linear_weber,-123.6489741255188,0.2832962459304104,0.6520816032010344,0.004698860616543983,3,,,2.8421709430404007e-13
range:short,StaticGain_weber,-121.64897412551915,0.10421886463886464,0.6520816054825409,0.004698860585730777,4,1.3481245287423866,0.4244455152167927,1.9999999999999432
range:short,SeqGain_weber,-121.64558838789608,0.10404258502457343,0.6513847647773503,0.004708271865432427,4,0.7813182237929087,0.009900990099009901,2.003385737623006
range:short,Static_basic,-120.68604807906904,0.06439462277280034,0.655943752563741,0.004646699817625038,3,,0.2148174463481944,2.9629260464500504
range:short,Linear_basic,-120.68604807906709,0.06439462277273765,0.6559437525637274,0.004646699817625222,3,,,2.9629260464519973
range:short,Seq_weber,-119.86437544890319,0.04269978210202659,0.6072737305374287,0.005304019613904481,3,,0.23017418567187342,3.7845986766159
range:short,StaticGain_basic,-118.68604807906843,0.023689457840096382,0.6559437525637377,0.004646699817625082,4,1.7486495853461814,0.550977729436613,4.9629260464506615
range:short,SeqGain_basic,-118.59252575378565,0.022607211983036498,0.6552996115300956,0.00465539935453468,4,0.7906248712149313,0.009900990099009901,5.056448371733438
range:short,Seq_basic,-116.3482057767157,0.0073603610050036435,0.6247614338780418,0.005067836988159365,3,,0.16043486455636208,7.300768348803388
