scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Linear_weber,-739.30898808875,0.46358706724577364,0.9889989396767567,0.0005293353085978058,3,,,0.0
overall,SeqGain_weber,-738.3688021817787,0.28971603720797257,0.9892563189019474,0.0005169510558448981,4,1.0940304101147367,0.009927939837645804,0.9401859069712373
overall,StaticGain_weber,-738.0473205317409,0.24669689472594558,0.9888269454090454,0.0005376111143929672,4,1.0962577181441853,0.011472487944605385,1.2616675570091047
overall,SeqGain_basic,-697.6139323262221,4.09416170459934e-10,0.9889778136125021,0.0005303518262254754,4,1.0420767279491794,0.020419912670004776,41.695055762527886
overall,Linear_basic,-696.9933181596881,3.001928456974976e-10,0.9887835556510416,0.0005396988886863576,3,,,42.31566992906187
overall,StaticGain_basic,-694.9933181596842,1.1043477631864699e-10,0.9887835556510408,0.0005396988886863975,4,1.0359572375405115,0.0,44.315669929065734
overall,Static_basic,-681.8533951919954,1.5481314634577553e-13,0.9875923431901649,0.0005970161651175664,3,,0.0,57.455592896754524
overall,Seq_basic,-681.1644302360605,1.0969857796980568e-13,0.9875352225052357,0.0005997646270381298,3,,0.009900990099009901,58.144557852689445
overall,Static_weber,-631.4918719812791,1.794494046301703e-24,0.9810298851470353,0.0009127803416016056,3,,0.0,107.81711610747084
overall,Seq_weber,-627.2255297478295,2.125776378250479e-25,0.9807033798876166,0.0009284907147088274,3,,0.009900990099009901,112.08345834092052
range:long,SeqGain_basic,-230.83180643803652,0.9709320247480214,0.9733934522691398,0.0004932407358072128,4,1.2016980790772844,0.09849858943916959,0.0
range:long,SeqGain_weber,-222.86025440813276,0.01803799642372514,0.9745308653477227,0.0004721550064795313,4,1.2274701569476658,0.09400812233798224,7.971552029903762
range:long,Linear_basic,-221.12967891017925,0.0075927412825930645,0.966377351870939,0.0006233074606567493,3,,,9.702127527857272
range:long,StaticGain_basic,-219.12967891018582,0.002793213420008846,0.9663773518709446,0.0006233074606566455,4,1.3083147190894362,0.14655384967586907,11.702127527850706
range:long,Linear_weber,-215.51735799029584,0.0004588794390528527,0.9666711972472202,0.0006178600606003193,3,,,15.314448447740688
range:long,StaticGain_weber,-213.51735799026258,0.0001688123116010216,0.9666711982100952,0.0006178600427502334,4,2.0233046111076227,0.43311065742343735,17.31444844777394
range:long,Static_basic,-207.5026053739819,8.342902750111055e-06,0.9558434461069065,0.0008185883923481925,3,,0.0,23.329201064054615
range:long,Seq_basic,-207.39325064905148,7.898981640686314e-06,0.9557467658649358,0.000820380681756424,3,,0.009900990099009901,23.43855578898504
range:long,Static_weber,-197.26925214920863,5.002334887771312e-08,0.9495799758865437,0.0009347026169912855,3,,0.0,33.5625542888279
range:long,Seq_weber,-196.84525880201605,4.046725790633569e-08,0.949035979225706,0.0009447874019841565,3,,0.009900990099009901,33.986547636020475
range:medium,Linear_weber,-259.3982481968663,0.4105505648327259,0.9785216108423884,0.0005227693471760646,3,,,0.0
range:medium,SeqGain_weber,-258.3552198709558,0.2437114484084816,0.9791519288368019,0.0005074278369708593,4,1.036716203161243,0.016000717614403217,1.043028325910484
range:medium,StaticGain_weber,-257.39824819688664,0.15103311236481998,0.9785216128139871,0.0005227692991886965,4,1.9760772488291984,0.4813258864510541,1.99999999997965
range:medium,Static_weber,-256.88610494296813,0.11691269655805703,0.9772464355921224,0.0005538062432963838,3,,0.0,2.5121432538981594
range:medium,Seq_weber,-256.07132084286746,0.07779175299647385,0.976968196393297,0.0005605783956799436,3,,0.009900990099009901,3.326927353998826
range:medium,Linear_basic,-229.8324492515141,1.5603965680581308e-07,0.978481964742399,0.0005237343062173323,3,,,29.565798945352185
range:medium,SeqGain_basic,-228.92620237354316,9.918499534541721e-08,0.9789475620558757,0.0005124019850722487,4,1.047981690283199,0.023174005575839922,30.47204582332313
range:medium,Static_basic,-227.94959632164105,6.08665474172949e-08,0.9776562086329609,0.0005438326468838458,3,,0.0,31.448651875225238
range:medium,StaticGain_basic,-227.8324492515253,5.740378174662757e-08,0.9784819647424021,0.0005237343062172585,4,1.2524726883895094,0.17769114815017925,31.565798945340987
range:medium,Seq_basic,-227.6093429788001,5.1344460276005455e-08,0.9775036391047301,0.0005475460851722964,3,,0.009900990099009901,31.78890521806619
range:short,Linear_weber,-306.48314909222245,0.6403600918754543,0.9907404153623883,0.00013198817962060489,3,,,0.0
range:short,StaticGain_weber,-304.4831490922318,0.23557531274874033,0.9907404153607824,0.00013198817964349679,4,1.8521843413966281,0.40721326060149576,1.9999999999906208
range:short,SeqGain_weber,-303.061092688332,0.11570021121513835,0.9912885103445762,0.00012417551179700497,4,1.1054937963642102,0.009900990099009901,3.4220564038904513
range:short,Static_basic,-295.5001175062505,0.0026393030040909814,0.9901193533177736,0.00014084093618672438,3,,0.008950536935000902,10.983031585971958
range:short,Linear_basic,-295.50011750622866,0.0026393030040621763,0.990119353317772,0.00014084093618674592,3,,,10.983031585993785
range:short,Seq_basic,-294.4266877670548,0.0015431102138215244,0.989904936337667,0.00014389728352751823,3,,0.009900990099009901,12.056461325167675
range:short,StaticGain_basic,-293.5001175062541,0.0009709453142288652,0.9901193533177731,0.00014084093618673,4,1.0039253515726703,0.012825540890560217,12.98303158596832
range:short,SeqGain_basic,-292.44086948900235,0.0005717181579301329,0.9899077992393541,0.0001438564750898923,4,0.9983022493989978,0.009900990099009901,14.042279603220095
range:short,Static_weber,-268.70130260402203,4.001294667190201e-09,0.9802235687673043,0.00028189765091545687,3,,0.0,37.781846488200415
range:short,Seq_weber,-264.3976578973586,4.6523883677501686e-10,0.9784873635816947,0.0003066459059252597,3,,0.009900990099009901,42.085491194863835
