scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,SeqGain_basic,-215.69501063720344,0.7372979264745587,0.4857260570692188,0.013178387032558747,4,0.5722846486359295,0.3395897584169721,0.0
overall,StaticGain_basic,-212.61520018082996,0.1580777221599274,0.4750578027308453,0.013451763482144455,4,0.5824734259846318,0.2895464609121222,3.0798104563734796
overall,Linear_basic,-211.32261646787782,0.08283038544169453,0.46340763244471717,0.01375030175175007,3,,,4.3723941693256165
overall,SeqGain_weber,-207.36221860434094,0.011434053321394614,0.49000700859666657,0.013068686673690044,4,0.6026351864203918,0.24017848552773818,8.3327920328625
overall,StaticGain_weber,-205.97338038568364,0.005709759632566908,0.4771791103226718,0.013397404491484964,4,0.6193706041389677,0.2126334691050506,9.721630251519798
overall,Linear_weber,-205.56282673091934,0.004650152894177609,0.4676656438245872,0.013641189239392976,3,,,10.132183906284098
overall,Static_basic,-169.22436581945698,5.979580337044443e-11,0.2895534482207516,0.018205354858031136,3,,0.5861796699496833,46.47064481774646
overall,Static_weber,-166.3245868715524,1.4027869182664763e-11,0.28409668110537056,0.01834518575940486,3,,0.512328363745628,49.370423765651026
overall,Seq_basic,-162.2303526020826,1.81108999653759e-12,0.2556432124801018,0.019074312379792523,3,,0.6696560517309177,53.464658035120834
overall,Seq_weber,-154.8653615486833,4.5567221183372324e-14,0.24023835884010025,0.01946906526633958,3,,0.635699313909793,60.82964908852014
range:long,Seq_weber,-73.86248835792087,0.2622433189893226,0.20746205496318526,0.011988239549403045,3,,0.5640632837710954,0.0
range:long,SeqGain_weber,-72.50717371881835,0.1331685277012247,0.20815900274968469,0.011977697244053119,4,0.778241823594322,0.4337032865871461,1.3553146391025166
range:long,Static_weber,-72.40286748699288,0.12640137195851783,0.1558897652100899,0.012768342215203623,3,,0.464005076814511,1.459620870927992
range:long,Linear_weber,-72.40286748699242,0.1264013719584891,0.15588976013477363,0.012768342291974846,3,,,1.4596208709284468
range:long,Seq_basic,-72.24434871027852,0.11676962158538741,0.19059007749177737,0.012243451692702977,3,,0.7098256090011767,1.6181396476423515
range:long,SeqGain_basic,-71.53499386796463,0.08190217327669402,0.21121594547915534,0.011931456730322261,4,0.6972808942094961,0.5497039280741447,2.327494489956237
range:long,StaticGain_weber,-70.40286748699283,0.04650046607940217,0.15588975793893167,0.012768342325190012,4,3.133748256443727,0.8289604391858605,3.4596208709280347
range:long,Static_basic,-70.33836690325093,0.04502473673162783,0.15914004206609877,0.012719177253707798,3,,0.5907043153348486,3.524121454669938
range:long,Linear_basic,-70.33836690325033,0.04502473673161439,0.15914004206609067,0.012719177253707921,3,,,3.524121454670535
range:long,StaticGain_basic,-68.33836690325062,0.01656367498771997,0.1591400420660959,0.012719177253707843,4,1.2871249264297526,0.6820077389371751,5.524121454670251
range:medium,Static_weber,-69.46420766202586,0.36282082537338606,0.12376907346780264,0.01583216422964717,3,,0.6905234399961169,0.0
range:medium,Linear_weber,-69.46420766202563,0.3628208253733448,0.12376907370019752,0.015832164225448146,3,,,2.2737367544323206e-13
range:medium,StaticGain_weber,-67.46420766202586,0.13347432248372273,0.1237690726476649,0.015832164244465815,4,1.7884638823676662,0.8269595661268401,2.0
range:medium,SeqGain_weber,-67.46114255768386,0.13326992278763297,0.12402310134168693,0.01582757433114386,4,0.31160358682271677,0.009900990099009901,2.0030651043419994
range:medium,Static_basic,-59.67804767242724,0.0027205365546556217,0.12877231548510526,0.015741763232718083,3,,0.678082430763708,9.786159989598616
range:medium,Linear_basic,-59.67804767242694,0.002720536554655216,0.12877231548510681,0.015741763232718056,3,,,9.786159989598914
range:medium,SeqGain_basic,-57.816843386126536,0.0010727516472682746,0.13118741524482835,0.0156981260420311,4,0.3470716235568056,0.0927646261523692,11.64736427589932
range:medium,StaticGain_basic,-57.67804767242704,0.0010008294674130915,0.1287723154851057,0.015741763232718076,4,1.3728623357609941,0.7655135355141686,11.786159989598815
range:medium,Seq_weber,-52.93575872449824,9.345125174415185e-05,-0.1745514934440815,0.021222364535772573,3,,0.7933849898322018,16.528448937527614
range:medium,Seq_basic,-47.443899802788465,5.998506177169167e-06,-0.11274621440393084,0.020105636857721508,3,,0.67683267287654,22.02030785923739
range:short,Seq_basic,-84.46056455142146,0.5911199024816577,0.36003851745964244,0.009589482466990776,3,,0.6163388262093078,0.0
range:short,SeqGain_basic,-82.54623438808946,0.2269781587387238,0.36113408652803936,0.009573065947154197,4,0.9238410658271506,0.5700574191472155,1.9143301633319965
range:short,Static_basic,-80.17857674293329,0.06947902950258081,0.3028171275227507,0.0104469145633077,3,,0.43805910409229626,4.281987808488168
range:short,Linear_basic,-80.17857674293322,0.06947902950257835,0.30281712752274814,0.010446914563307739,3,,,4.281987808488239
range:short,StaticGain_basic,-78.17857674293356,0.025559906546547034,0.3028171275227506,0.010446914563307702,4,1.394859756080772,0.5971344635055503,6.281987808487898
range:short,Static_weber,-74.82242101022611,0.0047728666866584364,0.2916427287044716,0.010614356986751195,3,,0.4476743420155246,9.638143541195348
range:short,Linear_weber,-74.8224210102254,0.004772866686656742,0.29164274143678337,0.010614356795964276,3,,,9.638143541196058
range:short,SeqGain_weber,-74.0958555248243,0.003319002759656069,0.3579912132405326,0.009620160231902215,4,0.6825727272163183,0.29558626251877446,10.364709026597154
range:short,Seq_weber,-73.72944864570164,0.002763397565467445,0.368320747352612,0.009465377656759153,3,,0.6040763707832516,10.731115905719818
range:short,StaticGain_weber,-72.82242101022611,0.0017558395294736994,0.29164272895541543,0.010614356982990935,4,1.525794843836023,0.6380079039982599,11.638143541195348
