scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,SeqGain_basic,-321.66843512866467,0.9997641403714081,0.513546145612432,0.006501862309591085,4,0.4521363842100054,0.6585452820232038,0.0
overall,StaticGain_basic,-304.8382686345882,0.00022144880264722032,0.4557856718317391,0.007273879314023334,4,0.4318818914338435,0.4378259910081103,16.83016649407648
overall,Linear_basic,-299.29256198584164,1.3836888410824205e-05,0.4277088497246706,0.007649149506220433,3,,,22.375873142823025
overall,SeqGain_weber,-292.9256218292869,5.734227910159886e-07,0.5241463384389584,0.006360181873530074,4,0.6744492628556965,0.5533691707900473,28.742813299377758
overall,StaticGain_weber,-278.4464510826726,4.114934923301976e-10,0.46101087027475507,0.0072040401699599126,4,0.6491777072584937,0.2958090035971251,43.22198404599209
overall,Linear_weber,-275.68086533833815,1.0323421443425345e-10,0.4468455468141129,0.007393371556444389,3,,,45.98756979032652
overall,Seq_weber,-258.04471132120204,1.5282044906316955e-14,0.2873333904856481,0.009525384835400436,3,,0.7610486568820818,63.623723807462625
overall,Static_weber,-246.3995858604511,4.5235001305504293e-17,0.2188141877536126,0.010441201243695786,3,,0.5428548735150479,75.26884926821356
overall,Seq_basic,-192.54071704784616,9.123675780297357e-29,-0.16599121445153986,0.015584447038869118,3,,0.8856433991030456,129.1277180808185
overall,Static_basic,-187.89328123503586,8.93288986428743e-30,-0.2026824758439849,0.016074856411489334,3,,0.7572072417324858,133.7751538936288
range:long,Seq_weber,-118.58099597055208,0.5590291643172556,0.11491399913137601,0.00527160762461356,3,,0.8552128293622254,0.0
range:long,SeqGain_weber,-117.19887306501356,0.28009818189406327,0.12526596368093734,0.005209950909677791,4,0.747104841637043,0.8027768787375277,1.3821229055385231
range:long,Static_weber,-113.63770018935655,0.04720754603798465,0.03109324361166199,0.0057708473973191975,3,,0.7952919288951569,4.9432957811955305
range:long,Linear_weber,-113.63770018935637,0.047207546037980296,0.031093240832427038,0.005770847413872432,3,,,4.943295781195715
range:long,SeqGain_basic,-112.57594716828677,0.027762251630672,0.1184262015880494,0.005250688806293515,4,0.43462935632892674,0.801250438171596,6.005048802265307
range:long,StaticGain_weber,-111.63770018935656,0.017366685655529054,0.031093241764618584,0.005770847408320262,4,3.277691329796121,0.9375450279643512,6.943295781195516
range:long,Static_basic,-109.9880594003655,0.0076120564018539805,0.03370760685138929,0.005755276145288852,3,,0.88179865367432,8.59293657018658
range:long,Linear_basic,-109.98805940036526,0.007612056401853061,0.03370760685138807,0.005755276145288859,3,,,8.592936570186822
