scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Linear_weber,-35.802990893392405,0.5767255583611028,-0.1405538024902082,0.07111125988319753,3,,,0.0
overall,StaticGain_weber,-33.80299089339269,0.21216547611920072,-0.14055378912646543,0.07111125904999475,4,0.2513148709195463,0.0,1.9999999999997158
overall,SeqGain_weber,-33.79050002015805,0.21084453929297156,-0.14079559892312798,0.07112633540961517,4,0.25131546541914707,0.009900990099009901,2.0124908732343556
overall,Seq_weber,-19.78464718891621,0.00019170350711215963,-0.14656591711778733,0.07148610326611897,3,,0.7029108683347896,16.018343704476194
overall,Static_weber,-17.846053032286363,7.272264825572789e-05,-0.1283864201939635,0.07035264781011744,3,,0.2351114742878819,17.95693786110604
overall,Linear_basic,10.91290448908449,4.137532396527289e-11,0.02965232692187514,0.06049924642455166,3,,,46.715895382476894
overall,StaticGain_basic,12.9129044890845,1.522113105863192e-11,0.029652326921874916,0.06049924642455167,4,0.2042131894977066,0.0,48.7158953824769
overall,SeqGain_basic,12.974352481426894,1.4760588172618344e-11,0.029254739381684325,0.06052403521648335,4,0.20341703043667222,0.009900990099009901,48.777343374819296
overall,Static_basic,61.21005018885179,4.952847896169457e-22,-0.35691461748096787,0.08460092613984956,3,,0.4825001673001127,97.0130410822442
overall,Seq_basic,62.374476983029616,2.7669602822304406e-22,-0.3674891260774533,0.08526022570756832,3,,0.7839885362224144,98.17746787642201
range:long,SeqGain_weber,4.613519421178069,0.4467865734486506,-0.2009020446753078,0.09068526526320414,4,4.951189792478522,0.9900990099009901,0.0
range:long,Linear_weber,4.799666604774302,0.40707906296342866,-0.28164084366869635,0.09678219834464259,3,,,0.1861471835962334
range:long,StaticGain_weber,6.911922518533885,0.14158205848148958,-0.2676816453821418,0.09572807939706421,4,3.6802212637304903,1.0,2.2984030973558163
range:long,Seq_weber,16.98266250048769,0.0009208201640742628,-0.0012229985118241693,0.07560664386429146,3,,0.9055157029028152,12.369143079309623
range:long,Static_basic,17.182207010787792,0.0008333823166558839,0.03033008293246575,0.07322393532171373,3,,0.6007626756002308,12.568687589609723
range:long,Linear_basic,17.18220701078781,0.0008333823166558765,0.03033008293246542,0.07322393532171376,3,,,12.568687589609741
