scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,StaticGain_weber,-340.57432469673785,0.9148981057059484,0.7413595320769132,0.006389556426245914,4,0.8572755059199129,0.9775674698963036,0.0
overall,StaticGain_basic,-335.5506992313991,0.0742174996362636,0.7600778942796066,0.0059271306022384155,4,0.8297586616917869,0.9833647127668914,5.023625465338739
overall,Static_weber,-331.7067893243948,0.01085955147511378,0.7684158819649122,0.0057211456563232765,3,,0.9807691138664492,8.86753537234307
overall,Static_basic,-318.7762069495053,1.6903303979324094e-05,0.7280882424081397,0.0067174156157556505,3,,0.9861966987975922,21.79811774723254
overall,SeqGain_weber,-317.2521541976594,7.889105275623165e-06,0.686335906513381,0.007748881837068189,4,0.8211803695044508,0.9900990099009901,23.322170499078425
overall,SeqGain_basic,-306.5414735043364,3.725915405038301e-08,0.7088876866195586,0.00719175374084327,4,0.7733831946132548,0.9900990099009901,34.03285119240144
overall,Seq_weber,-304.5131599765155,1.3514198818261028e-08,0.7126671129626512,0.007098385297490427,3,,0.9900990099009901,36.06116472022234
overall,Seq_basic,-280.06256961012014,6.628451244640094e-14,0.6480220580787937,0.00869540230405184,3,,0.9900990099009901,60.51175508661771
overall,Linear_weber,-231.61399729761266,1.9995775884996674e-24,0.4275188225433165,0.0141428014560001,3,,,108.96032739912519
overall,Linear_basic,-220.72346087936674,8.631540741530686e-27,0.47721903736678395,0.012914987689805073,3,,,119.8508638173711
range:long,Linear_basic,-157.79564835239432,0.2541377517871232,0.005345776522263868,0.002212150779183424,3,,,0.0
range:long,Static_basic,-157.52764253673269,0.22226570644163524,-1.9317880628477724e-14,0.0022240400000000425,3,,1.0,0.2680058156616383
range:long,Linear_weber,-156.89106901135648,0.16167477883357337,0.004131230496303373,0.002214851978127001,3,,,0.9045793410378451
range:long,Static_weber,-156.62866493907026,0.14179533898601326,-0.0015308513342664476,0.0022274446746014614,3,,1.0,1.1669834133240613
range:long,StaticGain_basic,-155.5276425367341,0.08176698387738271,-6.661338147750939e-16,0.002224040000000001,4,1.2568886326860558,1.0,2.268005815660217
range:long,StaticGain_weber,-154.62866493907023,0.052163590066889046,-0.0015308413160888268,0.0022274446523206336,4,0.1,1.0,3.1669834133240897
range:long,SeqGain_basic,-154.60364983021145,0.05151521437460325,-0.018651663339323443,0.0022655220453331884,4,0.1,0.9900990099009901,3.191998522182871
range:long,SeqGain_weber,-153.8122307946063,0.034680156721877055,-0.01778482262052261,0.0022635941569009465,4,0.1,0.9900990099009901,3.983417557788016
range:long,Seq_weber,-131.25487457874675,4.3834230395104217e-07,-0.6806270484823087,0.003737781780906593,3,,0.9900990099009901,26.540773773647572
range:long,Seq_basic,-126.49486301494053,4.056859881349769e-08,-0.8601471368614055,0.004137041638265239,3,,0.9900990099009901,31.30078533745379
range:medium,Static_basic,-120.76996011905202,0.29816907796485637,0.008576956716552675,0.004638908076444982,3,,0.9577216861461493,0.0
range:medium,Linear_basic,-120.76996011905159,0.2981690779647928,0.00857695671653469,0.004638908076445066,3,,,4.263256414560601e-13
range:medium,StaticGain_basic,-118.76996011905257,0.10969027377634596,0.00857695671655212,0.004638908076444985,4,0.3756930701534651,0.8874658069489498,1.9999999999994458
range:medium,SeqGain_basic,-118.19498168109624,0.08228357247496673,-0.0028897856719991566,0.004692561422750712,4,0.1,0.8939499089238723,2.574978437955778
range:medium,Static_weber,-118.10734013634544,0.07875570424789478,-0.0019803233868720405,0.00468830601234011,3,,0.9491116948827472,2.6626199827065733
range:medium,Linear_weber,-118.10734013634531,0.07875570424788976,-0.0019803166988314747,0.004688305981046501,3,,,2.662619982706701
range:medium,StaticGain_weber,-116.10734013634533,0.028972604467777274,-0.0019803263505460134,0.004688306026207259,4,1.9534549947860553,0.9739495968933439,4.662619982706687
range:medium,SeqGain_weber,-115.78000339339897,0.024598423081438642,-0.010813239082397619,0.004729635578196102,4,0.1,0.9070357742692577,4.989956725653045
range:medium,Seq_weber,-108.35203178866811,0.0005997133644306525,-0.23262955237595895,0.005767522980749208,3,,0.9900990099009901,12.417928330383901
range:medium,Seq_basic,-99.09146768289826,5.8484096070211195e-06,-0.5295229635091265,0.007156699127177744,3,,0.9900990099009901,21.67849243615376
range:short,Static_basic,-208.93865146391258,0.2472377565526094,0.002542895791368349,0.0007954121931801311,3,,0.9881206391895633,0.0
range:short,Linear_basic,-208.93865146391138,0.24723775655246186,0.002542895791301958,0.000795412193180184,3,,,1.1937117960769683e-12
range:short,SeqGain_basic,-208.2551682527021,0.17567028285584524,0.028463529257464537,0.0007747420432289273,4,0.11582000226530952,0.9873150670264208,0.6834832112104721
range:short,StaticGain_basic,-206.9386514639153,0.09095368771717914,0.002542895791381783,0.0007954121931801203,4,1.6674668153717758,0.9928758129829753,1.9999999999972715
range:short,Static_weber,-206.62741163736447,0.07784584597486384,-0.0007455694582865213,0.0007980345469088159,3,,0.9858952772182464,2.3112398265481033
range:short,Linear_weber,-206.6274116373573,0.07784584597458505,-0.00074556843427942,0.0007980345460922316,3,,,2.3112398265552656
range:short,SeqGain_weber,-205.91695349805997,0.054570937884058056,0.02148708158338919,0.000780305341662142,4,0.13169094739045772,0.9900990099009901,3.02169796585261
range:short,StaticGain_weber,-204.62741163736405,0.028637886314744974,-0.0007455575350898691,0.0007980345374007818,4,1.456047998602764,0.9903130070519561,4.31123982654853
range:short,Seq_weber,-166.66843265608614,1.6377718627965988e-10,-1.4335443852561953,0.0019406056345787,3,,0.9900990099009901,42.27021880782644
