scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,SeqGain_basic,-728.963268741423,0.7169068556131402,0.9133367191627587,0.0050195183527563005,4,1.113495825767639,0.05533115074649237,0.0
overall,StaticGain_basic,-725.9177130754971,0.1563611023080687,0.9124524454290999,0.005070735294834649,4,1.1169470584548882,0.05603378085496131,3.0455556659259173
overall,Linear_basic,-725.4974424170231,0.12672669522599123,0.9117432927813285,0.00511180926175588,3,,,3.465826324399927
overall,Seq_basic,-703.9707632641912,2.681693409081075e-06,0.9051776356238316,0.005492090694463875,3,,0.009900990099009901,24.992505477231816
overall,Static_basic,-703.9583940656206,2.6651593907799282e-06,0.9051737259543867,0.005492317141666687,3,,0.0,25.004874675802398
overall,Linear_weber,-654.7860133300611,5.598560549163116e-17,0.9087665161444859,0.005284223516286004,3,,,74.1772554113619
overall,Static_weber,-653.912629616591,3.617624746749462e-17,0.9103210432057331,0.005194185647440013,3,,0.0,75.05063912483206
overall,Seq_weber,-653.8921875594536,3.580837224285035e-17,0.9113156174029075,0.005136580126535833,3,,0.009900990099009901,75.07108118196936
overall,SeqGain_weber,-653.2377331294254,2.5814968873625933e-17,0.9098431432826497,0.0052218655069090235,4,1.0221656386574527,0.014534946861872977,75.72553561199766
overall,StaticGain_weber,-652.7905895524582,2.0643133048924797e-17,0.9088157770397668,0.005281370335959264,4,1.0176857412590368,0.0024316145710629043,76.17267918896482
range:long,Seq_basic,-245.21978407284095,0.30694895281926327,0.7237887403381614,0.004747795342327343,3,,0.068054803974979,0.0
range:long,Linear_basic,-244.32958231207783,0.19668049826474468,0.7213189259857768,0.004790248981230481,3,,,0.8902017607631194
range:long,Static_basic,-244.32958231207203,0.19668049826417452,0.7213189259857626,0.004790248981230726,3,,0.07185864491627635,0.8902017607689174
range:long,SeqGain_basic,-243.31058248983453,0.1181648477993742,0.7240394219690427,0.004743486375774126,4,0.9766108634700374,0.056805578673709695,1.9092015830064213
range:long,StaticGain_basic,-242.32958231208008,0.07235471179103634,0.7213189259857822,0.004790248981230389,4,1.336895180151882,0.30574867115732574,2.890201760760874
range:long,Static_weber,-240.82834936700323,0.0341568825114377,0.7229094578415565,0.004762909329161486,3,,0.13937382937695217,4.3914347058377246
range:long,Linear_weber,-240.82834936700118,0.03415688251140275,0.7229094584493301,0.004762909318714465,3,,,4.391434705839771
range:long,SeqGain_weber,-239.22291626649707,0.015306040480447213,0.7266017770317381,0.004699442054601453,4,0.8888614581980027,0.03561774783957508,5.996867806343886
range:long,Seq_weber,-238.89402174110649,0.01298507070764595,0.7183462455384392,0.0048413463854397685,3,,0.09468495017010083,6.325762331734467
range:long,StaticGain_weber,-238.82834936700436,0.012565614850473455,0.722909446897108,0.004762909517285609,4,1.23756269435618,0.3045796613470908,6.391434705836588
range:medium,Linear_basic,-228.55015054653995,0.23941301677752136,0.8177705043789901,0.005609023875214686,3,,,0.0
range:medium,Static_basic,-227.21061064611638,0.12253788089007622,0.8153130449967512,0.005684664475000001,3,,0.0,1.3395399004235742
range:medium,SeqGain_basic,-227.15316838930602,0.11906851521468734,0.8188660741917912,0.0055753022363766655,4,1.0928801726669939,0.03634579358995565,1.3969821572339356
range:medium,Seq_basic,-227.04351740466808,0.11271624937469765,0.8150041876090547,0.005694171105393299,3,,0.009900990099009901,1.5066331418718732
range:medium,Static_weber,-226.58402112979888,0.08957940653449449,0.817683650642882,0.005611697233212096,3,,0.05836948476894602,1.9661294167410688
range:medium,Linear_weber,-226.5840211297948,0.08957940653431118,0.8176836531327596,0.005611697156573661,3,,,1.9661294167451615
range:medium,StaticGain_basic,-226.550150546541,0.08807512682133001,0.8177705043789926,0.005609023875214611,4,1.8641493116436407,0.432450010668239,1.9999999999989484
range:medium,Seq_weber,-226.1362231725936,0.07160940908803082,0.8184847744454696,0.005587038642568447,3,,0.038119290476143076,2.4139273739463647
range:medium,SeqGain_weber,-224.6737497670824,0.03446656674846223,0.8185862804293697,0.005583914288384003,4,0.9539558576209803,0.014180087419546862,3.876400779457555
range:medium,StaticGain_weber,-224.58402112979945,0.03295442201638865,0.8176836510926832,0.005611697219367213,4,2.479400048177416,0.6202184038200763,3.9661294167405003
range:short,Linear_weber,-260.2599180747974,0.38763313089416046,0.8152736381631712,0.004477959126341041,3,,,0.0
range:short,SeqGain_weber,-258.50903354996865,0.16151808066404721,0.8200020065102706,0.0043633385601042724,4,1.0894392018100714,0.021225149311833745,1.7508845248287344
range:short,Static_weber,-258.3843449496276,0.15175582137250437,0.8125670923810902,0.004543568610906297,3,,0.0,1.875573125169808
range:short,StaticGain_weber,-258.25991807479863,0.1426022595729695,0.8152736368361707,0.004477959158508913,4,1.847658934977881,0.42203949703211396,1.9999999999987494
range:short,Seq_weber,-258.0082415014534,0.1257406015114064,0.813253650366582,0.004526925731317671,3,,0.009900990099009901,2.251676573343957
range:short,SeqGain_basic,-253.48113356900473,0.013074543566770418,0.8232431443502557,0.004284770008079677,4,1.2442240508269395,0.06413918874954852,6.7787845057926575
range:short,Linear_basic,-253.43618064165724,0.012783952031872999,0.819591338257933,0.004373293585635916,3,,,6.823737433140138
range:short,StaticGain_basic,-251.43618064165878,0.004702953129451573,0.8195913382579342,0.004373293585635888,4,1.1754755936300751,0.0004930830730640412,8.823737433138604
range:short,Static_basic,-243.8442607050401,0.00010563459771501814,0.8014295756287679,0.004813553600000011,3,,0.0,16.41565736975727
range:short,Seq_basic,-243.36251595359366,8.30226591019661e-05,0.8004706651354657,0.0048367985876245695,3,,0.009900990099009901,16.897402121203726
