scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,StaticGain_weber,-684.4622947847263,0.9942709091439509,0.27506950397965224,0.007927462135142263,4,0.6388092097080711,0.9697929572407412,0.0
overall,SeqGain_weber,-674.1493890653966,0.00572909085602747,0.26125919003962716,0.008078484531682336,4,0.6334357542584778,0.9900990099009901,10.312905719329706
overall,Static_weber,-621.5013317867912,2.116924309601083e-14,0.09310700836662422,0.009917309164488068,3,,0.9807034846518891,62.9609629979351
overall,Seq_weber,-613.185764770271,3.311333292310618e-16,0.08923023896402815,0.009959703494447247,3,,0.9900990099009901,71.27653001445526
overall,Linear_weber,-612.4659357088053,2.3104363086354334e-16,0.18158778894974303,0.008949729456348962,3,,,71.99635907592096
overall,StaticGain_basic,-593.3016649399331,1.5930355904194343e-20,0.27853623072720546,0.007889551817980848,4,0.3343733360318336,0.9194871262235759,91.16062984479322
overall,SeqGain_basic,-589.5767727966736,2.4738617563212262e-21,0.26952247197588586,0.007988121586515441,4,0.32130951404698327,0.9900990099009901,94.88552198805269
overall,Linear_basic,-559.7979600975847,8.452562883570762e-28,0.1878964603452814,0.008880741113486116,3,,,124.6643346871416
overall,Static_basic,-317.5853855745313,2.1438585567721163e-80,-0.8207487422899316,0.019910759433282542,3,,0.9730786647693058,366.876909210195
overall,Seq_basic,-299.63864473964315,2.7171328467932237e-84,-0.9329943606242528,0.02113821902294779,3,,0.9900990099009901,384.8236500450831
range:long,Static_basic,-319.9384609454861,0.34869372171462926,0.17840795978751178,0.0022490178349572633,3,,0.8157954291042192,0.0
range:long,Linear_basic,-319.93846094548417,0.3486937217142923,0.1784079597875029,0.0022490178349572876,3,,,1.9326762412674725e-12
range:long,SeqGain_basic,-318.21413381357917,0.14723506374718373,0.18066974712940775,0.0022428264409054305,4,0.20122456904749847,0.09724870556626596,1.7243271319069322
range:long,StaticGain_basic,-317.9384609454876,0.12827725148446303,0.17840795978752744,0.0022490178349572204,4,1.3039087379130838,0.8587288681243951,1.999999999998522
range:long,Linear_weber,-314.1993461373591,0.019779312032473247,0.17431570516625905,0.0022602199318349342,3,,,5.739114808126999
range:long,StaticGain_weber,-312.19934613736007,0.00727640225726536,0.17431571041327676,0.0022602199174718003,4,1.758083057783198,0.7570422376719627,7.739114808126033
range:long,Seq_basic,-300.9490802578825,2.62393156642308e-05,0.0065956542469882695,0.002719335122020837,3,,0.9900990099009901,18.989380687603614
range:long,SeqGain_weber,-300.22702361412894,1.8287734001828216e-05,0.08809131860524344,0.0024962497053631926,4,1.4456449577526957,0.9900990099009901,19.71143733135716
range:long,Static_weber,-259.52367992277044,2.6518021361965665e-14,-0.43630034034348775,0.00393171418865286,3,,0.572860073384323,60.41478102271566
range:long,Seq_weber,-251.14143557501404,4.011990380331194e-16,-0.6219285439967748,0.004439850977051332,3,,0.5711592551881647,68.79702537047206
range:medium,Linear_weber,-192.2783034098231,0.4203649041297392,-0.012176420653302378,0.012855612231660771,3,,,0.0
range:medium,Static_weber,-191.9616291414975,0.3588074950806949,-0.015452351562004862,0.012897219699094966,3,,1.0,0.3166742683256132
range:medium,StaticGain_weber,-189.9616291414975,0.1319979007784111,-0.015452354649813094,0.012897219738313094,4,1.378028384014859,1.0,2.316674268325613
range:medium,SeqGain_weber,-189.1633016663427,0.08855486307459966,-0.02271461507027328,0.012989457417422941,4,0.1,0.9900990099009901,3.1150017434804056
range:medium,Seq_weber,-177.61290130762185,0.00027483677646108286,-0.142271568913098,0.014507945505902507,3,,0.9900990099009901,14.665402102201256
range:medium,Linear_basic,-147.25657874160797,7.035308651266537e-11,0.004355642556326034,0.012645639158117809,3,,,45.02172466821514
range:medium,Static_basic,-146.82006314138846,5.6558124194364605e-11,4.440892098500626e-16,0.012700959999999999,3,,1.0,45.45824026843465
range:medium,StaticGain_basic,-144.82006314138857,2.0806571122329064e-11,0.0,0.012700960000000004,4,1.874899484499159,1.0,47.45824026843454
range:medium,SeqGain_basic,-143.78072543007048,1.2374030976988639e-11,-0.010447575863605119,0.012833654243140617,4,0.1,0.9900990099009901,48.497577979752634
range:medium,Seq_basic,-126.3579934105274,2.038041442965961e-15,-0.22705954969346664,0.015584834258274737,3,,0.9900990099009901,65.92030999929571
range:short,Linear_basic,-291.26807497086315,0.3809714522529075,0.0005609707715130696,0.0029957585237706348,3,,,0.0
range:short,Static_basic,-291.21196215341513,0.37043131210709684,-7.993605777301127e-15,0.002997440000000023,3,,1.0,0.05611281744802454
range:short,StaticGain_basic,-289.21196215341524,0.13627406409037066,-6.8833827526759706e-15,0.0029974400000000196,4,1.3560246793508932,1.0,2.056112817447911
range:short,SeqGain_basic,-288.7683814142511,0.10916687398922602,-0.00444566014815706,0.0030107655995544906,4,0.1,0.9900990099009901,2.499693556612044
range:short,Linear_weber,-279.7041337650571,0.001174395845060284,-0.028552393627089723,0.003083024086753583,3,,,11.563941205806032
range:short,Static_weber,-279.67651594360706,0.0011582901744898997,-0.02882399635725963,0.0030838381996411033,3,,1.0,11.591559027256096
range:short,StaticGain_weber,-277.67651594360706,0.00042611114210571675,-0.028823992293589118,0.003083838187460495,4,2.3162592382799154,1.0,13.591559027256096
range:short,SeqGain_weber,-277.5258911084568,0.00039519835034166343,-0.030510015079586728,0.0030888919396001554,4,0.1,0.9900990099009901,13.742183862406364
range:short,Seq_weber,-267.1978113922039,2.259961852013925e-06,-0.19686304524502507,0.0035875251663392465,3,,0.9900990099009901,24.07026357865925
range:short,Seq_basic,-259.2310613649534,4.208654943809804e-08,-0.37686476890692044,0.004127069532912358,3,,0.9900990099009901,32.03701360590975
