scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Linear_weber,-468.4689439569798,0.6071150128419729,0.6620620201220015,0.012116606653840603,3,,,0.0
overall,StaticGain_weber,-466.4689439569806,0.22334513165118688,0.6620620224134213,0.012116606571682833,4,0.676484202849836,0.0,1.9999999999992042
overall,SeqGain_weber,-465.88905092170864,0.16712996327713606,0.6615777896182478,0.012133968509841204,4,0.6786873378965929,0.009900990099009901,2.579893035271141
overall,Linear_basic,-456.3602916929965,0.0014253139690625248,0.6503395065346997,0.01253691184174199,3,,,12.108652263983288
overall,StaticGain_basic,-454.3602916929948,0.000524343706432125,0.650339506534696,0.01253691184174213,4,0.726134026074599,0.0,14.108652263984993
overall,SeqGain_basic,-454.0994694177625,0.0004602345542095128,0.6500353768626468,0.012547816267487088,4,0.7284284078572394,0.009900990099009901,14.369474539217265
overall,Seq_basic,-393.47717187302567,3.155110472859636e-17,0.5687995494626685,0.015460488489650969,3,,0.1265826007660779,74.99177208395412
overall,Static_basic,-392.4149681854418,1.8550685819130768e-17,0.5672701010551657,0.015515326139913735,3,,0.14072191292173505,76.05397577153798
overall,Static_weber,-343.0799339282909,3.5924720581671116e-28,0.45610590618791924,0.019501065841866082,3,,0.19402383643897572,125.38901002868886
overall,Seq_weber,-341.7632963167207,1.8598982005340248e-28,0.4558617928265538,0.019509818411138347,3,,0.16850739482613641,126.70564764025909
range:long,Static_weber,-163.69608617838156,0.23151040767258943,0.4588535771125224,0.011095492172530454,3,,0.13316480544101103,0.0
range:long,Linear_weber,-163.69608617838077,0.2315104076724973,0.4588535752465176,0.011095492210790415,3,,,7.958078640513122e-13
range:long,Seq_weber,-162.90992338721503,0.15626346087118678,0.4629838645879576,0.011010806086813646,3,,0.08457846655189091,0.7861627911665323
range:long,SeqGain_weber,-161.72858969021675,0.08656335607278912,0.46049105110767985,0.011061917932495663,4,0.8816245371692193,0.01867146653207238,1.9674964881648123
range:long,StaticGain_weber,-161.69608617838168,0.08516791939996983,0.4588535760763961,0.011095492193774852,4,1.165413626599369,0.25619956001036703,1.9999999999998863
range:long,Linear_basic,-160.9035612806321,0.05730353881226268,0.4619273549445647,0.011032468420671309,3,,,2.792524897749473
range:long,Static_basic,-160.90356128056828,0.057303538810434505,0.4619273549442584,0.01103246842067759,3,,0.1887995481497118,2.79252489781328
range:long,Seq_basic,-160.4424003036437,0.04550316539672055,0.45944024349193247,0.011083463353812778,3,,0.158615631576565,3.2536858747378687
range:long,SeqGain_basic,-159.45643450750757,0.027793411456144338,0.4648940060735717,0.010971641160269425,4,0.8710282725819576,0.0797930097215497,4.239651670873997
range:long,StaticGain_basic,-158.9035612806325,0.021080793835405447,0.46192735494456794,0.011032468420671245,4,1.471292362295429,0.448648105955497,4.792524897749075
range:medium,Static_basic,-133.05207572192603,0.3336602463839552,0.4390958277166017,0.0145757247324477,3,,0.2876635244898096,0.0
range:medium,Linear_basic,-133.052075721926,0.3336602463839504,0.4390958277166007,0.014575724732447726,3,,,2.842170943040401e-14
range:medium,SeqGain_basic,-131.58052386108216,0.15986781514465606,0.44205209732222905,0.014498902747274884,4,0.7605861766367952,0.07274293684915858,1.4715518608438742
range:medium,StaticGain_basic,-131.05207572192478,0.12274674498077844,0.43909582771659983,0.014575724732447748,4,1.1120996182269505,0.3594670446513534,2.0000000000012506
range:medium,Seq_basic,-129.25843441468183,0.050064020441477515,0.41740836400035475,0.015139297829053669,3,,0.21594287608178167,3.793641307244201
range:medium,Static_weber,-105.41632305948242,3.3287181488876245e-07,0.4350208296352466,0.014681618133235375,3,,0.2620735854816157,27.635752662443608
range:medium,Linear_weber,-105.41632305948174,3.328718148886489e-07,0.435020845555965,0.01468161771951763,3,,,27.63575266244429
range:medium,StaticGain_weber,-103.41632305948244,1.2245669724300262e-07,0.43502082802111286,0.01468161817518045,4,2.5099703227615495,0.7060019277981412,29.635752662443593
range:medium,SeqGain_weber,-103.36583217277919,1.19403920120116e-07,0.43653689911619,0.014642221365442513,4,0.7443830089040636,0.009900990099009901,29.686243549146837
range:medium,Seq_weber,-99.69609005078705,1.9060935354791185e-08,0.38458002048225115,0.015992379196935434,3,,0.14647954540121677,33.35598567113898
range:short,Seq_weber,-236.62485966049206,0.6135395127846014,0.7447080986619754,0.006443237672338221,3,,0.18778824361052363,0.0
range:short,SeqGain_weber,-235.08576365640795,0.2842052435067777,0.7471361677118977,0.006381956347347095,4,0.9489832126282852,0.1524580310364962,1.539096004084115
range:short,Static_weber,-231.31717038244236,0.043180976029399847,0.7364642298114081,0.006651302268455042,3,,0.17571360380010678,5.307689278049708
range:short,Linear_weber,-231.31717038244204,0.0431809760293931,0.7364642311170849,0.006651302235501446,3,,,5.30768927805002
range:short,StaticGain_weber,-229.3171703824421,0.01588539333093103,0.7364642347912326,0.006651302142770707,4,1.417908645533236,0.4186604283447164,7.307689278049963
range:short,SeqGain_basic,-212.6869969263757,3.888675376724024e-06,0.7447139485209942,0.006443090029456446,4,1.2559708232347213,0.1127713755258405,23.93786273411635
range:short,Linear_basic,-211.76496404638783,2.4523632206949977e-06,0.7371443516832736,0.0066341368713405315,3,,,24.859895614104232
range:short,StaticGain_basic,-209.76496404638806,9.021740111787769e-07,0.7371443516832754,0.006634136871340489,4,1.7232819570825333,0.340251243195493,26.859895614104005
range:short,Static_basic,-207.77751539953553,3.3398066266226975e-07,0.7264513453870834,0.006904014531528967,3,,0.0,28.847344260956532
range:short,Seq_basic,-207.6990140163786,3.211256255750355e-07,0.7262365216008135,0.00690943640627452,3,,0.009900990099009901,28.92584564411345
