scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Linear_weber,-386.6722887499083,0.573663804667186,0.6117754260875068,0.004455465361555655,3,,,0.0
overall,SeqGain_weber,-384.7121236617936,0.21528462170131182,0.6112257224725153,0.00446177404364405,4,0.3855181649672643,0.014518254499488256,1.9601650881147066
overall,StaticGain_weber,-384.67228874990917,0.2110391198813378,0.611775427665713,0.004455465343443346,4,0.38385095543613407,0.0,1.9999999999991473
overall,Linear_basic,-364.11696520426403,7.258237456184778e-06,0.5673694047725337,0.004965091755937275,3,,,22.555323545644285
overall,StaticGain_basic,-362.1169652042639,2.6701563392707354e-06,0.567369404772534,0.0049650917559372724,4,0.38324901264215183,0.0,24.5553235456444
overall,SeqGain_basic,-362.0054555327537,2.5253563689258347e-06,0.5670476685612882,0.00496878416657042,4,0.38420051131240845,0.009900990099009901,24.666833217154647
overall,Static_basic,-179.03422184932373,4.6840778547608635e-46,-0.4858899888023578,0.017052839570334526,3,,0.5290056441249941,207.6380669005846
overall,Seq_basic,-170.882708802793,7.953266539490104e-48,-0.5688726939199571,0.018005191876458736,3,,0.7595841368449621,215.78957994711533
overall,Static_weber,-155.5199082455032,3.669068187936324e-51,-0.7719405205807208,0.02033570294796385,3,,0.5359536313467742,231.15238050440513
overall,Seq_weber,-146.3435752299712,3.731989271711954e-53,-0.789207537603783,0.020533868137427067,3,,0.7775383385039587,240.3287135199371
range:long,SeqGain_weber,-174.73638989249406,0.9994790714993225,0.700189990805058,0.0019034937483786863,4,1.768274454595652,0.9900990099009901,0.0
range:long,SeqGain_basic,-158.7378994193694,0.00033554103441390984,0.6714864178688187,0.0020857327329508696,4,1.5651937414806218,0.9900990099009901,15.998490473124662
range:long,Seq_weber,-157.52435696686553,0.00018290612277547649,0.5401078857749274,0.0029198550332149853,3,,0.9865129389508098,17.212032925628534
range:long,Seq_basic,-148.92394184241192,2.481257451797395e-06,0.5839284109499019,0.0026416385188790725,3,,0.9900990099009901,25.81244805008214
range:long,Static_weber,-126.6486755476499,3.6112637714669123e-11,0.20331586077418562,0.0050581475999446944,3,,0.6449504504452138,48.08771434484416
