scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,StaticGain_weber,-593.589886602297,0.47052105858989046,0.9609651819560475,0.0018856295889039976,4,1.102109228246175,0.0324810090879406,0.0
overall,Linear_weber,-593.3347339669035,0.41416498056447115,0.9613792750106305,0.001865626264810053,3,,,0.2551526353935287
overall,SeqGain_weber,-590.7775221751264,0.11531396079944947,0.9612173300645369,0.0018734492340828645,4,1.0901256546869886,0.009900990099009901,2.812364427170678
overall,Static_weber,-547.1100887220633,3.798561793717445e-11,0.9552132717247319,0.002163483378632852,3,,0.0,46.47979788023372
overall,Seq_weber,-544.0447529280177,8.203326278398699e-12,0.9547087528038782,0.0021878548462864822,3,,0.009900990099009901,49.54513367427933
overall,Linear_basic,-512.743147178985,1.3089789412999067e-18,0.9618401918762162,0.0018433610533059408,3,,,80.84673942331199
overall,StaticGain_basic,-510.83389587199656,5.038995913249107e-19,0.9618632712455234,0.0018422461732106909,4,1.027723414185599,0.010028448709505533,82.75599073030048
overall,Static_basic,-510.7209504261589,4.762316053429583e-19,0.9613222642816129,0.0018683802450489143,3,,0.0,82.86893617613816
overall,SeqGain_basic,-510.28472387954207,3.829065744308858e-19,0.9617233911856281,0.0018490032683645403,4,1.0265267971757581,0.009900990099009901,83.30516272275497
overall,Seq_basic,-509.78886570582574,2.9882614265297883e-19,0.9610811765000361,0.0018800263158453118,3,,0.009900990099009901,83.8010208964713
range:long,Linear_weber,-142.41598934326143,0.4557515170896605,0.8160069299944517,0.0037132063528796237,3,,,0.0
range:long,StaticGain_weber,-140.41598934325606,0.167661613419531,0.8160069285781435,0.003713206381462465,4,1.5603071946041238,0.2941803513705425,2.0000000000053717
range:long,Static_weber,-140.10180741561274,0.14328802687824158,0.8070113992180543,0.0038947472230082413,3,,0.0,2.31418192764869
range:long,SeqGain_weber,-139.88582943382204,0.12862070315496227,0.8150868666015417,0.00373177436326992,4,1.1078283065132328,0.009900990099009901,2.5301599094393907
range:long,Seq_weber,-139.33274007234212,0.09754590686840912,0.8051147956770421,0.003933023014140855,3,,0.009900990099009901,3.0832492709193104
range:long,Linear_basic,-132.05994884190793,0.0025700554939546752,0.8165977954516802,0.0037012819615456914,3,,,10.356040501353505
range:long,Static_basic,-131.09298739078366,0.0015847818536496566,0.8130164193085547,0.00377355853504003,3,,0.0,11.323001952477767
range:long,Seq_basic,-130.58791191371628,0.0012311011681731526,0.8111180307316455,0.0038118703503915597,3,,0.009900990099009901,11.828077429545147
range:long,StaticGain_basic,-130.05994884190818,0.0009454705788957622,0.8165977954516825,0.0037012819615456437,4,1.57980624462651,0.32211838902080514,12.356040501353249
range:long,SeqGain_basic,-129.72786443340829,0.0008008234945223772,0.8153756411079971,0.003725946538711703,4,1.0778894360514888,0.009900990099009901,12.688124909853144
range:medium,Linear_weber,-221.962311392603,0.3156494939681041,0.9682237332800493,0.0007624347103178496,3,,,0.0
range:medium,Static_weber,-221.4955037926715,0.2499419277063195,0.9681050886790249,0.0007652814500815234,3,,0.0,0.46680759993148513
range:medium,Seq_weber,-221.01772195922896,0.1968294632370639,0.967815436629945,0.0007722313154662637,3,,0.009900990099009901,0.9445894333740341
