scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,SeqGain_basic,-383.67597218208135,0.8530241712555958,0.9226893656722938,0.0043003871979405165,4,1.1003959614345074,0.08449575581553637,0.0
overall,Linear_basic,-379.4484098329766,0.10302860924245205,0.9194120930327107,0.004482684774800174,3,,,4.227562349104744
overall,StaticGain_basic,-377.44840983297496,0.037902107192752915,0.9194120930327105,0.004482684774800179,4,1.074069325329174,0.0,6.2275623491063925
overall,Seq_basic,-372.99367709483056,0.004086301737024115,0.9158685756120175,0.004679792159626879,3,,0.040246198170746345,10.682295087250793
overall,Static_basic,-371.52303573689665,0.001958775751011202,0.9150396711665525,0.004725899788888904,3,,0.0,12.152936445184707
overall,Linear_weber,-347.77483419911255,1.3649862527424077e-08,0.9125391149553435,0.0048649926835718305,3,,,35.901137982968805
overall,Static_weber,-346.23679561061056,6.326265894926318e-09,0.9169899230713033,0.004617417451408666,3,,0.0,37.439176571470796
overall,Seq_weber,-345.8039278784035,5.09508469641776e-09,0.9181731531217944,0.004551600537531312,3,,0.009900990099009901,37.87204430367785
overall,StaticGain_weber,-345.77483419911283,5.021503798656495e-09,0.912539114456776,0.004864992711304535,4,1.0282217896331711,0.0,37.90113798296852
overall,SeqGain_weber,-345.65456890665087,4.72844693056912e-09,0.9134556650903892,0.0048140097819141655,4,1.0310726680792615,0.009900990099009901,38.02140327543049
range:long,Static_basic,-117.93530611238987,0.2295315131270032,0.6618764439075944,0.004909499934692754,3,,0.18219615187496196,0.0
range:long,Linear_basic,-117.93530611238913,0.22953151312691839,0.6618764439075908,0.004909499934692806,3,,,7.389644451905042e-13
range:long,Seq_basic,-116.53116527921152,0.11374623013200647,0.652246395513215,0.0050493266965714,3,,0.14590573891770842,1.4041408331783458
range:long,SeqGain_basic,-116.2451676958973,0.09859012691904584,0.6639653943784265,0.004879168708088346,4,0.8541016923743209,0.057802395990309646,1.690138416492573
range:long,Static_weber,-116.01456608871379,0.08785347064458471,0.6635833810693921,0.004884715480213397,3,,0.25774852286844013,1.9207400236760748
range:long,Linear_weber,-116.01456608871283,0.08785347064454226,0.6635833847322776,0.004884715427028886,3,,,1.920740023677041
range:long,StaticGain_basic,-115.93530611238889,0.08443992478035613,0.661876443907587,0.004909499934692862,4,1.2862498462999845,0.36419523814252003,2.0000000000009805
range:long,SeqGain_weber,-114.02060199168541,0.03241717165716475,0.6641150288028577,0.0048769960401871155,4,0.7475964788069535,0.009900990099009901,3.9147041207044566
range:long,StaticGain_weber,-114.0145660887137,0.03231948568570016,0.6635833805615042,0.004884715487587848,4,1.520853135035787,0.5119505478747163,3.92074002367616
range:long,Seq_weber,-109.68910942249668,0.0037170932826779413,0.6249110265656945,0.005446231880030365,3,,0.18250086601577495,8.246196689893182
range:medium,SeqGain_basic,-138.76584232819968,0.8614001010533968,0.9048439781415418,0.003109809175319768,4,1.2810629899321275,0.1586171255217845,0.0
range:medium,SeqGain_weber,-133.34554643177597,0.05730633303137516,0.9013697638328358,0.0032233505290168783,4,1.1430468514914596,0.0986805667985583,5.42029589642371
range:medium,Linear_basic,-131.42124811286953,0.02189508061785684,0.8852897063504581,0.003748865460407664,3,,,7.344594215330147
range:medium,Linear_weber,-131.20001837714378,0.019602304079521186,0.8804575045370592,0.003906787421023642,3,,,7.565823951055904
range:medium,Seq_weber,-130.2212589090796,0.012016339881586388,0.8915899443118599,0.0035429663755530156,3,,0.0332608935374928,8.544583419120073
range:medium,Static_weber,-129.54010683829026,0.008547948776446103,0.8841805972891726,0.003785112431096982,3,,0.0,9.225735489909425
range:medium,StaticGain_basic,-129.42124811287138,0.008054750022108292,0.8852897063504619,0.0037488654604075377,4,1.880157425551186,0.3962323499835759,9.3445942153283
range:medium,StaticGain_weber,-129.2000183771437,0.0072112846704466315,0.8804574997930693,0.003906787576062737,4,2.603120678859758,0.5909994904797662,9.56582395105599
range:medium,Seq_basic,-126.94360941809046,0.002333671164933492,0.8745430667763641,0.004100078107790964,3,,0.03892735961940236,11.822232910109221
range:medium,Static_basic,-126.22856545020468,0.0016321867023289431,0.8727360320135515,0.0041591341,3,,0.0,12.537276877994998
range:short,SeqGain_basic,-144.26420842337896,0.8342254236760813,0.8954828091269412,0.0027859642523482718,4,1.4124739297143851,0.1308691733719634,0.0
range:short,Linear_basic,-140.05163986488517,0.10151630020766059,0.8816551363907714,0.0031545486126276084,3,,,4.2125685584937855
range:short,StaticGain_basic,-138.05163986488765,0.03734575979023272,0.881655136390777,0.00315454861262746,4,1.9220314448618079,0.3346309991224027,6.212568558491313
range:short,Linear_weber,-136.1629016553727,0.01452469456094967,0.8755002073613782,0.0033186116926663418,3,,,8.101306768006253
range:short,SeqGain_weber,-134.3561197461017,0.005885309433567004,0.8830490086912545,0.0031173941658897445,4,1.1660840577963787,0.021127010280777337,9.908088677277249
range:short,StaticGain_weber,-134.16290165537407,0.005343336518271697,0.8755002041716012,0.0033186117776916324,4,1.6098010719589306,0.28638069027266183,10.10130676800489
range:short,Static_weber,-129.7600813985668,0.00059122427218824,0.8625254253967887,0.003664461771810375,3,,0.0,14.504127024812163
range:short,Seq_weber,-129.2957645569051,0.0004687347314086203,0.8631113743828958,0.0036488429734542614,3,,0.009900990099009901,14.968443866473848
range:short,Static_basic,-124.89026786061604,5.179474289567389e-05,0.8397347307653631,0.004271960500000018,3,,0.0,19.373940562762925
range:short,Seq_basic,-124.71386587639114,4.742206674449149e-05,0.8391683099454142,0.004287058764151415,3,,0.009900990099009901,19.55034254698782
