scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Linear_basic,-104.1768025424526,0.580697848492015,0.09496699906650463,0.02808866728771621,3,,,0.0
overall,StaticGain_basic,-102.17680254245236,0.21362679999267556,0.09496699906650374,0.028088667287716237,4,0.25784742091211693,0.0,2.0000000000002416
overall,SeqGain_basic,-102.09990859617596,0.20556938034517633,0.09450293640496044,0.028103069968819908,4,0.2579487084470718,0.009900990099009901,2.076893946276641
overall,Linear_weber,-85.871512056222,6.151866367803621e-05,0.06358704927006331,0.029062577596432396,3,,,18.305290486230604
overall,StaticGain_weber,-83.87151205622115,2.263145161548022e-05,0.06358705155429556,0.029062577525538806,4,0.24605432048146417,0.0,20.305290486231456
overall,SeqGain_weber,-83.7985814934936,2.1821054835801966e-05,0.06308923348665307,0.029078027841778546,4,0.24621849925957953,0.009900990099009901,20.378221048959006
overall,Static_basic,-37.445378423976905,1.8767463714310977e-15,-0.41212023817809107,0.04382666212118562,3,,0.7131986465777236,66.7314241184757
overall,Seq_basic,-37.441109241621064,1.872744557820975e-15,-0.4121604294087391,0.04382790949902089,3,,0.9900990099009901,66.73569330083154
overall,Seq_weber,-13.071085011321657,9.563019033316544e-21,-0.4831832130255578,0.04603217756085135,3,,0.9900990099009901,91.10571753113095
overall,Static_weber,-10.802474085885564,3.075901450574726e-21,-0.5061495997529266,0.04674496393982394,3,,0.7290014218127294,93.37432845656704
range:long,Static_basic,-49.209182697412906,0.30304033662510504,0.026633120904608232,0.019408178679076925,3,,0.8077594690514246,0.0
range:long,Linear_basic,-49.209182697412636,0.30304033662506413,0.026633120904603014,0.01940817867907703,3,,,2.7000623958883807e-13
range:long,Seq_basic,-48.14290969021953,0.17781246317629038,0.005652710979507702,0.019826511738616673,3,,0.9900990099009901,1.0662730071933737
range:long,StaticGain_basic,-47.20918269741231,0.11148230969001614,0.02663312090460268,0.019408178679077036,4,1.1900792383689065,0.8384640255450267,2.000000000000597
range:long,SeqGain_basic,-47.06353107037645,0.10365210084347724,0.023793537620588667,0.019464797761700313,4,0.5338533076356533,0.9900990099009901,2.1456516270364574
range:long,Linear_weber,-35.107307128390154,0.00026261351201740566,0.0006455344292221055,0.01992635094544888,3,,,14.101875569022752
range:long,Static_weber,-35.107307128390104,0.00026261351201739916,0.0006455282164452569,0.01992635106932682,3,,0.754727585231458,14.101875569022802
range:long,Seq_weber,-35.02331154285604,0.00025181271645220943,-0.026546263645380375,0.020468534254714274,3,,0.9900990099009901,14.185871154556864
range:long,SeqGain_weber,-33.152200030861735,9.880318751499722e-05,-0.013949409708998495,0.020217362782536438,4,0.7571267375044244,0.9900990099009901,16.05698266655117
range:long,StaticGain_weber,-33.10730712839011,9.661011204503101e-05,0.0006455312853300699,0.019926351008135643,4,3.1931005158633363,0.9231867509275146,16.101875569022795
range:medium,Seq_basic,-36.15297357661944,0.18328820597967285,0.021886858158537525,0.02519936362041565,3,,0.9900990099009901,0.0
range:medium,Linear_basic,-35.583436461269386,0.13786724816961266,0.010681727187317636,0.02548804409885862,3,,,0.5695371153500517
range:medium,Static_basic,-35.58343646126929,0.13786724816960577,0.010681727187318857,0.02548804409885859,3,,0.8892882739757209,0.5695371153501512
range:medium,Seq_weber,-35.22630234286363,0.11532153611977732,-0.016580655258925603,0.026190411400792972,3,,0.9900990099009901,0.9266712337558047
range:medium,SeqGain_basic,-34.950757016938006,0.10047927930941591,0.03736946139379993,0.024800481597440808,4,0.6083944738230518,0.9900990099009901,1.2022165596814318
range:medium,Static_weber,-34.79099780306864,0.0927652328221393,-0.025193554143866814,0.026412307581861444,3,,0.9007872715454016,1.361975773550796
range:medium,Linear_weber,-34.79099780306844,0.09276523282213008,-0.025193549870034637,0.026412307471753684,3,,,1.361975773550995
range:medium,SeqGain_weber,-33.73827333616536,0.0548010683844154,-0.006240177839518912,0.025924007199322217,4,0.6115758652570494,0.9900990099009901,2.4147002404540743
range:medium,StaticGain_basic,-33.583436461269436,0.050718526212482906,0.010681727187318413,0.0254880440988586,4,0.8609587006882232,0.8714088159301343,2.569537115350002
range:medium,StaticGain_weber,-32.79099780306867,0.03412642201074783,-0.025193553613550135,0.02641230756819877,4,2.9212394451207153,0.966037457558138,3.3619757735507676
range:short,Static_basic,-24.616692793557302,0.25311079719772517,0.16326827604971839,0.03173894122215103,3,,0.34350142149342666,0.0
range:short,Linear_basic,-24.61669279355725,0.2531107971977184,0.16326827604971894,0.03173894122215101,3,,,5.3290705182007514e-14
range:short,Seq_basic,-23.127324546711428,0.12019833895882985,0.13796931907638044,0.03269858227002197,3,,0.47606245119689294,1.4893682468458742
range:short,StaticGain_basic,-22.616692793557252,0.09311425862755508,0.16326827604971939,0.031738941222151,4,0.9480246356476576,0.307508936478615,2.0000000000000497
range:short,SeqGain_basic,-22.591259954615033,0.09193767547370262,0.1628425585233837,0.031755089556388665,4,0.6605108911640029,0.009900990099009901,2.025432838942269
range:short,Linear_weber,-21.89427530545811,0.06488513692122737,0.10994847543379616,0.03376147003190622,3,,,2.722417488099193
range:short,Static_weber,-21.894275305457967,0.06488513692122276,0.10994849501857618,0.033761469289015564,3,,0.6559230761869123,2.7224174880993353
range:short,StaticGain_weber,-19.894275305458372,0.023869907910916782,0.10994849316263144,0.03376146935941533,4,1.372186236645222,0.7492491729764157,4.72241748809893
range:short,SeqGain_weber,-19.856677053958826,0.023425366101099136,0.10947162948894684,0.03377955777136008,4,0.34558404295894846,0.009900990099009901,4.760015739598476
range:short,Seq_weber,-18.427214592648625,0.011462584690002817,0.027663339295631806,0.03688271310730452,3,,0.9900990099009901,6.1894782009086775
