scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,StaticGain_basic,-278.15907150943775,0.979578692137479,0.7273448280351502,0.008689809950902424,4,0.8198060656332506,0.34935556145174357,0.0
overall,SeqGain_basic,-269.03713194782773,0.010238476123179265,0.7102493223901465,0.009234661875034692,4,0.7519194575460901,0.21088206537767412,9.12193956161002
overall,StaticGain_weber,-268.0052597708552,0.0061117717338422224,0.6884454808378734,0.009929573465830661,4,0.7509977257738564,0.5999659061004735,10.153811738582533
overall,Linear_basic,-265.9888930496883,0.0022300708212407046,0.7003318346867791,0.009550742742716839,3,,,12.17017845974948
overall,Static_basic,-265.6052931019718,0.0018408609494817226,0.6995645026595774,0.009575198429500888,3,,0.466597867819926,12.553778407465927
overall,SeqGain_weber,-246.17267829141278,1.109896021053683e-07,0.6436772798985282,0.01135638358354548,4,0.6723476006188707,0.6588494320918167,31.986393218024972
overall,Seq_basic,-241.7612107762191,1.2227686485102616e-08,0.6478019608504565,0.011224925620279758,3,,0.4567294186616926,36.397860733218664
overall,Static_weber,-239.96699362668537,4.985801584747246e-09,0.6562124761448145,0.010956873564012322,3,,0.6995753334930787,38.192077882752386
overall,Linear_weber,-229.84995188159704,3.1684531493114855e-11,0.6391410542780358,0.011500957912550232,3,,,48.309119627840715
overall,Seq_weber,-210.93792694733443,2.4782964482735897e-15,0.5437936194123936,0.014539781941882393,3,,0.9900990099009901,67.22114456210332
range:long,Linear_basic,-80.85353139795392,0.28760596619513856,0.4105541307274373,0.010306838269587093,3,,,0.0
range:long,Static_basic,-80.85353139795374,0.287605966195114,0.4105541307274351,0.010306838269587133,3,,0.2931849973237267,1.7053025658242404e-13
range:long,Seq_basic,-79.61798699761403,0.15506109029868437,0.3958069422246878,0.01056470229875831,3,,0.25064797747802997,1.23554440033989
range:long,SeqGain_basic,-79.47058589373212,0.14404397260706575,0.4177838322573023,0.010180422311328425,4,0.7774315017166087,0.12324203532230399,1.3829455042217944
range:long,StaticGain_basic,-78.85353139795248,0.10580432212136438,0.4105541307274222,0.010306838269587358,4,1.2325949195932657,0.4265633920740917,2.0000000000014353
range:long,Seq_weber,-72.94523619318767,0.005514846218082335,0.4045825402304565,0.010411255351244722,3,,0.14951021756986999,7.908295204766247
range:long,Static_weber,-72.784849004005,0.00508985922711606,0.4073633355561752,0.01036263136526552,3,,0.15898984087339224,8.068682393948919
range:long,Linear_weber,-72.78484900400487,0.005089859227115735,0.40736334151914044,0.010362631260999258,3,,,8.068682393949047
range:long,SeqGain_weber,-71.20628331110487,0.00231166334220582,0.41275851749051673,0.010268293156227121,4,0.907365502406059,0.10246034147060551,9.647248086849046
range:long,StaticGain_weber,-70.78484900400525,0.0018724545681130052,0.40736333811790004,0.010362631320472122,4,1.9309803341189962,0.5644647006747251,10.068682393948663
range:medium,Static_basic,-88.50230260020113,0.24584601265654799,0.5613175111345043,0.008844821624303452,3,,0.29001968930369876,0.0
range:medium,Linear_basic,-88.50230260020079,0.24584601265650607,0.5613175111345023,0.008844821624303492,3,,,3.410605131648481e-13
