scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,StaticGain_weber,-347.6129158254587,0.4282130620985746,0.6324672119778485,0.005837611480024957,4,0.6312937147810184,0.15515759981506094,0.0
overall,Linear_weber,-347.2709397709435,0.36091152785391345,0.6219029795206449,0.006005405719558513,3,,,0.34197605451515756
overall,SeqGain_weber,-346.1858520904047,0.20978622013157247,0.6206148315275541,0.0060258656832882914,4,0.603225818393341,0.08026348286836478,1.4270637350539914
overall,StaticGain_basic,-335.4580164516509,0.0009823291862906536,0.626600490820804,0.005930794020175372,4,0.5304879452539888,0.3111302205361898,12.15489937380778
overall,Linear_basic,-330.3954826959257,7.815230840580574e-05,0.6085990527903339,0.006216715180758457,3,,,17.217433129532992
overall,SeqGain_basic,-328.392544511138,2.8708421224426294e-05,0.608591385993186,0.006216836954337589,4,0.46828501179959314,0.009900990099009901,19.220371314320687
overall,Static_weber,-286.0854578245976,1.8669907365329707e-14,0.4674823811141213,0.008458105144992943,3,,0.466656301423304,61.52745800086109
overall,Seq_weber,-262.92948914855384,1.7493932784794322e-19,0.3322705952595495,0.010605706390549714,3,,0.5715836422354624,84.68342667690484
overall,Static_basic,-232.47500400846374,4.263635118950735e-26,0.24815087944157477,0.011941800025618402,3,,0.6345628181577707,115.13791181699494
overall,Seq_basic,-201.23415540798277,7.0131956085269e-33,0.07406134026493316,0.014706905957850402,3,,0.8080046102045668,146.37876041747592
range:long,Static_weber,-96.95416957149507,0.19567112874017306,0.10637110730864607,0.00753808141625294,3,,0.658867957773506,0.0
range:long,Linear_weber,-96.95416957149389,0.19567112874005765,0.10637110762167035,0.0075380814136124675,3,,,1.1795009413617663e-12
range:long,Static_basic,-96.68979470379418,0.1714424945298877,0.1098364560612397,0.007508849951999262,3,,0.7460753600302829,0.26437486770089436
range:long,Linear_basic,-96.68979470379374,0.17144249452984991,0.10983645606123094,0.007508849951999336,3,,,0.2643748677013349
range:long,StaticGain_weber,-94.95416957149502,0.07198338549431817,0.10637111263942134,0.007538081371285932,4,3.7168807329801634,0.9082208759299375,2.000000000000057
