scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,StaticGain_basic,-330.9955522146835,0.9992926649051674,0.7590678442993117,0.006109884468882622,4,0.8385312453422853,0.9202070482942303,0.0
overall,Static_basic,-316.4847388120561,0.000705845426774563,0.7310333291891181,0.006820821736539078,3,,0.9330913105209523,14.510813402627434
overall,SeqGain_basic,-303.23208094170974,9.352581758574323e-07,0.7100799513295867,0.007352185919050373,4,0.7842267820115523,0.9900990099009901,27.76347127297379
overall,Static_weber,-301.40654432212176,3.7542334352525785e-07,0.7491757063733623,0.006360742722742635,3,,0.8189208565348466,29.589007892561767
overall,StaticGain_weber,-299.9249682109455,1.7897860073058731e-07,0.7485044147713344,0.006377766245905795,4,1.0348156714242136,0.825013156059565,31.07058400373802
overall,Seq_basic,-279.71835493761114,7.32808987587847e-12,0.6563249126837091,0.008715379116701633,3,,0.9900990099009901,51.27719727707239
overall,Seq_weber,-274.1188320949062,4.457279327584079e-13,0.69831462051655,0.007650547139439491,3,,0.9900990099009901,56.8767201197773
overall,SeqGain_weber,-272.1189093506765,1.6398047691435667e-13,0.6982912027373585,0.007651140999254351,4,1.0004606758973495,0.9900990099009901,58.87664286400701
overall,Linear_basic,-227.323652448892,3.073446808096653e-23,0.5126440722127561,0.012359032796370965,3,,,103.67189976579152
overall,Linear_weber,-207.2147417685687,1.3213906468914854e-27,0.5096703358230608,0.012434444838109893,3,,,123.78081044611483
range:long,Static_weber,-144.3286889424888,0.33836310218115667,-0.0022209733144389343,0.0031910715790331745,3,,1.0,0.0
range:long,Linear_weber,-144.3286889424872,0.3383631021808826,-0.0022209760015354796,0.00319107158758889,3,,,1.6200374375330284e-12
range:long,StaticGain_weber,-142.32868894248872,0.12447682894343425,-0.002220976931686325,0.0031910715905504906,4,2.0394801276992265,1.0,2.0000000000000853
range:long,SeqGain_weber,-142.14612498655947,0.1136175072711096,-0.005537387668417049,0.0032016310423362408,4,0.1,0.9900990099009901,2.1825639559293393
range:long,Static_basic,-139.58699722953202,0.03160368504687041,-1.2656542480726785e-14,0.0031840000000000414,3,,1.0,4.7416917129567935
range:long,Linear_basic,-139.58699722953023,0.03160368504684212,-3.441691376337985e-14,0.003184000000000111,3,,,4.741691712958584
range:long,StaticGain_basic,-137.58699722953236,0.011626345994002939,-4.884981308350689e-15,0.0031840000000000167,4,0.9030597977768341,1.0,6.741691712956452
range:long,SeqGain_basic,-137.3262702583366,0.010205331130493045,-0.005228158797232707,0.00320064645761039,4,0.1,0.9900990099009901,7.002418684152218
range:long,Seq_weber,-128.74184354529177,0.00013955407576809304,-0.3395472386131626,0.0042651184077443114,3,,0.9900990099009901,15.586845397197038
range:long,Seq_basic,-118.55893855711342,8.581294403225365e-07,-0.5228158797226765,0.004848645761037004,3,,0.9900990099009901,25.76975038537539
range:medium,Static_weber,-85.32398469693112,0.37042799506873925,-0.010647868068557553,0.011338266408766215,3,,0.9956593508538194,0.0
range:medium,Linear_weber,-85.32398469693075,0.37042799506867086,-0.010647866333956424,0.011338266389306056,3,,,3.694822225952521e-13
range:medium,StaticGain_weber,-83.32398469693115,0.13627284382014754,-0.01064786269460738,0.01133826634847689,4,1.1277266886258475,0.9961509805022386,1.9999999999999716
range:medium,SeqGain_weber,-82.87795043867258,0.10903205825588044,-0.020328620939187747,0.01144687293587877,4,0.1,0.9900990099009901,2.4460342582585355
range:medium,Static_basic,-76.6210223302301,0.004773968345085623,0.00013405890877737914,0.01121730601857362,3,,0.9918155111192943,8.702962366701016
range:medium,Linear_basic,-76.62102233022972,0.004773968345084707,0.00013405890877482562,0.01121730601857365,3,,,8.7029623667014
range:medium,StaticGain_basic,-74.62102233022988,0.0017562448069600547,0.00013405890877460358,0.011217306018573651,4,0.9912613415881099,0.9917433257564959,10.702962366701243
range:medium,SeqGain_basic,-74.13417770274494,0.0013767912126664925,-0.009649079715971842,0.011327061192008343,4,0.1,0.9873197880140677,11.189806994186185
range:medium,Seq_weber,-73.77749050942762,0.0011518991174756365,-0.2575755712700274,0.014108501394719898,3,,0.9900990099009901,11.546494187503498
range:medium,Seq_basic,-63.33982082351628,6.23595928924427e-06,-0.30406976421570553,0.0146301109114808,3,,0.9900990099009901,21.984163873414843
