scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,StaticGain_basic,-489.23027260676173,0.9998264177364605,0.9556122228104239,0.0021276322219836,4,1.1039424461236493,0.22240377335376874,0.0
overall,Static_basic,-471.77803561006556,0.00016226299783288648,0.9494660330528147,0.002422236552244721,3,,0.14157852137737215,17.452236996696172
overall,StaticGain_weber,-466.38767092871257,1.0957631143412097e-05,0.9531498873447493,0.002245658953886109,4,1.1748903338506071,0.15751077291637464,22.842601678049164
overall,SeqGain_basic,-458.48630604453723,2.1084198327926054e-07,0.9455150825082755,0.0026116168325440274,4,1.0384383129630952,0.10205325001512561,30.7439665622245
overall,Seq_basic,-457.55248675521057,1.3218458458390318e-07,0.9444389333782354,0.002663199716610385,3,,0.07534240947063858,31.677785851551164
overall,SeqGain_weber,-452.2537719017872,9.345004169935657e-09,0.9450447039203629,0.0026341634141378756,4,1.1235181454541856,0.08739219101504213,36.97650070497451
overall,Linear_basic,-452.1798331659195,9.005833366362525e-09,0.9424127950952619,0.002760318278746029,3,,,37.05043944084224
overall,Linear_weber,-445.06789279008603,2.571494954822472e-10,0.9409546751342917,0.0028302101095360175,3,,,44.162379816675696
overall,Seq_weber,-423.1931672717044,4.5724544067710515e-15,0.9353579882545162,0.003098475206274395,3,,0.020508538686780417,66.03710533505733
overall,Static_weber,-422.78518444406393,3.728696527812546e-15,0.9352450599648677,0.0031038881799135896,3,,0.010167543692472943,66.4450881626978
range:long,Static_weber,-200.98601002411684,0.2707880600939071,0.9084171705850883,0.0009553224735060041,3,,0.19398043471298937,0.0
range:long,Linear_weber,-200.98601002411502,0.27078806009366085,0.9084171717595578,0.00095532246125483,3,,,1.8189894035458565e-12
range:long,Static_basic,-199.0909751582533,0.10498516095167774,0.90714781328048,0.000968563444196126,3,,0.18850328416144066,1.8950348658635505
range:long,Linear_basic,-199.09097515825178,0.10498516095159868,0.9071478132804736,0.000968563444196193,3,,,1.8950348658650569
range:long,StaticGain_weber,-198.9860100241174,0.0996173602232738,0.9084171712105229,0.0009553224669819451,4,2.0030132994835768,0.597596509317251,1.9999999999994316
range:long,SeqGain_weber,-198.51868719115663,0.07886007128180408,0.907314110842253,0.0009668287544178575,4,0.8114432297060199,0.009900990099009901,2.467322832960207
range:long,StaticGain_basic,-197.09097515825295,0.03862188234219056,0.9071478132804797,0.0009685634441961294,4,1.5897630820251016,0.489548643124441,3.8950348658638916
range:long,SeqGain_basic,-196.67080392251273,0.03130360911321732,0.9063642492200923,0.0009767369889654043,4,0.8171697977914109,0.009900990099009901,4.315206101604105
range:long,Seq_basic,-182.7473536190987,2.965893785276504e-05,0.8712488760270173,0.0013430338744319368,3,,0.09554195477102995,18.238656405018133
range:long,Seq_weber,-182.05458545391988,2.097601081721406e-05,0.8656032363171773,0.001401924897198808,3,,0.09902232740976598,18.931424570196953
range:medium,Static_weber,-159.47437060524817,0.3102819525326347,0.8415475596611179,0.003406752819676417,3,,0.04648499894657665,0.0
range:medium,Linear_weber,-159.47437060524746,0.31028195253252444,0.8415475603925731,0.0034067528039500167,3,,,7.105427357601002e-13
range:medium,Seq_weber,-158.28531100621103,0.1712203988708964,0.8377879265852102,0.003487585532349727,3,,0.009900990099009901,1.1890595990371366
range:medium,StaticGain_weber,-157.4743706052481,0.11414635130328638,0.8415475592537592,0.0034067528284346944,4,1.2398441149669577,0.23093959810138098,2.000000000000057
range:medium,SeqGain_weber,-157.08731765879716,0.0940620748612912,0.840432591088128,0.0034307248223906734,4,0.9598433940073983,0.009900990099009901,2.387052946451007
range:medium,Static_basic,-136.00461281074456,2.4852115585289146e-06,0.8409082852302079,0.0034204973222248915,3,,0.10263777523748163,23.469757794503607
range:medium,Linear_basic,-136.00461281074402,2.4852115585282438e-06,0.8409082852302071,0.0034204973222249093,3,,,23.469757794504147
range:medium,StaticGain_basic,-134.00461281074422,9.142582393442705e-07,0.8409082852302079,0.003420497322224894,4,2.335779455067576,0.6158189302573813,25.46975779450395
range:medium,SeqGain_basic,-133.76478595608418,8.109445195048832e-07,0.8401433628964489,0.0034369432747882846,4,0.9036131006437506,0.009900990099009901,25.709584649163986
range:medium,Seq_basic,-133.0745981685246,5.74273491006331e-07,0.8313068892862508,0.0036269288712433203,3,,0.036096489876839125,26.399772436723566
range:short,Linear_weber,-176.58415444005902,0.2752292982951317,0.8494323471100294,0.001809437734546048,3,,,0.0
range:short,Seq_weber,-176.26723193287427,0.23489610467703032,0.8528246897815506,0.001768670460031603,3,,0.01225220327681791,0.31692250718475634
range:short,Static_weber,-176.18446726841645,0.2253739395851743,0.8512396688647995,0.0017877183537974037,3,,0.0,0.39968717164256873
range:short,SeqGain_weber,-175.31305977592098,0.1457739639871016,0.8540604295902521,0.0017538200310249202,4,1.0659006380406673,0.04620520539065283,1.2710946641380474
range:short,StaticGain_weber,-174.58415444005948,0.10125120045084428,0.84943234272949,0.0018094377871889175,4,2.739981754898835,0.6234286040382075,1.9999999999995453
range:short,Static_basic,-168.96265192746387,0.0060912499436413985,0.8527662404230886,0.0017693728716899587,3,,0.1554979107981309,7.621502512595157
range:short,Linear_basic,-168.96265192746097,0.00609124994363257,0.8527662404230818,0.0017693728716900396,3,,,7.621502512598056
range:short,SeqGain_basic,-167.05621911883733,0.0023481714094206263,0.8530415077700564,0.0017660648628638142,4,0.8566003284729761,0.018943694866211818,9.52793532122169
range:short,StaticGain_basic,-166.96265192746202,0.0022408456253003076,0.8527662404230889,0.0017693728716899548,4,1.779322738592027,0.5253800111063652,9.621502512597004
range:short,Seq_basic,-164.6469235220051,0.0007039760827228875,0.8394932347039483,0.0019288804215393833,3,,0.11285946621371133,11.937230918053928
