scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,StaticGain_basic,-410.76535862760556,0.9290486951743463,0.8705588924821157,0.00358984546299936,4,0.9192400612451899,0.7235387537041605,0.0
overall,Static_basic,-405.5123482923633,0.06719884007447492,0.8641461858405877,0.003767691792377025,3,,0.745865823373982,5.253010335242266
overall,StaticGain_weber,-399.7357572556115,0.00374102810564641,0.8677041570054158,0.003669017059995148,4,0.8950258356354464,0.6189947695116501,11.02960137199409
overall,Static_weber,-388.15517120172643,1.143664553224182e-05,0.849827945735607,0.00416478565432423,3,,0.6589905034278503,22.610187425879133
overall,SeqGain_basic,-336.0299562288384,5.488479487277706e-17,0.7869638167935091,0.005908223364303778,4,0.8633721452004127,0.9900990099009901,74.73540239876718
overall,Seq_basic,-324.7584382666557,1.9582720194100525e-19,0.7672560756851878,0.006454786557097061,3,,0.9900990099009901,86.00692036094989
overall,SeqGain_weber,-313.5775188740384,7.3108390208403865e-22,0.7742216689085711,0.006261606788246528,4,0.7719639768455862,0.5952788900005165,97.18783975356718
overall,Linear_weber,-289.3042876675322,3.918339260605579e-27,0.7130574079997348,0.007957901332782609,3,,,121.46107096007336
overall,Seq_weber,-288.9622192020488,3.302347810664599e-27,0.7549798254305115,0.006795249043276777,3,,0.9900990099009901,121.80313942555676
overall,Linear_basic,-288.2631052523965,2.3281563737248057e-27,0.7031458229098804,0.008232783551022515,3,,,122.50225337520908
range:long,Static_weber,-157.71023015547655,0.19787665920976952,0.07599685294363112,0.0022213035655235104,3,,0.8873015545450698,0.0
range:long,Linear_weber,-157.7102301554745,0.19787665920956707,0.07599684943035834,0.002221303573969418,3,,,2.0463630789890885e-12
range:long,Linear_basic,-157.38392355658584,0.16808849620909627,0.07219553594209527,0.0022304419315952026,3,,,0.3263065988907101
range:long,Static_basic,-157.38392355657928,0.1680884962085445,0.07219553594207995,0.0022304419315952394,3,,0.8900988891768923,0.32630659889727553
range:long,StaticGain_weber,-155.71023015547635,0.07279475481095471,0.07599685843894843,0.0022213035523127676,4,2.3920940861638296,0.952887138912997,2.000000000000199
range:long,SeqGain_weber,-155.69669897972392,0.07230391777317244,0.07578424238566295,0.0022218146813048657,4,0.11331318662081175,0.009900990099009901,2.0135311757526324
range:long,StaticGain_basic,-155.38392355658553,0.06183630205274077,0.07219553594210681,0.002230441931595175,4,1.7911171297462252,0.9386410084822522,2.3263065988910228
range:long,SeqGain_basic,-155.36106885216907,0.06113369894226518,0.07177134507626548,0.002231461686436657,4,0.12973155880638082,0.24788171501905126,2.3491613033074827
range:long,Seq_weber,-132.41725640711562,6.369349856953822e-07,-0.5589445786438103,0.003747702767059719,3,,0.9900990099009901,25.292973748360936
range:long,Seq_basic,-131.37714003392017,3.786489037845594e-07,-0.5608045027500672,0.003752174024611161,3,,0.9900990099009901,26.33309012155638
range:medium,Linear_basic,-106.77116508185938,0.21737264350178823,0.15065652573938693,0.006137729656135865,3,,,0.0
range:medium,Static_basic,-106.77116508185891,0.21737264350173727,0.15065652573938482,0.006137729656135881,3,,0.77979415425287,4.689582056016661e-13
range:medium,Static_weber,-106.0477513313172,0.15139711065492498,0.14615154040704037,0.0061702846623409476,3,,0.7927367959690768,0.7234137505421785
range:medium,Linear_weber,-106.0477513313162,0.15139711065484968,0.146151529418575,0.006170284741748433,3,,,0.7234137505431733
range:medium,StaticGain_basic,-104.77116508185921,0.07996692661739019,0.15065652573938337,0.006137729656135891,4,1.0715838077533284,0.7945043155405168,2.0000000000001705
range:medium,SeqGain_basic,-104.64583880880485,0.07510972131880811,0.14852495439428748,0.006153133328566946,4,0.220266463388801,0.009900990099009901,2.125326273054526
range:medium,StaticGain_weber,-104.04775133131726,0.0556958844627064,0.1461515450273143,0.006170284628952815,4,1.9259966567027946,0.8923865234684362,2.7234137505421216
range:medium,SeqGain_weber,-103.89838273238834,0.0516878093191576,0.14366096241715687,0.006188282674750162,4,0.20686370072522495,0.009900990099009901,2.872782349471038
range:medium,Seq_basic,-77.57100223771242,9.919050240296204e-08,-0.5230450385291099,0.011006193588228302,3,,0.9900990099009901,29.20016284414696
range:medium,Seq_weber,-76.2318494048623,5.0778135143824705e-08,-0.570908269700896,0.011352074356497344,3,,0.9900990099009901,30.539315676997077
range:short,SeqGain_basic,-180.63348957297916,0.507355267978512,0.6926721860728517,0.0013460958250009097,4,0.5180606002394426,0.17373193237850443,0.0
range:short,Static_basic,-178.83592048622504,0.206526129729483,0.6684209119661852,0.0014523164055881088,3,,0.5486205302966475,1.7975690867541232
range:short,Linear_basic,-178.83592048622228,0.20652612972919834,0.6684209119661768,0.001452316405588146,3,,,1.79756908675688
range:short,StaticGain_basic,-176.83592048622575,0.07597671719221,0.6684209119661875,0.0014523164055880989,4,1.3554824131223353,0.6669971378251195,3.7975690867534126
range:short,Static_weber,-168.72337852875458,0.0013154199416098569,0.6818214293052647,0.0013936221396429408,3,,0.5711316395299019,11.910111044224578
range:short,Linear_weber,-168.72337852874816,0.0013154199416056324,0.6818214277596186,0.0013936221464128703,3,,,11.910111044231002
range:short,SeqGain_weber,-166.79227464091036,0.0005008763663812527,0.6880579368229895,0.0013663062367153056,4,0.4359771646652154,0.02312558185791384,13.841214932068794
range:short,StaticGain_weber,-166.7233785287542,0.00048391595302511604,0.68182143404971,0.0013936221188622702,4,1.8970522567679355,0.7739290683305389,13.910111044224948
