scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,SeqGain_weber,-263.7655828855045,0.9605840884583101,0.30092807569655644,0.011523268576243197,4,0.5487797758875262,0.5739436525156157,0.0
overall,Linear_weber,-256.5324490143223,0.02581548715948331,0.2530409035464455,0.01231262475957491,3,,,7.23313387118219
overall,StaticGain_weber,-255.25051819197307,0.013599175666638834,0.2606908805502015,0.012186525088637329,4,0.49644845042951835,0.17562980446698326,8.515064693531428
overall,SeqGain_basic,-236.54039376631638,1.1766862724906363e-06,0.3042473507667207,0.011468554752411632,4,0.3880057067794288,0.6783158005184894,27.225189119188116
overall,StaticGain_basic,-230.0656984329695,4.620600909496603e-08,0.27355785566089985,0.01197443015990428,4,0.3699084832780473,0.4227210279324568,33.699884452535
overall,Linear_basic,-228.88493603080434,2.5603489621556378e-08,0.2579891049813158,0.012231060256522985,3,,,34.88064685470016
overall,Seq_weber,-219.3575702402642,2.1850328292470863e-10,0.1481697089373829,0.014041286574445826,3,,0.8499994375054736,44.40801264524029
overall,Static_weber,-209.0983223809824,1.2932741577572602e-12,0.09767546161265672,0.014873616915930837,3,,0.5907427507761052,54.66726050452209
overall,Seq_basic,-136.47720971051874,2.198955032469276e-28,-0.3739092672548572,0.022647062391673314,3,,0.9254145221517952,127.28837317498576
overall,Static_basic,-135.46598538709242,1.3262694822550582e-28,-0.383202761278701,0.022800253249331014,3,,0.7864596899177708,128.29959749841208
range:long,Seq_weber,-83.69674492109938,0.27078743947755746,0.10032742807655426,0.011969819687315555,3,,0.7465634494435994,0.0
range:long,Static_weber,-83.50160554214838,0.24561480305074987,0.06543673721227705,0.012434027768616051,3,,0.5735615697886515,0.19513937895099787
range:long,Linear_weber,-83.50160554214821,0.2456148030507289,0.0654367319961574,0.012434027838014646,3,,,0.1951393789511684
range:long,SeqGain_weber,-82.4392554093713,0.14440031401508155,0.0948209996025865,0.012043080735847445,4,0.6361806017065009,0.4707313661220707,1.2574895117280818
range:long,StaticGain_weber,-81.50160554214807,0.0903566364897296,0.06543673194871302,0.012434027838645875,4,3.3727305879259704,0.8735628462972176,2.1951393789513105
