scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Linear_basic,-265.1463880426735,0.5637319368214684,0.6023827007996827,0.009604537332541237,3,,,0.0
overall,StaticGain_basic,-263.40047696709615,0.23547937061929705,0.6030556650088306,0.009588281727256395,4,0.5880558899897234,0.06692340153777829,1.7459110755773395
overall,SeqGain_basic,-263.0815803358756,0.20077301589407112,0.6022108725807506,0.009608687882697975,4,0.5744572140122283,0.009900990099009901,2.0648077067978647
overall,Linear_weber,-243.0596000262201,9.015453134936521e-06,0.5954906795959967,0.009771015690199713,3,,,22.086788016453397
overall,StaticGain_weber,-241.09032033348393,3.3679366053925063e-06,0.5960219474804266,0.00975818279223514,4,0.5363855568798281,0.022669027095725183,24.056067709189563
overall,SeqGain_weber,-241.0454850049117,3.2932753257236995e-06,0.5952658709554176,0.00977644599462928,4,0.5327171837379717,0.009900990099009901,24.100903037761782
overall,Static_basic,-206.33065636551902,9.536714494619551e-14,0.41148944572375223,0.014215607823172516,3,,0.45129874751681,58.815731677154474
overall,Seq_basic,-198.61111918076136,2.009659961067246e-15,0.3804097070059559,0.014966346061677367,3,,0.7452119909597263,66.53526886191213
overall,Static_weber,-163.1240615373969,3.955541299401043e-23,0.3128062657845563,0.016599322736296534,3,,0.4757737183736916,102.0223265052766
overall,Seq_weber,-150.03672410740484,5.692810258024916e-26,0.2510592589583761,0.01809083589084857,3,,0.7366314940419795,115.10966393526866
range:long,SeqGain_weber,-88.01880673870943,0.37472754630100313,0.41737638100772456,0.009052286548410752,4,1.8652237855765499,0.9284549816298747,0.0
range:long,SeqGain_basic,-87.02933581054334,0.22848344447126973,0.436698225210874,0.00875208095311892,4,1.7105529901258856,0.9277221880842241,0.9894709281660852
range:long,Seq_weber,-85.83750622237824,0.12590768258903498,0.3665795340422078,0.009841522685598186,3,,0.7061327425147408,2.1813005163311914
range:long,Seq_basic,-85.44102029626931,0.10326577425836593,0.39478618570157575,0.009403272870334193,3,,0.7485406250859318,2.5777864424401145
range:long,Linear_weber,-83.31931345633069,0.03574650769528956,0.35627778105305974,0.010001582142456476,3,,,4.699493282378739
range:long,Static_weber,-83.3193134563306,0.03574650769528803,0.3562777863768807,0.01000158205973969,3,,0.3351538130157172,4.699493282378825
range:long,Static_basic,-83.2794282710588,0.03504069095423594,0.36804786947417745,0.009818708998260272,3,,0.36916318688842176,4.739378467650624
range:long,Linear_basic,-83.27942827105852,0.03504069095423096,0.3680478694741728,0.009818708998260345,3,,,4.7393784676509085
range:long,StaticGain_weber,-81.31931345633072,0.013150405274773971,0.3562777771018345,0.010001582203847092,4,0.8550904643756528,0.22248444250259733,6.699493282378711
range:long,StaticGain_basic,-81.27942827105915,0.01289074980650773,0.3680478694741832,0.009818708998260182,4,1.4317372336086438,0.5593906422045862,6.739378467650283
range:medium,Static_basic,-71.63184015931309,0.39796161254311635,0.240973425937144,0.012394358499733676,3,,0.581359989460577,0.0
range:medium,Linear_basic,-71.63184015931279,0.39796161254305695,0.24097342593713866,0.012394358499733762,3,,,2.984279490192421e-13
range:medium,StaticGain_basic,-69.63184015931294,0.1464018956300373,0.240973425937141,0.012394358499733726,4,1.1498972153295854,0.6359326318961233,2.000000000000142
range:medium,Seq_basic,-66.67916713832611,0.03344890461969118,0.16193953756017265,0.013684925101280616,3,,0.9812673900322801,4.952673020986978
range:medium,SeqGain_basic,-64.683519721498,0.01233197312619176,0.1620125018849572,0.0136837336462908,4,0.9724511020987477,0.9775851989884432,6.9483204378150845
range:medium,Static_weber,-62.41255583651372,0.003961859114022743,0.2101961834024908,0.012896928753059424,3,,0.6441604507962185,9.219284322799368
range:medium,Linear_weber,-62.412555836513405,0.003961859114022124,0.21019617131421064,0.012896928950452352,3,,,9.21928432279968
range:medium,Seq_weber,-60.87531922993465,0.0018369288705581597,0.152510107773294,0.013838900913485795,3,,0.9900990099009901,10.75652092937844
range:medium,StaticGain_weber,-60.412555836513704,0.0014574865168666623,0.2101961893585007,0.012896928655802062,4,2.751605267196047,0.8706792846945992,11.219284322799382
range:medium,SeqGain_weber,-58.87561385376232,0.0006758679224367013,0.15264138310200392,0.013836757281705563,4,1.0061206287559747,0.9900990099009901,12.756226305550769
range:short,Seq_basic,-109.7287307253744,0.2618803955093743,0.5285763830472054,0.005785203851681148,3,,0.40988992662740587,0.0
range:short,Linear_basic,-109.38179740653453,0.22017468068698612,0.525293957156001,0.005825485038761675,3,,,0.34693331883987355
range:short,Static_basic,-109.38179740651191,0.22017468068449553,0.5252939571558248,0.005825485038763838,3,,0.33021638275750226,0.34693331886249723
range:short,SeqGain_basic,-109.32858487358175,0.21439389799446384,0.5434217921568241,0.005603024353513691,4,0.8037035825416017,0.2426054843542417,0.40014585179265794
range:short,StaticGain_basic,-107.38179740653649,0.08099773849130863,0.5252939571560116,0.005825485038761546,4,1.5190213675990754,0.5590689172805253,2.3469333188379125
range:short,Static_weber,-98.15904662719906,0.0008049668719669749,0.529621845391729,0.005772374174582196,3,,0.42879452644689803,11.569684098175344
range:short,Linear_weber,-98.15904662719868,0.0008049668719668204,0.5296218522584267,0.005772374090315636,3,,,11.569684098175728
range:short,SeqGain_weber,-96.9767663578983,0.0004457066450500316,0.5367293190949818,0.00568515286711024,4,0.6354081018995154,0.1532951829169042,12.751964367476106
range:short,StaticGain_weber,-96.15904662719906,0.0002961307630207347,0.5296218418992036,0.005772374217441675,4,1.9219329576867072,0.702796351300575,13.569684098175344
range:short,Seq_weber,-91.35689426672826,2.6835481367099426e-05,0.38773360412505264,0.007513594534287754,3,,0.54939378330506,18.371836458646143
