scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,StaticGain_weber,-291.9049776083416,0.524989607929019,0.6501539007670163,0.008494536946770022,4,0.5749592609764099,0.17018743966154273,0.0
overall,Linear_weber,-290.9779688027387,0.33025796631092447,0.6491054858215453,0.008519993281739524,3,,,0.9270088056028953
overall,SeqGain_weber,-289.2146077725105,0.13675534822712013,0.6470983184771006,0.008568728874913542,4,0.5396340080523853,0.04005907776768967,2.6903698358311203
overall,Linear_basic,-282.3275431379697,0.0043695552601198985,0.6472482018526011,0.008565089589314283,3,,,9.577434470371884
overall,StaticGain_basic,-280.96939574320515,0.002215742441580472,0.6487544080840211,0.008528517723827423,4,0.6181222534438341,0.09549788301531818,10.935581865136442
overall,SeqGain_basic,-280.0679230724421,0.001411779831233953,0.6466371302172904,0.008579926886613439,4,0.5968146339287363,0.009900990099009901,11.837054535899483
overall,Static_basic,-225.562087498751,2.0605120690252993e-15,0.4849824080738815,0.012505029990171394,3,,0.44090710524722226,66.3428901095906
overall,Seq_basic,-201.10452839935266,1.0071257123033878e-20,0.3937748492249209,0.014719620863603525,3,,0.41178683477345723,90.80044920898894
overall,Static_weber,-199.2683986566538,4.021362059533947e-21,0.34742671560785177,0.015844989802366035,3,,0.5228915864339007,92.6365789516878
overall,Seq_weber,-169.82875044089892,1.6279264950666103e-27,0.1988340343728292,0.019452936335249704,3,,0.7016159940379642,122.07622716744268
range:long,Static_basic,-89.6391543991033,0.1930369899352914,0.44202312236885144,0.008645985633345277,3,,0.30959908722034407,0.0
range:long,Linear_basic,-89.63915439910325,0.1930369899352859,0.44202312236885277,0.008645985633345257,3,,,5.684341886080802e-14
range:long,Static_weber,-89.3171888917709,0.16433369309159027,0.4351078895154884,0.008753138826064023,3,,0.24816438372732172,0.3219655073324077
range:long,Linear_weber,-89.3171888917705,0.16433369309155757,0.43510788128678124,0.008753138953569816,3,,,0.3219655073328056
