scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Linear_basic,-293.12481310987187,0.5651496427916539,0.8032802105691472,0.00797022554652571,3,,,0.0
overall,SeqGain_basic,-291.2888225385759,0.2256748541564473,0.8034951856897697,0.007961515694795945,4,0.8625126289702758,0.022956863113448307,1.8359905712959517
overall,StaticGain_basic,-291.1248131098661,0.20790693476783706,0.8032802105691436,0.007970225546525857,4,0.8568165822929612,0.0,2.000000000005741
overall,Seq_basic,-280.6001148719416,0.0010776054801466292,0.7861492555683198,0.0086642969237827,3,,0.10430796741373746,12.524698237930238
overall,Static_basic,-277.1357643570085,0.0001906275364285105,0.7811527526292779,0.008866733371499824,3,,0.02691098097567742,15.989048752863368
overall,Linear_weber,-263.34019071896586,1.9253730229063536e-07,0.7844112555935894,0.008734713081905552,3,,,29.78462239090601
overall,StaticGain_weber,-261.3401907189659,7.0830515171338e-08,0.7844112553484481,0.008734713091837603,4,0.9051007749108482,0.0,31.78462239090595
overall,SeqGain_weber,-261.25219660242834,6.77817411984371e-08,0.7837925897857985,0.008759778714805443,4,0.9075931612678839,0.009900990099009901,31.872616507443524
overall,Seq_weber,-254.75129176819996,2.6269945542401667e-09,0.7263934196475639,0.011085342063102634,3,,0.04523026353910705,38.3735213416719
overall,Static_weber,-253.61841566734688,1.4909334305672003e-09,0.7204532582141496,0.011326011426078577,3,,0.0,39.506397442524985
range:long,Seq_basic,-106.26099205422906,0.4480135423685913,0.5418702421703807,0.006200676321082018,3,,0.5500627356680826,0.0
range:long,Seq_weber,-104.7253569497153,0.2078893377765094,0.5492439046791422,0.006100875568704933,3,,0.5225214466173455,1.5356351045137586
range:long,SeqGain_basic,-104.67801033427031,0.20302570577938575,0.5456753220227782,0.0061491754784989815,4,1.138091700792422,0.6264881275590514,1.5829817199587524
range:long,SeqGain_weber,-103.7209652120225,0.12581468109888802,0.554936750141461,0.0060238242716553585,4,1.2101610801765947,0.6340081728750278,2.540026842206558
range:long,Linear_basic,-97.27857550671918,0.005020930056209473,0.45171194847389806,0.007420947188273423,3,,,8.982416547509885
range:long,Static_basic,-97.27857550671912,0.0050209300562093296,0.45171194847390084,0.007420947188273385,3,,0.3477173233765701,8.982416547509942
range:long,StaticGain_basic,-95.2785755067194,0.0018470969432394491,0.4517119484739024,0.0074209471882733654,4,0.7847852428408921,0.1688393191862257,10.982416547509658
range:long,Static_weber,-94.75586064996864,0.001422275079723358,0.4539614531396191,0.007390500682504009,3,,0.31137845107197804,11.505131404260425
range:long,Linear_weber,-94.75586064996824,0.0014222750797230751,0.45396146407708715,0.007390500534468003,3,,,11.505131404260823
range:long,StaticGain_weber,-92.75586064996904,0.0005232257615208017,0.45396146197622755,0.007390500562902635,4,1.1625875686289395,0.4076820661741331,13.505131404260027
range:medium,Seq_basic,-134.75241608249848,0.6042033300867757,0.8368044678435902,0.0035072417093946896,3,,0.17807934155941701,0.0
range:medium,SeqGain_basic,-132.81673034809458,0.2295378439515999,0.8370142489231207,0.003502733295823255,4,1.0215373783602082,0.1922789875293351,1.9356857344039042
range:medium,Static_basic,-129.44743822058192,0.042581583582944234,0.8185375721730358,0.0038998162949264014,3,,0.11484235889910353,5.304977861916569
range:medium,Linear_basic,-129.44743822058092,0.04258158358292305,0.8185375721730346,0.0038998162949264266,3,,,5.304977861917564
range:medium,Seq_weber,-129.15655037378815,0.03681767122120232,0.8170577814726389,0.00393161853606026,3,,0.24782837204764213,5.595865708710335
range:medium,SeqGain_weber,-128.05534867998256,0.021229189104384844,0.83053760136242,0.003641923187616176,4,0.9289940479839554,0.19452359855078186,6.697067402515927
range:medium,StaticGain_basic,-127.44743822057563,0.01566488917263939,0.818537572173013,0.0038998162949268906,4,1.5691330202714744,0.43589374445816786,7.3049778619228505
range:medium,Static_weber,-124.21921134033153,0.003118363700932679,0.82286381941828,0.0038068407423289662,3,,0.1912553104205211,10.533204742166959
range:medium,Linear_weber,-124.21921134032954,0.003118363700929577,0.8228638295033348,0.0038068405255906506,3,,,10.533204742168948
range:medium,StaticGain_weber,-122.21921134033136,0.0011471818956683268,0.8228638201662659,0.003806840726253972,4,0.9003451415818043,0.10173926811937688,12.533204742167129
range:short,Linear_basic,-126.45900763513669,0.5643717419365019,0.876701033260072,0.004140009406226564,3,,,0.0
range:short,StaticGain_basic,-124.45900763513791,0.20762076103668062,0.8767010332600741,0.004140009406226492,4,1.9127455711508337,0.2517111575812742,1.9999999999987779
range:short,SeqGain_basic,-124.39511878607198,0.20109324918101212,0.8765433839796928,0.004145302796113854,4,1.441785286042006,0.009900990099009901,2.0638888490647105
range:short,SeqGain_weber,-119.00055900570604,0.013551386090140179,0.8552938259438566,0.0048587992062831264,4,1.3051036320822795,0.10809114065827205,7.458448629430649
range:short,Linear_weber,-118.32861736422976,0.009684416195841872,0.8744982876378284,0.004213970995984636,3,,,8.13039027090693
range:short,StaticGain_weber,-116.32861736423138,0.003562697618200859,0.8744982828305928,0.004213971157397183,4,2.0436695155664233,0.40775302290136034,10.130390270905309
range:short,Static_weber,-108.15986739286318,5.997323078783906e-05,0.848310600921653,0.0050932749528536546,3,,0.0,18.29914024227351
range:short,Seq_weber,-107.87512323360465,5.2014692643121664e-05,0.8449001163936062,0.005207788791851884,3,,0.009900990099009901,18.583884401532032
range:short,Static_basic,-101.55345360905461,2.204920419296908e-06,0.7970979986300144,0.006812840500000007,3,,0.0,24.905554026082072
range:short,Seq_basic,-100.85514761407029,1.5550977723027837e-06,0.7942443642348357,0.0069086569820869205,3,,0.009900990099009901,25.603860021066396
