scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Linear_basic,-280.1098094229769,0.6035600640191312,0.72852093712202,0.008692664274037509,3,,,0.0
overall,StaticGain_basic,-278.1098094229757,0.2220373390646191,0.7285209371220185,0.008692664274037556,4,0.7253913174981533,0.0,2.0000000000012506
overall,SeqGain_basic,-277.6202994734824,0.17383222101123455,0.7276335452700444,0.008721078249564626,4,0.7270134191092931,0.009900990099009901,2.4895099494945043
overall,Linear_weber,-265.13453742477395,0.00033797260489620753,0.7285183854359136,0.008692745978130708,3,,,14.97527199820297
overall,StaticGain_weber,-263.1345374247734,0.00012433317302043816,0.7285183850548685,0.00869274599033164,4,0.6912995652543021,0.0,16.97527199820354
overall,SeqGain_weber,-262.85416758153707,0.0001080700815563303,0.7273286455843319,0.008730841030447477,4,0.6930191241734461,0.009900990099009901,17.255641841439854
overall,Seq_basic,-232.57310862965363,2.8724804046318986e-11,0.6272915947503155,0.011933992274032613,3,,0.06614354180433417,47.53670079332329
overall,Static_basic,-231.50243426256662,1.6817564033397106e-11,0.6246217487273827,0.012019479806274314,3,,0.03084251196544578,48.6073751604103
overall,Seq_weber,-199.7998693693532,2.196031636168824e-18,0.5864065283839887,0.013243117743881316,3,,0.1299869876961094,80.30994005362373
overall,Static_weber,-199.56313108654933,1.9508843613565523e-18,0.587375744133743,0.0132120837958766,3,,0.13270343575804644,80.54667833642759
range:long,Static_basic,-78.81010291891496,0.25070121089152686,0.47689208676500183,0.010736789919148337,3,,0.1746628381670555,0.0
range:long,Linear_basic,-78.81010291891475,0.2507012108915001,0.4768920867649983,0.010736789919148408,3,,,2.1316282072803006e-13
range:long,Seq_basic,-78.78430703534484,0.2474884448414385,0.47662213652421814,0.010742330647840422,3,,0.16369475212413867,0.025795883570125966
range:long,SeqGain_basic,-77.22563006073374,0.11352526441364952,0.48122138317155916,0.010647931110403746,4,0.8896277301107153,0.09944395897424978,1.584472858181229
range:long,StaticGain_basic,-76.81010291891481,0.0922278213637716,0.47689208676500094,0.010736789919148355,4,1.554531637465426,0.46907662815620943,2.0000000000001563
range:long,Seq_weber,-72.74745636824161,0.012096771028701627,0.4742755362620077,0.010790494618222292,3,,0.03389446306661951,6.06264655067335
range:long,Linear_weber,-72.74027620188805,0.012053420477142033,0.47015774943721833,0.010875012192801093,3,,,6.069826717026913
range:long,Static_weber,-72.66774759438769,0.011624142356081876,0.4717607689881216,0.010842110216518803,3,,0.0,6.142355324527273
range:long,SeqGain_weber,-71.03860473372568,0.0051475081468523734,0.47460910776886867,0.01078364806304397,4,1.1034809398589192,0.08007179951480338,7.771498185189287
range:long,StaticGain_weber,-70.74027620188804,0.004434205589335399,0.4701577448173384,0.01087501228762413,4,2.0717988100452844,0.49766727212997824,8.069826717026928
range:medium,Linear_basic,-153.19054292978717,0.4372462650768205,0.9183995978405683,0.0024255719541891045,3,,,0.0
range:medium,StaticGain_basic,-151.19054292978404,0.1608539116505096,0.9183995978405642,0.0024255719541892286,4,1.1161372231308635,0.012057157652740697,2.0000000000031264
range:medium,SeqGain_basic,-151.17789706321372,0.15984005176050609,0.9183789570745126,0.0024261855009601154,4,1.110853659723168,0.009900990099009901,2.0126458665734503
range:medium,Linear_weber,-149.886690092879,0.08381149362895078,0.9171712128308152,0.002462085698604019,3,,,3.3038528369081632
range:medium,Static_basic,-148.5346511396338,0.04262967798102157,0.9104361278385198,0.0026622861000000007,3,,0.0,4.655891790153362
range:medium,SeqGain_weber,-148.51788351900927,0.042273772852360274,0.9148562954447611,0.002530896617904476,4,1.1339043866096128,0.035799820126022626,4.6726594107778965
range:medium,StaticGain_weber,-147.88669009288122,0.030832525439996487,0.9171712104503144,0.0024620857693644065,4,1.7502029710859146,0.36845381538199096,5.303852836905946
range:medium,Seq_basic,-147.86770631890266,0.030541251151124445,0.9092334412014282,0.0026980359602875475,3,,0.009900990099009901,5.322836610884508
range:medium,Static_weber,-144.80518976696231,0.006604954112761984,0.9110189745405671,0.0026449609817816425,3,,0.0,8.385353162824856
range:medium,Seq_weber,-144.38975119922708,0.0053660963459484035,0.9092240832067483,0.0026983141266794064,3,,0.009900990099009901,8.800791730560093
range:short,Seq_basic,-116.44526114655022,0.5651240004316939,0.7064900902126747,0.00505800931377941,3,,0.17866389348224343,0.0
range:short,SeqGain_basic,-114.76453148219167,0.2438809861644749,0.7083582993756653,0.00502581476418706,4,1.0693886255374234,0.2173055587727462,1.6807296643585516
range:short,Static_basic,-112.43189644103433,0.07597184598585377,0.6819595115038946,0.005480740851775226,3,,0.09564800009030926,4.013364705515897
range:short,Linear_basic,-112.43189644103337,0.07597184598581759,0.6819595115038901,0.005480740851775301,3,,,4.0133647055168495
range:short,StaticGain_basic,-110.43189644103326,0.027948480246023873,0.6819595115038892,0.0054807408517753165,4,0.9046068708428712,0.00028169833172533,6.013364705516963
range:short,SeqGain_weber,-106.00041681849213,0.0030484187477731453,0.7105851500898006,0.004987439802126481,4,0.8352151627895698,0.15834335151317205,10.444844328058096
range:short,Static_weber,-105.5897173742319,0.0024825178089248755,0.6861608752237658,0.005408339423008879,3,,0.25444863156233166,10.855543772318327
range:short,Linear_weber,-105.58971737423101,0.0024825178089237817,0.686160877691391,0.0054083393804846905,3,,,10.855543772319209
range:short,Seq_weber,-105.32625733408128,0.0021761195562687834,0.6909124663738191,0.0053264560129745965,3,,0.28061227840191905,11.119003812468947
range:short,StaticGain_weber,-103.58971737423185,0.0009132672642454172,0.6861608767335733,0.005408339396990609,4,1.4441168665681456,0.4837319802704069,12.85554377231837
