scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Linear_basic,-216.28274516058235,0.5375165645851759,0.3272717353032931,0.013303048837182672,3,,,0.0
overall,StaticGain_basic,-214.28274516058366,0.19774129340011726,0.32727173530329867,0.013303048837182562,4,0.38207888003739504,0.0,1.9999999999986926
overall,SeqGain_basic,-214.23412670525633,0.19299231118600496,0.327053653235269,0.013307361360609565,4,0.38303907665404624,0.009900990099009901,2.0486184553260216
overall,Linear_weber,-211.14956130562814,0.041279567747388425,0.3400338207338789,0.013050681492659215,3,,,5.133183854954211
overall,SeqGain_weber,-209.1624860111716,0.015284358766609774,0.33985491726660877,0.013054219268143213,4,0.4889236471871574,0.012811233264339807,7.120259149410742
overall,StaticGain_weber,-209.14956130562757,0.015185904314703633,0.3400338257232781,0.013050681393994979,4,0.48713639536452114,0.0,7.13318385495478
overall,Static_weber,-135.15350735836338,1.2983796593506622e-18,-0.13436408250589826,0.022431792419968094,3,,0.3941382507297181,81.12923780221897
overall,Seq_weber,-130.50168295955248,1.2684427471544332e-19,-0.2256000975324608,0.024235963921748958,3,,0.4483192423279036,85.78106220102987
overall,Static_basic,-123.50976180570089,3.845868956110571e-21,-0.24866222429972074,0.024692012247312434,3,,0.569694616680713,92.77298335488146
overall,Seq_basic,-111.36306353102076,8.858750392546076e-24,-0.35398317213012565,0.026774710100357025,3,,0.6603749498679394,104.9196816295616
range:long,Static_basic,-70.73038565632376,0.3360384002607499,0.18482064791299668,0.01261984404720917,3,,0.5537734437082953,0.0
range:long,Linear_basic,-70.73038565632373,0.3360384002607451,0.18482064791299413,0.01261984404720921,3,,,2.842170943040401e-14
range:long,StaticGain_basic,-68.73038565632393,0.12362161890008068,0.18482064791299857,0.012619844047209141,4,1.2179798455385447,0.6336338347707944,1.9999999999998295
range:long,SeqGain_basic,-68.65820204889144,0.1192394476097331,0.18364294628326083,0.012638076121983097,4,0.44810572907908575,0.009900990099009901,2.072183607432322
range:long,Linear_weber,-65.87121605210598,0.029596042048580372,0.17317152304015326,0.012800184899569302,3,,,4.859169604217783
range:long,Static_weber,-65.87121605210595,0.029596042048579952,0.17317151642961204,0.012800185001907516,3,,0.445385703159118,4.859169604217811
range:long,StaticGain_weber,-63.871216052105964,0.010887775409718178,0.17317152242859934,0.012800184909036807,4,2.429046437687456,0.771674058371945,6.859169604217797
range:long,SeqGain_weber,-63.789356719959486,0.010451139042375249,0.17183403598675884,0.012820890622777067,4,0.5559001188784297,0.009900990099009901,6.941028936364276
range:long,Seq_weber,-60.81778786899697,0.002365351286094046,0.11552327729740497,0.013692641104459814,3,,0.13620973781950876,9.912597787326789
range:long,Seq_basic,-60.64149881738902,0.0021657831333433326,0.002566091327240949,0.0154413385749067,3,,0.4858420101388952,10.08888683893474
range:medium,Static_basic,-59.697836261621134,0.3673617836907024,0.03063373412856263,0.01573553431969742,3,,0.8511772408696314,0.0
range:medium,Linear_basic,-59.69783626162108,0.36736178369069195,0.03063373412855941,0.015735534319697472,3,,,5.684341886080802e-14
range:medium,StaticGain_basic,-57.69783626162125,0.13514484769188753,0.03063373412856263,0.01573553431969742,4,1.3005458056809385,0.885568976836554,1.9999999999998863
range:medium,SeqGain_basic,-55.94212101272128,0.056175994676379716,-0.004009566714631596,0.01629789229372453,4,0.1,0.9873195222930796,3.755715248899854
range:medium,Linear_weber,-54.50186466062604,0.02734028754492714,-0.00048187036265034955,0.016240627884006112,3,,,5.195971600995094
range:medium,Static_weber,-54.501864660626,0.027340287544926553,-0.00048186531771188257,0.016240627802112606,3,,0.8759774330710245,5.195971600995136
range:medium,StaticGain_weber,-52.501864660626154,0.010057929703494912,-0.00048187056657322813,0.016240627887316353,4,1.8665085104608317,0.9335536831871357,7.19597160099498
range:medium,SeqGain_weber,-51.47384561209252,0.0060155743090488266,-0.028713611619097135,0.0166989082565403,4,0.1,0.9900990099009901,8.223990649528616
range:medium,Seq_basic,-49.80621049832349,0.002613092190675177,-0.1814231370256396,0.01917781232260984,3,,0.9900990099009901,9.891625763297647
range:medium,Seq_weber,-46.82450981851642,0.0005884189572657753,-0.1849565971993874,0.019235170295327522,3,,0.9900990099009901,12.873326443104716
range:short,SeqGain_weber,-143.74103628696173,0.9362031087853038,0.8164941570031266,0.003207550340954884,4,1.2516289581383049,0.5192866990607291,0.0
range:short,Seq_weber,-138.23052469696165,0.05953573107044847,0.8049640383609576,0.0034090885338426678,3,,0.39142120432472316,5.510511590000078
range:short,SeqGain_basic,-132.9513308489156,0.0042502581849012035,0.8001453020473902,0.003493316583768131,4,1.5340584444415788,0.6051232304084373,10.789705438046127
