range_category,stimulus_id,w_img_bayes,w_txt_bayes
short,0,0.5720930232558139,0.4279069767441861
short,1,0.872382851445663,0.12761714855433703
short,2,0.8080000000000002,0.19199999999999984
short,3,0.8548895899053629,0.1451104100946371
short,4,0.7435897435897437,0.2564102564102563
short,5,0.375,0.625
short,6,0.4213836477987422,0.5786163522012577
short,7,0.6491228070175438,0.35087719298245623
short,8,0.8269720101781171,0.17302798982188294
short,9,0.9194360523665659,0.08056394763343411
medium,0,0.4000000000000002,0.5999999999999999
medium,1,0.42142857142857165,0.5785714285714283
medium,2,0.24124513618677054,0.7587548638132294
medium,3,0.39554317548746537,0.6044568245125346
medium,4,0.8320683111954459,0.1679316888045541
medium,5,0.6185344827586208,0.3814655172413792
medium,6,0.7285276073619632,0.2714723926380368
medium,7,0.22222222222222238,0.7777777777777777
medium,8,0.2777777777777783,0.7222222222222217
medium,9,0.4230769230769234,0.5769230769230766
long,0,0.9476562499999999,0.05234375000000013
long,1,0.7711111111111107,0.22888888888888925
long,2,0.038461538461538526,0.9615384615384615
long,3,0.8935986159169551,0.10640138408304489
long,4,0.5684210526315793,0.43157894736842073
long,5,0.597260273972603,0.40273972602739705
long,6,0.7443609022556391,0.2556390977443609
long,7,0.7693333333333334,0.23066666666666658
long,8,0.9092896174863387,0.09071038251366126
long,9,0.7380530973451328,0.2619469026548672
