range,model,k,aic,rmse_to_llm,r2_to_llm,rmse_vs_truth,bias_vs_truth
long,Bayes(stimulus),0.0,-265.0064092197469,0.07064668500696099,0.16595018341030032,0.10730921220345693,-0.0024563288787627525
long,EmpiricalLinear,3.0,-259.96632032126604,0.06997178404150475,0.18180973229428865,0.11313406171635491,-0.02401753403317851
long,Bayes(range),0.0,-252.70455092467628,0.07989472013355357,-0.06670559913416563,0.10817504906338679,-0.0033978525573900888
long,Equal,0.0,-248.55150196798604,0.08328265125462807,-0.1590909090909085,0.10896331033884754,-0.003850000000000009
long,LLM(Combined),,,0.0,1.0,0.09981314041748211,-0.012050000000000014
medium,Bayes(stimulus),0.0,-227.5393040981057,0.07980137931253911,0.26666324800272456,0.1444668705011929,-0.0390527556399155
medium,EmpiricalLinear,3.0,-224.80124305803545,0.07696086321435781,0.3179401026405647,0.17168699546172422,-0.03137921261011389
medium,Equal,0.0,-223.2830308402785,0.08366600265340754,0.1939152686949105,0.15167458587383714,-0.04482222222222223
medium,Bayes(range),0.0,-212.0326399637113,0.0948064132327682,-0.03504227352154565,0.15040378243041472,-0.05574638758185265
medium,LLM(Combined),,,0.0,1.0,0.1587823877722799,-0.035933333333333366
short,Bayes(stimulus),0.0,-301.9572383435999,0.04590430801123985,0.7087108992416454,0.09713973780352465,-0.03728636139633669
short,Bayes(range),0.0,-287.50705518763505,0.05319741567909948,0.6088003886879674,0.09614757921020095,-0.0255852541891963
short,EmpiricalLinear,3.0,-287.3751929456907,0.05010550393154318,0.6529530646735235,0.09718468049360793,-0.03284201491603927
short,Equal,0.0,-228.97331310881245,0.0966690124040981,-0.29178997063734236,0.12905607940989478,-0.013728571428571425
short,LLM(Combined),,,0.0,1.0,0.09477611750319587,-0.04087142857142857
