range_category,stimulus_id,w_img_bayes,w_txt_bayes
short,0,0.5145631067961165,0.4854368932038835
short,1,0.0946681175190423,0.9053318824809578
short,2,0.27447216890595,0.7255278310940501
short,3,0.11186770428015563,0.8881322957198443
short,4,0.046434494195688215,0.9535655058043118
short,5,0.055888223552894245,0.9441117764471058
short,6,0.05252100840336139,0.9474789915966386
short,7,0.23565573770491802,0.764344262295082
short,8,0.1092250922509224,0.8907749077490776
short,9,0.10333333333333336,0.8966666666666666
medium,0,0.999507631708518,0.000492368291482026
medium,1,0.6227364185110665,0.37726358148893346
medium,2,0.14054813773717498,0.859451862262825
medium,3,0.6237161531279177,0.3762838468720823
medium,4,0.0453900709219858,0.9546099290780142
medium,5,0.1224862888482632,0.8775137111517368
medium,6,0.056716417910447715,0.9432835820895523
medium,7,0.04598214285714293,0.954017857142857
medium,8,0.5155520995334368,0.48444790046656316
medium,9,0.07310704960835511,0.9268929503916449
long,0,0.8666666666666664,0.13333333333333364
long,1,0.14782608695652175,0.8521739130434782
long,2,0.2851711026615965,0.7148288973384035
long,3,0.37020905923344966,0.6297909407665503
long,4,0.4452926208651401,0.5547073791348599
long,5,0.6564551422319471,0.3435448577680529
long,6,0.057559478127398395,0.9424405218726016
long,7,0.20060180541624875,0.7993981945837513
long,8,0.10373443983402482,0.8962655601659751
long,9,0.21477663230240535,0.7852233676975946
