range_category,stimulus_id,w_img_bayes,w_txt_bayes
short,0,0.7200000000000001,0.2799999999999999
short,1,0.7450980392156862,0.2549019607843138
short,2,0.6000000000000002,0.3999999999999998
short,3,0.16338582677165342,0.8366141732283465
short,4,0.8500000000000001,0.1499999999999999
short,5,0.8650107991360692,0.13498920086393085
short,6,0.755201958384333,0.24479804161566698
short,7,0.7322623828647926,0.2677376171352074
short,8,0.44897959183673464,0.5510204081632654
short,9,0.8510638297872343,0.14893617021276573
medium,0,0.8571428571428572,0.1428571428571428
medium,1,0.7333333333333334,0.2666666666666666
medium,2,0.3448275862068966,0.6551724137931034
medium,3,0.6060606060606061,0.3939393939393939
medium,4,0.3401759530791788,0.6598240469208212
medium,5,0.7235387045813588,0.2764612954186412
medium,6,0.4999999999999999,0.5000000000000001
medium,7,0.5400183992640295,0.4599816007359705
medium,8,0.47089947089947093,0.5291005291005291
medium,9,0.5294599018003274,0.4705400981996726
long,0,0.05712701053799225,0.9428729894620077
long,1,0.9998412950325345,0.0001587049674655061
long,2,0.4222222222222223,0.5777777777777777
long,3,0.3684210526315791,0.6315789473684209
long,4,0.4594594594594594,0.5405405405405406
long,5,0.8623348017621145,0.13766519823788548
long,6,0.32364729458917824,0.6763527054108218
long,7,0.4233333333333332,0.5766666666666669
long,8,0.806076276664512,0.19392372333548802
long,9,0.6936542669584246,0.3063457330415754
