range,model,k,aic,rmse_to_llm,r2_to_llm,rmse_vs_truth,bias_vs_truth
long,Bayes(stimulus),0.0,-198.775696727118,0.13700238188300395,-0.2955881983754425,0.12604471818740043,-0.09038197955053713
long,Equal,0.0,-198.68428328835364,0.1371276777313756,-0.29795904843946763,0.13066844684161513,-0.08865
long,Bayes(range),0.0,-196.17059890551528,0.14061832285363818,-0.3648803316939748,0.12789664261007816,-0.0862468598541836
long,EmpiricalLinear,3.0,-196.0164422709001,0.13263365529848017,-0.2142782755337107,0.19435523973514637,-0.1697175376718071
long,LLM(Combined),,,0.0,1.0,0.202616541772877,-0.12885
medium,EmpiricalLinear,3.0,-215.1767670991199,0.10950690514456167,0.044100257127140385,0.11934950705620184,-0.048767804939793685
medium,Bayes(stimulus),0.0,-196.75363713174946,0.13980084968452322,-0.5579336446803229,0.09470814708508381,0.03309819059367692
medium,Equal,0.0,-196.3060964878469,0.14042791745233568,-0.57194101235552,0.11623816498895706,0.026129999999999983
medium,Bayes(range),0.0,-192.94695402793096,0.14522521417806397,-0.6811767902004429,0.08926327233938458,0.03153463330870596
medium,LLM(Combined),,,0.0,1.0,0.1568999394518685,-0.04707000000000001
short,EmpiricalLinear,3.0,-243.2710045653806,0.08268558095950498,0.39308430549393236,0.11081620854703474,0.0795153426116011
short,Bayes(stimulus),0.0,-221.64616321848402,0.10899408849364917,-0.05456824913993996,0.13335336371016068,0.10843691455300046
short,Bayes(range),0.0,-217.6465475425641,0.11344178564289885,-0.14239136527735563,0.13335933812147774,0.11648146832900608
short,Equal,0.0,-214.83466657280755,0.11667690431272164,-0.20847758544163342,0.150323860381511,0.12605000000000002
short,LLM(Combined),,,0.0,1.0,0.08444372682443617,0.03695000000000001
