range,model,k,aic,rmse_to_llm,r2_to_llm,rmse_vs_truth,bias_vs_truth
long,Bayes(stimulus),0.0,-265.9621569750822,0.06997469726974948,0.6325094897648846,0.05632332801001623,-0.000827359664707521
long,EmpiricalLinear,3.0,-257.3586693553532,0.07182040194417756,0.6128674084269318,0.05027745199095418,0.005102049083963048
long,Equal,0.0,-257.2240510830843,0.07636425865547311,0.562332445714663,0.04996141511206423,-0.01235000000000001
long,Bayes(range),0.0,-252.45234195486844,0.08009647610054135,0.5185059873938691,0.04359667119614669,-0.015655150978284925
long,LLM(Combined),,,0.0,1.0,0.060421709674586335,0.05335000000000001
medium,Equal,0.0,-259.9055052975041,0.07434379597518544,0.8211919415701723,0.08180666843234724,0.058129999999999994
medium,Bayes(stimulus),0.0,-256.95992644387474,0.07656622207833641,0.8103416096623924,0.08346574772584456,0.0588023224571489
medium,EmpiricalLinear,3.0,-256.48892882276056,0.07244777740520995,0.8301960628272427,0.08763622000249734,0.04429055445427342
medium,Bayes(range),0.0,-255.95072040712114,0.07734284528638777,0.8064746272758117,0.08486254961307538,0.062822195556814
medium,LLM(Combined),,,0.0,1.0,0.07615031844976092,0.027529999999999992
short,EmpiricalLinear,3.0,-262.6873035347328,0.06809353287539475,0.5762045360322616,0.061908454672035734,-0.03136260353823646
short,Bayes(range),0.0,-247.79015559626507,0.08391914056796945,0.35632502507397734,0.044609134005125305,0.004783543301943262
short,Bayes(stimulus),0.0,-227.02258018186984,0.10328885463366595,0.02489475406778008,0.06652962908718128,0.01726176626992442
short,Equal,0.0,-217.75365825178756,0.11332034239270547,-0.1737087056346065,0.06087251432296845,0.03325
short,LLM(Combined),,,0.0,1.0,0.07083207606727335,-0.06284999999999999
