range_category,stimulus_id,w_img_bayes,w_txt_bayes
short,0,0.7286135693215339,0.27138643067846613
short,1,0.5547445255474454,0.44525547445255464
short,2,0.24433249370277096,0.755667506297229
short,3,0.08854166666666684,0.9114583333333331
short,4,0.967741935483871,0.032258064516129004
short,5,0.19354838709677405,0.806451612903226
short,6,0.9923664122137404,0.007633587786259555
short,7,0.2977528089887643,0.7022471910112358
short,8,0.015834348355663847,0.9841656516443361
short,9,0.08993576017130614,0.9100642398286939
medium,0,0.7146464646464645,0.28535353535353547
medium,1,0.7208333333333329,0.2791666666666671
medium,2,0.3538961038961039,0.6461038961038961
medium,3,0.38921001926782267,0.6107899807321773
medium,4,0.34908136482939667,0.6509186351706033
medium,5,0.04371584699453534,0.9562841530054647
medium,6,0.31627906976744186,0.6837209302325582
medium,7,0.23936170212765936,0.7606382978723406
medium,8,0.7654867256637174,0.23451327433628255
medium,9,0.33392857142857135,0.6660714285714286
long,0,0.9683168316831682,0.03168316831683182
long,1,0.6492537313432836,0.35074626865671643
long,2,0.3221238938053101,0.6778761061946899
long,3,0.4959677419354839,0.5040322580645161
long,4,0.20127795527156514,0.7987220447284349
long,5,0.16237113402061878,0.8376288659793812
long,6,0.119718309859155,0.880281690140845
long,7,0.4318181818181819,0.5681818181818181
long,8,0.29906542056074764,0.7009345794392523
long,9,0.06666666666666647,0.9333333333333336
