scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Linear_weber,-315.6469008805371,0.6017364333742733,0.7631853064817571,0.00798568195812587,3,,,0.0
overall,StaticGain_weber,-313.6469008805369,0.22136646284220565,0.7631853065619246,0.00798568195542252,4,0.8158514045484571,0.0,2.0000000000001705
overall,SeqGain_weber,-313.19834240697264,0.1768921622963394,0.7629098197086976,0.007994971710043874,4,0.8178923070898897,0.009900990099009901,2.4485584735644466
overall,Linear_basic,-291.06570994853416,2.7648305359367364e-06,0.7603767460503054,0.008080390061041883,3,,,24.581190932002926
overall,StaticGain_basic,-289.0657099485328,1.0171243124934522e-06,0.7603767460503037,0.008080390061041939,4,0.7605173929594905,0.0,26.58119093200429
overall,SeqGain_basic,-289.0450947529586,1.0066940519939427e-06,0.7603438112522035,0.008081500662833897,4,0.7626661868306064,0.009900990099009901,26.60180612757847
overall,Static_weber,-284.3383566096786,9.568465623275881e-08,0.7113869718935302,0.00973238533973131,3,,0.08431518373267372,31.308544270858476
overall,Seq_weber,-283.3077222758336,5.715350891740315e-08,0.7144164428205078,0.009630227863922623,3,,0.06842494719063547,32.33917860470348
overall,Seq_basic,-256.5437898453629,8.817161884830916e-14,0.698366094444735,0.010171465299581023,3,,0.17182697450646783,59.10311103517421
overall,Static_basic,-254.2424241142,2.78993185523823e-14,0.6937026117677627,0.010328723655987275,3,,0.13130028187806675,61.4044767663371
range:long,SeqGain_weber,-90.06941383323692,0.6149772963015383,0.5988887514927199,0.008824447467160164,4,1.5283585380228395,0.36625054230494913,0.0
range:long,SeqGain_basic,-87.1661151359823,0.14401767022086892,0.6032649270180475,0.008728171605602958,4,1.2730828942709678,0.410891377176101,2.903298697254627
range:long,Seq_basic,-86.96238457344755,0.13006973382136738,0.5853879155913,0.009121465856991402,3,,0.2817534609352294,3.107029259789371
range:long,Seq_weber,-85.00797901693014,0.048953356783624176,0.5458502124926052,0.009991295325162687,3,,0.15345406838992753,5.061434816306786
range:long,Linear_weber,-83.81752029646955,0.026994646866901006,0.5138062712608327,0.010696262032261681,3,,,6.251893536767369
range:long,Static_weber,-82.81730468280345,0.0163713159380272,0.5142528694214229,0.010686436872728697,3,,0.0,7.252109150433469
range:long,StaticGain_weber,-81.81752029646981,0.009930775604017238,0.5138062670486401,0.01069626212492992,4,2.3888101318118893,0.5239092341095987,8.251893536767113
range:long,Static_basic,-79.82549540718735,0.003667925111660443,0.5217750970728996,0.010520947864396208,3,,0.1062155625755352,10.243918426049575
range:long,Linear_basic,-79.82549540718664,0.0036679251116591397,0.5217750970728943,0.010520947864396326,3,,,10.243918426050286
range:long,StaticGain_basic,-77.82549540718728,0.001349354240336296,0.5217750970728989,0.010520947864396224,4,1.5322800893322435,0.416696413822383,12.243918426049646
range:medium,Linear_basic,-89.57776348935548,0.21989253838825315,0.610175793528313,0.00865660785156113,3,,,0.0
range:medium,Static_basic,-89.57776348935418,0.219892538388111,0.6101757935283016,0.00865660785156138,3,,0.22314575064821238,1.2931877790833823e-12
range:medium,Static_weber,-88.35116485657377,0.11908525304498391,0.60851199901794,0.00869355480452806,3,,0.174950163489067,1.2265986327817018
range:medium,Linear_weber,-88.35116485657373,0.11908525304498137,0.6085120004986242,0.008693554771647334,3,,,1.2265986327817444
range:medium,StaticGain_basic,-87.57776348935546,0.08089394414003993,0.6101757935283123,0.008656607851561145,4,1.6059711380313118,0.5162712987075024,2.000000000000014
range:medium,SeqGain_basic,-87.51429541120584,0.07836715718019042,0.6096806514736297,0.00866760319388993,4,0.782304195810392,0.009900990099009901,2.06346807814964
range:medium,Seq_basic,-86.56580276598675,0.048772108554986975,0.5859713810658841,0.009194101684643309,3,,0.2322125776748713,3.0119607233687304
range:medium,StaticGain_weber,-86.35116485657387,0.04380901634195066,0.6085119982150482,0.008693554822357426,4,2.0997415285554095,0.6070707597253187,3.2265986327816023
range:medium,SeqGain_weber,-86.24336860142284,0.041510297175850995,0.6083682964656445,0.008696745926633453,4,0.8303580967812018,0.009900990099009901,3.334394887932632
range:medium,Seq_weber,-85.50471482868402,0.02869189374065168,0.5932447527244492,0.009032585993309682,3,,0.11822217804355513,4.073048660671461
range:short,Static_basic,-152.2381363484465,0.21975360916749512,0.8499318067973433,0.0024722174120928395,3,,0.012878040862400603,0.0
range:short,Linear_basic,-152.23813634844592,0.21975360916743264,0.8499318067973387,0.002472217412092914,3,,,5.684341886080801e-13
range:short,Seq_basic,-151.88867886825204,0.1845237571632607,0.84887928390878,0.002489556632058115,3,,0.009900990099009901,0.3494574801944452
range:short,StaticGain_basic,-150.23813634844694,0.08084283493596403,0.8499318067973425,0.0024722174120928517,4,1.5865186212733726,0.37780623875067154,1.9999999999995453
range:short,Static_weber,-149.98896905331355,0.07137326167292067,0.8484459494494236,0.002496695366608173,3,,0.08072002696024962,2.249167295132935
range:short,Linear_weber,-149.98896905331156,0.07137326167284967,0.8484459470085596,0.00249669540681887,3,,,2.2491672951349244
range:short,SeqGain_basic,-149.89941627014576,0.06824791753217345,0.8489117333016964,0.002489022062057185,4,0.9938554168831563,0.009900990099009901,2.3387200783007245
range:short,Seq_weber,-148.4241710392798,0.03263953572285379,0.8403648957935564,0.0026298223212927827,3,,0.047823440344577674,3.81396530916669
range:short,StaticGain_weber,-147.98896905331256,0.02625675561880412,0.848445953430534,0.0024966953010235214,4,2.1806163428488277,0.5784311212199216,4.24916729513393
range:short,SeqGain_weber,-147.90962251387893,0.02523545734624583,0.8472086984523232,0.0025170777900443662,4,0.9255709877160826,0.009900990099009901,4.328513834567559
