scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Static_basic,-332.0567650895406,0.712691584799319,0.8366774032577986,0.006148243586327992,3,,0.558621415482241,0.0
overall,StaticGain_basic,-330.2397798540944,0.2873083844661023,0.8368765513868608,0.006140746698379485,4,1.0165811692304954,0.5658206333285463,1.8169852354461682
overall,Static_weber,-297.4121341405479,2.137546674082405e-08,0.8206806602788739,0.0067504374920344746,3,,0.45504991592642163,34.6446309489927
overall,StaticGain_weber,-295.75193629332455,9.319835019782802e-09,0.824478528071784,0.006607467586061582,4,0.9786043250633506,0.44313542902890585,36.30482879621604
overall,SeqGain_basic,-284.1803602078297,2.8620182851108135e-11,0.7782456882382178,0.008347892773111064,4,0.9101112842116804,0.52549125721097,47.87640488171087
overall,Seq_basic,-282.2014303959262,1.06402848703448e-11,0.7722846775947475,0.008572293720608852,3,,0.6233491014179979,49.855334693614395
overall,SeqGain_weber,-268.94885374743234,1.4099145769408334e-14,0.7768223319479125,0.008401474710684236,4,0.8893856768872352,0.4248724977553621,63.10791134210825
overall,Linear_basic,-265.0091084839687,1.966472994629125e-15,0.7446304419124624,0.00961333140039048,3,,,67.04765660557189
overall,Seq_weber,-262.4705384145865,5.526427794655731e-16,0.7414025195277136,0.009734845835594582,3,,0.5324412235508944,69.5862266749541
overall,Linear_weber,-247.93230132739646,3.850405139403492e-19,0.7477881491750837,0.009494460198167569,3,,,84.12446376214413
range:long,Linear_weber,-116.98750074126315,0.20818752983973304,0.4411352454989229,0.0050503713680655135,3,,,0.0
range:long,Static_weber,-116.98750074126241,0.20818752983965613,0.4411352429030132,0.005050371391524334,3,,0.4836408915658083,7.389644451905042e-13
range:long,Static_basic,-116.43427740611537,0.15787879078851252,0.4401670768698954,0.0050591205530590546,3,,0.47386545684708725,0.5532233351477771
range:long,Linear_basic,-116.43427740611328,0.15787879078834763,0.4401670768698821,0.005059120553059175,3,,,0.5532233351498661
range:long,StaticGain_weber,-114.98750074126377,0.07658791213632792,0.44113524714816243,0.0050503713531616,4,2.187160638801736,0.7639134741421187,1.9999999999993747
