scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Linear_basic,-113.54747895575554,0.5829699436780172,0.1316907327123671,0.026387621550603924,3,,,0.0
overall,StaticGain_basic,-111.54747895575562,0.2144626571000253,0.13169073271236642,0.026387621550603944,4,0.30045784804165176,0.0,1.9999999999999147
overall,SeqGain_basic,-111.43040581852429,0.20226911471827674,0.13101276357347924,0.026408224800775197,4,0.3005366943847932,0.009900990099009901,2.1170731372312446
overall,Linear_weber,-97.30952470533197,0.00017362777509385147,0.12785592069635454,0.026504160175732667,3,,,16.23795425042357
overall,StaticGain_weber,-95.30952470533154,6.387408887335333e-05,0.12785592098917875,0.02650416016683384,4,0.41594140116773093,0.0,18.237954250423996
overall,SeqGain_weber,-95.21030557125391,6.0782639713333286e-05,0.1270592338543043,0.026528371216285117,4,0.4166306036423704,0.009900990099009901,18.337173384501625
overall,Static_basic,-41.00345494474081,1.0301761776259374e-16,-0.40835097357429806,0.042799304235448955,3,,0.5563918043857878,72.54402401101473
overall,Static_weber,-39.300359047946586,4.3963162680088934e-17,-0.3607526125650824,0.041352806329623716,3,,0.37472374490395394,74.24711990780895
overall,Seq_weber,-34.47409870853389,3.93622405352651e-18,-0.44666630846842237,0.04396369415371973,3,,0.3276561909387983,79.07338024722165
overall,Seq_basic,-29.637319911186665,3.505795990251726e-19,-0.5192149652800873,0.0461684230125178,3,,0.4844153911132537,83.91015904456887
range:long,Linear_weber,-26.292122760113692,0.2312730483517215,0.08410270631803407,0.033925203564055144,3,,,0.0
range:long,Static_weber,-26.292122760112434,0.23127304835157605,0.08410275627584762,0.03392520171359767,3,,0.2520146784713892,1.2576606422953773e-12
range:long,Seq_weber,-25.705301459040953,0.17246397764837346,0.09578604552997538,0.03349244798784897,3,,0.009900990099009901,0.5868213010727388
range:long,StaticGain_weber,-24.292122760113713,0.08508059978564816,0.08410271436786032,0.03392520326588635,4,2.3791839065743363,0.6856125974523867,1.9999999999999787
range:long,SeqGain_weber,-24.229091575310754,0.08244104629803907,0.08241931255936896,0.03398755714489344,4,0.7483025106399586,0.009900990099009901,2.063031184802938
range:long,Static_basic,-23.86628160333386,0.06876386999523296,0.13016928872323785,0.03221887885234623,3,,0.4207422024183772,2.425841156779832
range:long,Linear_basic,-23.86628160333374,0.0687638699952288,0.1301692887232354,0.03221887885234632,3,,,2.4258411567799527
range:long,StaticGain_basic,-21.866281603333903,0.025296814066632548,0.13016928872323785,0.03221887885234623,4,1.48116490246204,0.6089174336811012,4.425841156779789
range:long,SeqGain_basic,-21.78879051829069,0.02433542040966524,0.12882016102717775,0.03226885108399105,4,0.5805274397438958,0.009900990099009901,4.503332241823003
range:long,Seq_basic,-20.070824461199496,0.010308305097882142,0.06157048359145956,0.03475980614233845,3,,0.015019443292000082,6.221298298914196
range:medium,Linear_basic,-77.17236149088932,0.3359107518449271,0.0181581687831347,0.011094294673000427,3,,,0.0
range:medium,Static_basic,-77.17236149088362,0.33591075184396996,0.01815816878302312,0.011094294673001688,3,,0.9044044779180932,5.6985527407960035e-12
range:medium,StaticGain_basic,-75.17236149088927,0.12357465967218818,0.018158168783131146,0.011094294673000467,4,1.038370621326917,0.907936961170556,2.0000000000000426
range:medium,Static_weber,-73.69706079833405,0.05909788629564176,0.003227668648103532,0.011263001447194408,3,,0.9243182065759513,3.4753006925552654
range:medium,Linear_weber,-73.69706079833384,0.05909788629563547,0.0032276786708346217,0.011263001333942835,3,,,3.4753006925554786
range:medium,SeqGain_basic,-73.54961881964662,0.05489784911690808,-0.01423009930453234,0.011460265014340823,4,0.1,0.9900990099009901,3.6227426712426904
range:medium,StaticGain_weber,-71.69706079833387,0.021740897384852124,0.0032276581772786583,0.011263001565509205,4,1.5258430740420932,0.9504000320038083,5.47530069255545
range:medium,SeqGain_weber,-70.07126857589789,0.009643644021034367,-0.028680850766676702,0.011623550881646582,4,0.1,0.9900990099009901,7.101092914991426
range:medium,Seq_basic,-61.27040013092649,0.0001183468955085707,-0.3494730401142141,0.015248333371314654,3,,0.9900990099009901,15.901961359962826
range:medium,Seq_weber,-55.7061910523785,7.326629334393468e-06,-0.45025427571865406,0.016387108161464922,3,,0.9900990099009901,21.466170438510815
range:short,Seq_weber,-87.86336237835532,0.6121226577697559,0.5566903871652412,0.009765409277618388,3,,0.3087398222121805,0.0
range:short,SeqGain_weber,-86.45840177036315,0.3032181094211814,0.5443438734867402,0.01003738343683252,4,1.1016849507525215,0.3649528306402985,1.404960607992166
range:short,Seq_basic,-82.2316134665963,0.03663698421015532,0.5448314029376597,0.010026643934495365,3,,0.317061618039297,5.6317489117590185
range:short,SeqGain_basic,-81.68006371314641,0.027806876633317844,0.5578280258084587,0.009740348898507695,4,1.223998958790794,0.40978848893888536,6.183298665208909
range:short,Linear_weber,-79.08273130554385,0.007588372543102096,0.46081345681509167,0.011877426337577596,3,,,8.780631072811474
range:short,Static_weber,-79.08273130554383,0.007588372543102041,0.4608134331022753,0.011877426859933418,3,,0.1714016065761119,8.780631072811488
range:short,StaticGain_weber,-77.08273130554417,0.0027916062505575715,0.46081344258717516,0.011877426650996082,4,1.7763624810267284,0.5335420634234945,10.780631072811147
range:short,Static_basic,-74.92471775053231,0.0009489590516129904,0.47320798740515935,0.01160439444178361,3,,0.1482787865086819,12.93864462782301
range:short,Linear_basic,-74.92471775053225,0.0009489590516129636,0.47320798740515935,0.01160439444178361,3,,,12.938644627823066
range:short,StaticGain_basic,-72.92471775053188,0.0003491025256018944,0.473207987405156,0.011604394441783683,4,1.2838126633077203,0.33656896219827664,14.938644627823436
