scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Linear_basic,-289.7326075805448,0.5034008088040286,0.6324057444570632,0.008152523370705968,3,,,0.0
overall,StaticGain_basic,-287.73260758054334,0.1851908082279413,0.6324057444570614,0.008152523370706006,4,0.562474222469319,0.0,2.000000000001478
overall,SeqGain_basic,-287.3570365864698,0.1534847467441853,0.6314842063287223,0.008172961288369288,4,0.5636645472533774,0.009900990099009901,2.3755709940750194
overall,Linear_weber,-286.35672215557224,0.09307857015904007,0.6301074489041987,0.008203495081838513,3,,,3.37588542497258
overall,StaticGain_weber,-284.35672215557173,0.034241692375135795,0.630107448400288,0.00820349509301427,4,0.4970490426274691,0.0,5.375885424973092
overall,SeqGain_weber,-284.1320547101347,0.0306033736896689,0.6291556975026018,0.008224603070953197,4,0.4982522188167401,0.009900990099009901,5.600552870410127
overall,Static_basic,-205.0444617454421,2.051713422154286e-19,0.3535037470224962,0.014338025505018557,3,,0.36720515287101074,84.68814583510272
overall,Seq_basic,-190.5209000229986,1.4400094520591017e-22,0.28777694121941655,0.015795717817429764,3,,0.29075127078208074,99.21170755754622
overall,Static_weber,-161.1507275025141,6.035502215350692e-29,0.18572557330652328,0.0180590180441799,3,,0.4600413729070283,128.58188007803074
overall,Seq_weber,-140.5862749687443,2.0663281122362698e-33,0.05183446274701731,0.02102846163995625,3,,0.5571912689311004,149.14633261180052
range:long,Static_basic,-122.78056341339308,0.34063975224044335,0.6682339831069166,0.004456068808657083,3,,0.2096780569459583,0.0
range:long,Linear_basic,-122.78056341339209,0.34063975224027393,0.6682339831069151,0.0044560688086571045,3,,,9.947598300641403e-13
range:long,StaticGain_basic,-120.78056341339283,0.12531436169497684,0.6682339831069144,0.004456068808657114,4,1.5660834770255012,0.49535135372085826,2.000000000000256
range:long,SeqGain_basic,-120.36900690690169,0.10200758982487058,0.6654919041264546,0.004492898658592101,4,0.7945556085508679,0.009900990099009901,2.4115565064913937
range:long,Static_weber,-117.65386097670705,0.026244967476222774,0.6651289971279813,0.0044977729931351155,3,,0.12852819540862065,5.126702436686031
range:long,Linear_weber,-117.65386097670633,0.02624496747621326,0.665128991322232,0.004497773071114225,3,,,5.126702436686756
range:long,Seq_basic,-116.12522761600289,0.012221021895877753,0.6209998245526938,0.005090487796495929,3,,0.009900990099009901,6.655335797390194
range:long,StaticGain_weber,-115.65386097670716,0.009654983968716063,0.6651289976858554,0.004497772985642109,4,1.5765456459141591,0.4472270654129756,7.1267024366859175
range:long,Seq_weber,-115.51509519314334,0.009007804459045676,0.656222841335192,0.004617394777804154,3,,0.009900990099009901,7.265468220249744
range:long,SeqGain_weber,-115.28398564077477,0.008024798723359832,0.6621143775763616,0.00453826343359596,4,0.8759246964555626,0.009900990099009901,7.496577772618309
range:medium,Linear_basic,-75.54151489281423,0.24171997680822196,0.2683552257682944,0.011462122627859717,3,,,0.0
range:medium,Static_basic,-75.54151489281386,0.24171997680817733,0.2683552257682993,0.01146212262785964,3,,0.5672769428955737,3.694822225952521e-13
range:medium,Static_weber,-74.22738352547576,0.12530042476487424,0.26379122807803723,0.01153362331103473,3,,0.5826634567386987,1.3141313673384758
range:medium,Linear_weber,-74.22738352547535,0.12530042476484843,0.2637912215291288,0.011533623413631502,3,,,1.314131367338888
range:medium,StaticGain_basic,-73.54151489281408,0.08892380998817576,0.2683552257682973,0.01146212262785967,4,1.208706782527899,0.641994995325944,2.0000000000001563
range:medium,SeqGain_basic,-73.48135189959696,0.08628868170766568,0.26747433711380564,0.011475922840934214,4,0.43521955612605906,0.009900990099009901,2.0601629932172756
range:medium,StaticGain_weber,-72.22738352547576,0.04609545024104629,0.2637912272416747,0.011533623324137387,4,1.3085156358516026,0.6810611080239272,3.314131367338476
range:medium,SeqGain_weber,-72.15073456491737,0.04436228943954979,0.26239767660855806,0.011555455022807944,4,0.4193817452198972,0.009900990099009901,3.390780327896863
range:medium,Seq_basic,-61.41253698021458,0.00020665407461466006,0.029438593844279493,0.015205047923572997,3,,0.6958035897310064,14.128977912599652
range:medium,Seq_weber,-59.57146376383416,8.231140282590149e-05,-0.02670647715624397,0.016084630080684236,3,,0.8182509207765514,15.970051128980074
range:short,Static_weber,-109.12112007201873,0.3076092849467344,0.5801311532530726,0.006485613307176567,3,,0.4598895166245241,0.0
range:short,Linear_weber,-109.12112007201729,0.30760928494651363,0.5801311501146023,0.0064856133556557664,3,,,1.4352963262354024e-12
range:short,SeqGain_weber,-107.98703892410862,0.1744764627085846,0.5874383922470907,0.006372740140173329,4,0.593370990233441,0.1349942791412791,1.1340811479101092
range:short,StaticGain_weber,-107.12112007201885,0.11316313184535887,0.580131156905983,0.006485613250750936,4,1.967726612820927,0.7255154880634168,1.999999999999872
range:short,Seq_basic,-104.66018823545761,0.03306133603564588,0.5855176243076929,0.0064024097815489015,3,,0.27458785595026824,4.460931836561116
range:short,Static_basic,-103.69698043996554,0.020425019721076094,0.5774555661506044,0.006526942459007487,3,,0.2121241812197047,5.424139632053183
range:short,Linear_basic,-103.69698043996502,0.020425019721070727,0.5774555661506009,0.006526942459007543,3,,,5.424139632053709
range:short,SeqGain_basic,-102.97737068169205,0.014252833472799382,0.5881386328162744,0.006361923692158884,4,0.9086337402625659,0.19421026891179635,6.1437493903266756
range:short,StaticGain_basic,-101.69698043996506,0.007513944840903348,0.5774555661506032,0.006526942459007507,4,1.5146595324457335,0.4798330335512531,7.424139632053667
range:short,Seq_weber,-98.42536925891638,0.0014636817613130017,0.4921961159673347,0.007843924723720412,3,,0.6116496572310489,10.69575081310235
