scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Linear_basic,-326.34090429790626,0.589828981200471,0.9153263082408447,0.006387047962338687,3,,,0.0
overall,StaticGain_basic,-324.3409042979043,0.21698595599053458,0.9153263082408443,0.00638704796233872,4,1.2479777959906104,0.0,2.0000000000019895
overall,SeqGain_basic,-324.10853624113463,0.19318506280656034,0.9151950368480775,0.006396949936189931,4,1.2514412465725309,0.009900990099009901,2.2323680567716337
overall,Static_basic,-273.02424588275386,1.5601301727952103e-12,0.8791863425010749,0.009113133122222233,3,,0.0,53.3166584151524
overall,Seq_basic,-271.8651758305004,8.739205911631538e-13,0.8782491831040701,0.009183824288423556,3,,0.009900990099009901,54.47572846740587
overall,Linear_weber,-252.71553232489134,6.069874612377807e-17,0.9214739577542632,0.005923322671967054,3,,,73.62537197301492
overall,StaticGain_weber,-250.7155323248914,2.2329820803823365e-17,0.9214739580456924,0.005923322649984169,4,1.3800175071628389,0.0,75.62537197301486
overall,SeqGain_weber,-250.26250094278146,1.7803718675951146e-17,0.9215207963694165,0.005919789573607242,4,1.3836301077852151,0.009900990099009901,76.0784033551248
overall,Static_weber,-179.94597609830006,9.582335223191835e-33,0.8079755429447892,0.014484657414515828,3,,0.0,146.3949281996062
overall,Seq_weber,-178.89680534827323,5.6708325859450275e-33,0.806387946813832,0.014604411879244843,3,,0.009900990099009901,147.44409894963303
range:long,SeqGain_basic,-116.7993888388818,0.9867290610669979,0.8595580090482822,0.004825384572634054,4,1.6920316683442842,0.24322296442911925,0.0
range:long,Linear_basic,-106.63164167030207,0.006113637367770953,0.8208632517088882,0.006154880714365061,3,,,10.167747168579723
range:long,SeqGain_weber,-106.0811532011387,0.004642614490578778,0.850304120845194,0.0051433348456931495,4,1.6465293358382356,0.19943898546886807,10.718235637743092
range:long,StaticGain_basic,-104.63164167030203,0.002249081498380378,0.8208632517088867,0.006154880714365113,4,2.069355057471244,0.32298597782623645,12.167747168579766
range:long,Linear_weber,-99.70005379189122,0.0001910400801415072,0.8051159813363777,0.0066959342482951845,3,,,17.099335046990575
range:long,StaticGain_weber,-97.70005379189186,7.027971792382768e-05,0.8051159764341012,0.006695934416730348,4,1.4804917141081435,0.0417928039297967,19.099335046989935
range:long,Static_basic,-90.69513492518846,2.1170504364347996e-06,0.7536188798366396,0.00846530050000003,3,,0.0,26.10425391369334
range:long,Seq_basic,-90.67956373117853,2.1006319317625424e-06,0.7535421389233352,0.008467937207274252,3,,0.009900990099009901,26.119825107703264
range:long,Static_weber,-82.48055554643902,3.4830359502607414e-08,0.7631173434226464,0.008138946968972396,3,,0.0,34.318833292442775
range:long,Seq_weber,-82.38861711475238,3.326547891713108e-08,0.7632342063468319,0.008134931727179993,3,,0.009900990099009901,34.41077172412942
range:medium,Linear_basic,-140.95925443240844,0.5808272711475314,0.9331888559882804,0.003097802917488039,3,,,0.0
range:medium,StaticGain_basic,-138.95925443240762,0.21367441192679962,0.9331888559882797,0.0030978029174880684,4,1.917750955199439,0.27611823317598544,2.0000000000008242
range:medium,SeqGain_basic,-138.4629173409117,0.16671485052386412,0.9325223362991155,0.0031287071426468844,4,1.3980317016196717,0.009900990099009901,2.4963370914967413
range:medium,Linear_weber,-134.40335474781102,0.021900370939695855,0.9282437835285214,0.0033270889163977972,3,,,6.555899684597421
range:medium,SeqGain_weber,-132.5858399072401,0.00882639050116806,0.927780295348086,0.003348579268925249,4,1.5872228950039553,0.01729181164042812,8.373414525168329
range:medium,StaticGain_weber,-132.40335474781233,0.008056696222747873,0.9282437811287789,0.003327089027665606,4,2.045034571675974,0.23339110814974143,8.555899684596113
range:medium,Static_basic,-104.04450649922754,5.599011186087779e-09,0.8602067071613676,0.006481734100000018,3,,0.0,36.914747933180905
range:medium,Seq_basic,-102.88709911968826,3.138943625973925e-09,0.856933007524765,0.006633524290622531,3,,0.009900990099009901,38.072155312720184
range:medium,Static_weber,-82.87261610908322,1.4147957652157102e-13,0.798209084621096,0.009356350585370876,3,,0.0,58.08663832332522
range:medium,Seq_weber,-82.11337157024863,9.678897582697201e-14,0.7934462648329789,0.009577186154845796,3,,0.009900990099009901,58.84588286215981
range:short,Linear_weber,-105.42417057676718,0.5258513261764828,0.6459648854990119,0.007397861106994329,3,,,0.0
range:short,StaticGain_weber,-103.42417057676748,0.1934498920130952,0.645964884043559,0.007397861137407239,4,1.4923363956097329,0.09495067342008585,1.9999999999997016
range:short,SeqGain_weber,-103.2358291506393,0.17606404305893328,0.641399514645797,0.007493258365883768,4,1.3590886039984718,0.009900990099009901,2.1883414261278773
range:short,Static_basic,-99.38952790099422,0.025731017866769727,0.659541636569668,0.007114163488902067,3,,0.020666083232909915,6.034642675772957
range:short,Linear_basic,-99.38952790099408,0.0257310178667679,0.6595416365696662,0.0071141634889021034,3,,,6.0346426757730995
range:short,Seq_basic,-98.93548528096538,0.02050514591789656,0.656435904417191,0.007179060371043084,3,,0.009900990099009901,6.488685295801801
range:short,StaticGain_basic,-97.38952790099403,0.009465912473598704,0.6595416365696672,0.007114163488902084,4,1.5949196297624006,0.3859665733320123,8.034642675773156
range:short,Static_weber,-97.19652871066063,0.008595145695441063,0.5806607266693191,0.008762446361234173,3,,0.0,8.227641866106552
range:short,SeqGain_basic,-96.95947523772828,0.0076344496488767845,0.656600706634015,0.007175616690288682,4,0.984404337045222,0.009900990099009901,8.464695339038897
range:short,Seq_weber,-96.77795192333207,0.006972049282138134,0.5741503599086576,0.008898485943406276,3,,0.009900990099009901,8.646218653435113
