scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,StaticGain_basic,-421.4157900941555,0.6956424335160611,0.942098968086899,0.0033437946291604483,4,1.1594691862619095,0.12040845587880221,0.0
overall,SeqGain_basic,-419.61241344303903,0.2823500061261464,0.9413986509435412,0.0033842380655776604,4,1.136540864481529,0.09908594171316727,1.80337665111648
overall,Linear_basic,-414.50866323304194,0.0220050583695335,0.9385566229402402,0.003548365675386486,3,,,6.907126861113568
overall,Seq_basic,-395.0157463487211,1.2873285628720725e-06,0.9300298423598452,0.004040788731879596,3,,0.012421850813775078,26.400043745434402
overall,Static_basic,-394.8980122877026,1.2137347293081716e-06,0.9299749016626326,0.004043961566666676,3,,0.0,26.517777806452898
overall,SeqGain_weber,-380.4435086199719,8.817961291753147e-10,0.9196802823573971,0.004638477615944709,4,1.20843667136001,0.0914497506766374,40.9722814741836
overall,Linear_weber,-373.438418165051,2.656024783676621e-11,0.9169808370999225,0.004794371047467713,3,,,47.97737192910449
overall,StaticGain_weber,-372.49963734641824,1.6610337565580823e-11,0.9173047646270198,0.004775664176630404,4,1.1980490333366207,0.0392152460135917,48.91615274773727
overall,Static_weber,-321.3143522095369,1.2753665250825916e-22,0.9285308561621948,0.004127355444618188,3,,0.0,100.10143788461863
overall,Seq_weber,-321.06203130603967,1.1242016690078844e-22,0.928880530631547,0.004107161683402857,3,,0.009900990099009901,100.35375878811584
range:long,SeqGain_basic,-185.0062668968612,0.22891702985835263,0.8887654423609266,0.001233373224484352,4,0.882210187591705,0.08879414776054706,0.0
range:long,Linear_basic,-184.9212291886446,0.219387762411991,0.8840288030826718,0.0012858932702672116,3,,,0.0850377082166176
range:long,Static_basic,-184.92122918864385,0.21938776241190994,0.8840288030826734,0.001285893270267194,3,,0.17407544641784897,0.08503770821735657
range:long,Seq_basic,-183.3822674296883,0.10163214666546869,0.8804037970603589,0.0013260874820428578,3,,0.1753834589756082,1.6239994671728937
range:long,StaticGain_basic,-182.9212291886447,0.080708247435981,0.884028803082674,0.001285893270267188,4,1.2179606403022607,0.3218791288781334,2.085037708216504
range:long,SeqGain_weber,-181.8115874557077,0.046340666526557564,0.8913580222134765,0.0012046265953760836,4,0.8320713870172256,0.08885477884339768,3.194679441153511
range:long,Static_weber,-181.65262716418408,0.04280007078898802,0.8870583178099956,0.0012523018897900562,3,,0.2194735729172731,3.3536397326771237
range:long,Linear_weber,-181.65262716418042,0.04280007078890956,0.8870583216105603,0.0012523018476492426,3,,,3.35363973268079
range:long,StaticGain_weber,-179.65262716418474,0.01574526612395623,0.8870583176811311,0.0012523018912189113,4,2.1827930909469178,0.6424185002839765,5.35363973267647
range:long,Seq_weber,-175.78875536040175,0.0022809769878855525,0.8660960954685077,0.0014847318496013678,3,,0.22053092381955391,9.217511536459455
range:medium,Static_weber,-143.84929091855378,0.29534824959675227,0.8619267206237923,0.003985352658846036,3,,0.03579301953440225,0.0
range:medium,Linear_weber,-143.8492909185523,0.29534824959653405,0.8619267220966753,0.0039853526163326795,3,,,1.4779288903810084e-12
range:medium,Seq_weber,-143.128831886325,0.2060101936045305,0.8588027677172145,0.004075522560499612,3,,0.009900990099009901,0.7204590322287743
range:medium,StaticGain_weber,-141.84929091855363,0.10865254901260918,0.861926720165726,0.003985352672067678,4,0.976314613013985,0.012401362699632346,2.000000000000142
range:medium,SeqGain_weber,-141.5653475974738,0.09427193267253396,0.861555019185841,0.003996081464019121,4,0.9707263708600764,0.009900990099009901,2.283943321079988
range:medium,Linear_basic,-128.31000182634833,0.00012474428227025232,0.8617813398047307,0.003989548936622663,3,,,15.53928909220545
range:medium,Static_basic,-127.53843956121946,8.481604777401366e-05,0.8596319122340461,0.0040515901000000056,3,,0.0,16.310851357334315
range:medium,Seq_basic,-127.17456299333506,7.070713474414301e-05,0.8586066529203271,0.004081183225841561,3,,0.009900990099009901,16.67472792521872
range:medium,StaticGain_basic,-126.31000182634943,4.589085685093852e-05,0.8617813398047325,0.00398954893662261,4,1.7849274468346716,0.4103026729469453,17.539289092204342
range:medium,SeqGain_basic,-126.16433076094964,4.2667195400626394e-05,0.8613780634432369,0.004001189121651876,4,1.0601331864080554,0.009900990099009901,17.684960157604138
range:short,SeqGain_weber,-165.029058113078,0.9479287876338072,0.8939125871320126,0.0023822522649018622,4,1.4304072363411457,0.15666615268465786,0.0
range:short,Linear_weber,-158.59785435671975,0.03804149367172844,0.8615546135011192,0.003108868683248808,3,,,6.431203756358258
range:short,StaticGain_weber,-156.5978543567211,0.013994683433291766,0.861554611819376,0.0031088687210132928,4,1.399241462024846,0.0841594401815861,8.431203756356922
range:short,SeqGain_basic,-143.3077561016625,1.819930950683463e-05,0.8735382205391109,0.0028397700763907636,4,1.2817440487627636,0.1323834511802498,21.721302011415503
range:short,Linear_basic,-142.06124245054002,9.758384152925869e-06,0.8650545803837025,0.0030302749669189454,3,,,22.967815662537987
range:short,StaticGain_basic,-140.0612424505404,3.5899089089152905e-06,0.8650545803837022,0.0030302749669189532,4,1.2790105925761213,0.09094678013824789,24.967815662537618
range:short,Static_weber,-138.09968631478262,1.3462847488433948e-06,0.8109921456275159,0.004244277214332579,3,,0.0,26.929371798295392
range:short,Seq_weber,-137.80121884228316,1.1596462764115784e-06,0.8101037072962929,0.004264227594585657,3,,0.009900990099009901,27.227839270794846
range:short,Static_basic,-136.14949185371714,5.077589409098982e-07,0.8481177712780255,0.003410600500000021,3,,0.0,28.87956625936087
