scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Linear_basic,-243.40086155857438,0.4116162668589725,0.5956137912458128,0.011102894079108382,3,,,0.0
overall,SeqGain_basic,-242.89772229640906,0.3200642936067511,0.5996291222135239,0.010992648493423336,4,0.627034461800417,0.109822028824761,0.5031392621653197
overall,StaticGain_basic,-242.5450283035898,0.26831855071344435,0.5986866252466975,0.011018525844742498,4,0.6418685663412399,0.1396811310074118,0.8558332549845886
overall,SeqGain_weber,-215.87473055722364,4.337796045536455e-07,0.6127249534401513,0.010633087203153152,4,0.5979574010436963,0.12405684766073936,27.526131001350734
overall,Linear_weber,-215.33176512620818,3.306478348701569e-07,0.6097081827370779,0.010715916154418258,3,,,28.069096432366194
overall,StaticGain_weber,-213.3641967642139,1.2362708866912252e-07,0.6102778721940111,0.010700274667242422,4,0.5822089989902469,0.020828732663619544,30.03666479436049
overall,Static_basic,-203.19533959229577,7.655514149461738e-10,0.4713073840633212,0.01451587118471654,3,,0.4477883141010807,40.20552196627861
overall,Seq_basic,-189.34523071047138,7.524219092036441e-13,0.4201663477751658,0.01592000786571889,3,,0.3936719007965799,54.05563084810299
overall,Static_weber,-144.20812383590916,1.1886752239061025e-22,0.24613314352950544,0.02069829206819021,3,,0.4299176962296179,99.19273772266521
overall,Seq_weber,-130.86419866762373,1.5047580551954554e-25,0.12927379465303113,0.023906801519405843,3,,0.435495583016511,112.53666289095065
range:long,Linear_weber,-105.19244874109273,0.31469077326215966,0.39967752247432753,0.00683406618792213,3,,,0.0
range:long,Static_weber,-105.1924487410927,0.3146907732621552,0.399677528422263,0.006834066120210881,3,,0.4331976213829422,2.842170943040401e-14
range:long,SeqGain_weber,-103.20975149682369,0.11677416575813021,0.40081998670595864,0.00682106038442718,4,0.5736819843040244,0.016458589440131174,1.9826972442690476
range:long,StaticGain_weber,-103.19244874109418,0.11576826580957628,0.39967752821082936,0.00683406612261784,4,2.030527108109251,0.7208594713574046,1.9999999999985505
range:long,Linear_basic,-101.46394901868655,0.04878098685354965,0.4004697890127151,0.006825047032110851,3,,,3.728499722406184
range:long,Static_basic,-101.46394901868608,0.04878098685353821,0.400469789012712,0.006825047032110887,3,,0.43673613714631154,3.728499722406653
range:long,SeqGain_basic,-99.73956547784265,0.020597070415885887,0.4037655050099278,0.006787528628078442,4,0.5944005241227925,0.06908094334534111,5.4528832632500865
range:long,StaticGain_basic,-99.46394901868688,0.017945522183478255,0.40046978901271824,0.006825047032110816,4,0.9587155573521955,0.4124806900932059,5.728499722405857
range:long,Seq_weber,-94.22965030410873,0.0013102150263489506,0.2987590773240858,0.007982920944421643,3,,0.3135026988644434,10.962798436984002
range:long,Seq_basic,-92.86199267421863,0.0006612405751776,0.28792339727095595,0.008106274237770666,3,,0.3457694494564001,12.330456066874106
range:medium,Static_basic,-80.89865414475436,0.3589641144311694,0.2707584959739401,0.010297541008326718,3,,0.5873377215353915,0.0
range:medium,Linear_basic,-80.89865414475375,0.3589641144310597,0.27075849597393487,0.010297541008326791,3,,,6.110667527536862e-13
range:medium,StaticGain_basic,-78.89865414475418,0.13205551781752808,0.27075849597393997,0.01029754100832672,4,2.0800224084446977,0.8016068090122251,2.0000000000001847
range:medium,SeqGain_basic,-78.77772172302221,0.12430723624904286,0.26899258245062685,0.010322477283652631,4,0.4143680193482121,0.009900990099009901,2.1209324217321495
range:medium,Static_weber,-73.63032605160879,0.00947880617203909,0.26037856480226684,0.010444114902316292,3,,0.6699008877094564,7.26832809314557
range:medium,Linear_weber,-73.63032605160815,0.00947880617203606,0.2603785615282328,0.010444114948548576,3,,,7.268328093146209
range:medium,StaticGain_weber,-71.63032605160862,0.003487057917541862,0.26037857263451036,0.010444114791718022,4,1.824083343505672,0.8190328602534606,9.26832809314574
range:medium,SeqGain_weber,-71.48362935523107,0.0032404429354365733,0.25846782247888556,0.010471096289583386,4,0.3309060769827809,0.009900990099009901,9.415024789523287
range:medium,Seq_basic,-61.65977979693211,2.3844188735629014e-05,-0.07146531655897936,0.01513004673397137,3,,0.6616827525971802,19.238874347822247
range:medium,Seq_weber,-49.679363415510984,5.968541090194896e-08,-0.24233994936889713,0.017542949083780603,3,,0.9900990099009901,31.219290729243376
range:short,Seq_basic,-79.29991136758181,0.35406870325609774,0.4754774895550534,0.010632124009623727,3,,0.33212511310936327,0.0
range:short,Seq_weber,-78.49941381940117,0.2372803129293303,0.4242002642462377,0.011671518520815,3,,0.40293567785894924,0.800497548180644
range:short,SeqGain_weber,-77.94133100290091,0.17950459185345743,0.47349626081362206,0.010672283715357729,4,0.8509595966676508,0.3105937554968219,1.358580364680904
range:short,SeqGain_basic,-77.34230647613143,0.13304514750871538,0.4759220448096162,0.010623112829928824,4,1.0374381003459545,0.3474006824413129,1.9576048914503872
range:short,Static_weber,-73.8282924410652,0.02295834548368142,0.41806629859359046,0.01179585462115585,3,,0.3326830949700476,5.471618926516612
range:short,Linear_weber,-73.82829244106449,0.022958345483673263,0.4180663348935003,0.01179585388535303,3,,,5.471618926517323
range:short,Static_basic,-73.29979494151246,0.017627016583937193,0.4086011437669449,0.01198771426089146,3,,0.24079773728387238,6.000116426069354
range:short,Linear_basic,-73.2997949415119,0.017627016583932308,0.40860114376694234,0.011987714260891512,3,,,6.0001164260699085
range:short,StaticGain_weber,-71.8282924410652,0.008445903306757626,0.41806630496263786,0.01179585449205462,4,1.4835599284056202,0.5501921543786414,7.471618926516612
range:short,StaticGain_basic,-71.29979494151206,0.00648461701041727,0.4086011437669438,0.011987714260891482,4,1.5481189108594833,0.5095968968425031,8.000116426069752
