range,model,k,aic,rmse_to_llm,r2_to_llm,rmse_vs_truth,bias_vs_truth
long,Combo_NonOracle,0.0,-233.258928385084,0.09704414665072493,-12.849362351716776,0.19016734547741787,-0.14746807811494964
long,EmpiricalLinear,2.0,-225.63444117498625,0.10062601948173373,-13.890582054026845,0.18586438677306064,-0.14394659013755665
long,Equal,0.0,-202.22675617574927,0.13235500140551523,-24.761538819196964,0.1688159102326474,-0.12360105513939773
long,Combo_Oracle,0.0,-160.49868575409855,0.20089219510783432,-58.349520669476725,0.12257674154602069,-0.04316296225156178
long,LLM(Combined),,,0.0,1.0,0.25380666460910756,-0.22605
medium,Equal,0.0,-266.1725985052743,0.06982759628111047,-0.5819317127795867,0.15810065335174847,-0.08433103950289303
medium,Combo_NonOracle,0.0,-265.0416216856037,0.0706218129464089,-0.6181220358692272,0.1870013341035792,-0.11674986955641525
medium,EmpiricalLinear,2.0,-263.89175559059527,0.06863741010999073,-0.5284643851896857,0.1823130062156087,-0.11196659514504156
medium,Combo_Oracle,0.0,-222.79291552220982,0.10775133554077013,-2.766854726049765,0.13353063374073526,0.0001394912763451861
medium,LLM(Combined),,,0.0,1.0,0.17493996398764922,-0.08247
short,Equal,0.0,-270.8166174456411,0.06665893555052903,0.3717745203239404,0.10193338306001766,-0.048619564908965476
short,EmpiricalLinear,2.0,-253.41881697222158,0.07621567187324842,0.1787273448329032,0.1273392139800642,-0.07284598584863436
short,Combo_NonOracle,0.0,-252.37013838299478,0.08016234533457355,0.09146925621812874,0.13268122484126188,-0.07703919335495091
short,Combo_Oracle,0.0,-214.7598930628535,0.11676418035500204,-0.9276051064865973,0.09928134815275212,0.04302347097521658
short,LLM(Combined),,,0.0,1.0,0.09382506594721901,-0.05324999999999999
