range,model,k,aic,rmse_to_llm,r2_to_llm,rmse_vs_truth,bias_vs_truth
long,Combo_Oracle,0.0,-239.14178576430345,0.09149985808341841,0.43800921304024654,0.06826421868057798,-0.033197800529364
long,Combo_NonOracle,0.0,-221.8170669289717,0.10880797263693875,0.20528796159871676,0.06995423652502088,0.021617164107008948
long,EmpiricalLinear,2.0,-219.42389644255056,0.10707358565690647,0.23042128409801355,0.0635555478817049,0.018070636410624962
long,Equal,0.0,-219.24253091423788,0.11164564478742553,0.16329584143315912,0.07680991472459789,0.024429999999999997
long,LLM(Combined),,,0.0,1.0,0.09859687114711095,-0.03964999999999999
medium,Combo_Oracle,0.0,-221.57739693429775,0.10906906545477575,0.3829088498810975,0.08885664628287131,0.000784869109760935
medium,Combo_NonOracle,0.0,-212.70293861696047,0.1191908384191062,0.26306041802578095,0.11272745563711166,0.06465145026696241
medium,EmpiricalLinear,2.0,-210.82929985337057,0.11668316620285182,0.2937433588799073,0.10571857808398402,0.05594170936064215
medium,Equal,0.0,-209.81956266987828,0.12267758482311449,0.2193136806148236,0.1195659065516071,0.07155935397935397
medium,LLM(Combined),,,0.0,1.0,0.09126483988919282,0.010529999999999989
short,Combo_Oracle,0.0,-262.54767955523937,0.07240522630607679,0.6531267916640733,0.05620042085876913,0.03241293141960253
short,Equal,0.0,-236.4006763774567,0.0940426605683363,0.414831767411999,0.09604364371471642,0.08525350877192983
short,Combo_NonOracle,0.0,-236.291705176192,0.09414519584208375,0.4135550469546513,0.09632530723010924,0.08636085156273288
short,EmpiricalLinear,2.0,-230.56435750933954,0.09578553709838196,0.3929411367992418,0.09815346852572003,0.08775703037528285
short,LLM(Combined),,,0.0,1.0,0.0634468517737484,0.022550000000000008
