range,model,k,aic,rmse_to_llm,r2_to_llm,rmse_vs_truth,bias_vs_truth
long,EmpiricalLinear,2.0,-242.95012887823214,0.08462705293410697,-2.268349468023649,0.3717715512239253,-0.3478434513879837
long,Equal,0.0,-187.39579459999666,0.1535148542895063,-9.755011083919763,0.2986970324623498,-0.2659704761904762
long,Combo_NonOracle,0.0,-177.5580429561292,0.16938510483611405,-12.093642750379395,0.2852920615499559,-0.24975485706288192
long,Combo_Oracle,0.0,-135.21778399314425,0.25867629119298985,-29.536784480641316,0.20797041260747315,-0.15622607322934054
long,LLM(Combined),,,0.0,1.0,0.4222319066579408,-0.40545000000000003
medium,EmpiricalLinear,2.0,-248.72229945113932,0.07988054125631401,-0.1737882754373834,0.24271761177440312,-0.19943773392309028
medium,Equal,0.0,-181.0741261045246,0.16353287131338456,-3.919465210736991,0.15185654743869295,-0.09187000000000001
medium,Combo_NonOracle,0.0,-169.0779574381269,0.18437573335155988,-5.253386774658124,0.1384856259065661,-0.07056532163076527
medium,Combo_Oracle,0.0,-139.01718614894276,0.24903250185500644,-10.40827109212455,0.1284157271727471,0.003915158923707136
medium,LLM(Combined),,,0.0,1.0,0.268026549058111,-0.23287
short,Equal,0.0,-239.35259197168568,0.09130717386930777,0.12966226260669134,0.10251430631867926,0.06595000000000001
short,Combo_NonOracle,0.0,-228.24992838935185,0.10202888862931758,-0.08673667872079971,0.11266637225035961,0.08514340393624753
short,EmpiricalLinear,2.0,-217.49897184417847,0.10915463651786386,-0.2438338991534621,0.1162896118437711,-0.030957868399180414
short,Combo_Oracle,0.0,-187.09965271850115,0.15397014989513483,-1.4748625184496866,0.18032332165446,0.15231091430563315
short,LLM(Combined),,,0.0,1.0,0.10026336818599305,0.025550000000000007
