range,model,k,aic,rmse_to_llm,r2_to_llm,rmse_vs_truth,bias_vs_truth
long,Combo_Oracle,0.0,-170.9025753831374,0.18104208628262433,-0.5685412043245217,0.16936104686582576,-0.12713444858015516
long,Equal,0.0,-170.53699551747277,0.18170515097549902,-0.5800517750300971,0.15251954238772125,-0.07017455114900001
long,Combo_NonOracle,0.0,-165.40513210943254,0.19127342672296813,-0.7508386184124554,0.15365129097416558,-0.05067849570199765
long,EmpiricalLinear,2.0,-163.6411885252388,0.1870439084271225,-0.6742641500619166,0.14995900611206509,-0.053577167656424056
long,LLM(Combined),,,0.0,1.0,0.17343754783783125,-0.03805000000000001
medium,Combo_Oracle,0.0,-202.1791130732252,0.1324180744583207,-0.2735873196702874,0.12423320109971252,-0.0076134261219144616
medium,Combo_NonOracle,0.0,-199.1667297665352,0.13646770337114214,-0.3526765319319547,0.142473174480425,0.05339483136219321
medium,EmpiricalLinear,2.0,-192.46437236751396,0.14020582973268766,-0.42779656729242976,0.14090797822808632,0.04842083938059576
medium,Equal,0.0,-173.36319291954015,0.17664169339962207,-1.2663168548651123,0.1514531906433924,0.019940468470908895
medium,LLM(Combined),,,0.0,1.0,0.1358532701115435,0.059529999999999986
short,Combo_Oracle,0.0,-223.07788602107368,0.10744471312154157,0.43121001116602353,0.15284843997081765,0.13474787470206956
short,Combo_NonOracle,0.0,-217.2334935897866,0.11391133049182464,0.36068382634040286,0.16131517977126714,0.13730773298090437
short,EmpiricalLinear,2.0,-212.96605237145437,0.11421638407962566,0.3572550746919858,0.15779897613614144,0.1335568169857336
short,Equal,0.0,-196.25583409010798,0.14049851763193083,0.02742001734449051,0.15739022657577376,0.11207960528358851
short,LLM(Combined),,,0.0,1.0,0.186843953608352,0.16775
