range,model,k,aic,rmse_to_llm,r2_to_llm,rmse_vs_truth,bias_vs_truth
long,Combo_NonOracle,0.0,-204.88232193566444,0.12360850345421776,0.24101687785449877,0.0815700383972529,-0.01916628479197195
long,EmpiricalLinear,2.0,-202.71421561111683,0.12131937707218249,0.2688680460857561,0.09065930450572669,-0.04581085679956439
long,Combo_Oracle,0.0,-200.32394113605994,0.12949385530416885,0.16702159307210251,0.11324452492604206,-0.08097978742819437
long,Equal,0.0,-156.26472125419912,0.20300229958618313,-1.0470918854249813,0.2161428768529875,-0.196284693877551
long,LLM(Combined),,,0.0,1.0,0.12596265454077693,-0.037172749099639864
medium,Combo_NonOracle,0.0,-243.71013968800517,0.08741386268466657,0.40799724926734415,0.1535919172380828,0.06334011902921664
medium,EmpiricalLinear,2.0,-239.2860605830317,0.08778535376247903,0.4029547754839802,0.14775595147971668,0.04012743941008586
medium,Combo_Oracle,0.0,-223.67798782168632,0.10680186626036851,0.11626758508918045,0.13618205395679622,0.002727060409449613
medium,Equal,0.0,-169.28109338135746,0.18400158011502946,-1.6230478118200362,0.19412020226357965,-0.09096496358131034
medium,LLM(Combined),,,0.0,1.0,0.14289765218505165,0.057589999999999995
short,Combo_Oracle,0.0,-209.598295449975,0.12294933063584712,0.3943346880771623,0.14741090458794762,0.07663313127018244
short,EmpiricalLinear,2.0,-204.07841063499612,0.12483229201682368,0.3756411774446492,0.16321377783985852,0.11005263024731983
short,Combo_NonOracle,0.0,-203.87960461757183,0.13018535371476575,0.32094552025878087,0.1790332783642474,0.12720924512544327
short,Equal,0.0,-189.80468478485056,0.1498610349629898,0.10017548923889907,0.10318504416164191,0.013161538461538471
short,LLM(Combined),,,0.0,1.0,0.13477662631183496,0.08950999999999999
