range,model,k,aic,rmse_to_llm,r2_to_llm,rmse_vs_truth,bias_vs_truth
long,Combo_NonOracle,0.0,-273.46444902301255,0.06491708165107067,0.6658090972026086,0.07923257882740395,0.060597930886177646
long,Equal,0.0,-271.30185539615803,0.0663362645918505,0.6510375694673536,0.07889260421611141,0.06285
long,EmpiricalLinear,2.0,-264.7365079380603,0.06806003610045151,0.6326661099237791,0.07995660462474015,0.06343783493218838
long,Combo_Oracle,0.0,-226.212084461386,0.10412940810389108,0.14014851168045206,0.0584291262736756,-0.03403393160792581
long,LLM(Combined),,,0.0,1.0,0.06575122052099108,0.04954999999999999
medium,Combo_NonOracle,0.0,-287.9538477296635,0.056160676272088705,0.81582312838463,0.10898619010387701,0.099807949300386
medium,Equal,0.0,-279.3733591003897,0.06119231977952789,0.7813425549607123,0.11193529827538765,0.09803
medium,EmpiricalLinear,2.0,-271.23642269627396,0.06377689974961434,0.7624816092024531,0.1134391350557766,0.09756591979037753
medium,Combo_Oracle,0.0,-261.3357504478203,0.07328806520421136,0.686356026444632,0.05174399158182693,0.008207832078326151
medium,LLM(Combined),,,0.0,1.0,0.07760999291328403,0.06473
short,Combo_Oracle,0.0,-290.466461003249,0.054767155867054065,0.8681469186452916,0.05528764962948546,0.025826099529600084
short,EmpiricalLinear,2.0,-256.93721608416155,0.07358072611836086,0.7619994032051,0.10507008865466848,0.09115948561030411
short,Equal,0.0,-254.9774239105767,0.07809929577147286,0.7318707810145435,0.10969969462127048,0.09645
short,Combo_NonOracle,0.0,-231.28689349280614,0.09897688559175925,0.5693569170944982,0.1300556360398676,0.11671862202440089
short,LLM(Combined),,,0.0,1.0,0.06416777228484716,0.037750000000000006
