range,model,k,aic,rmse_to_llm,r2_to_llm,rmse_vs_truth,bias_vs_truth
long,Equal,0.0,-179.30992197390063,0.16644352442268018,-0.21203337368173147,0.2928366458548799,-0.2608853333333333
long,EmpiricalLinear,2.0,-173.90694909130454,0.16879513962415443,-0.2465240040573038,0.2902311879141946,-0.24722110773271552
long,Combo_NonOracle,0.0,-171.7781955811217,0.17946376534099365,-0.40907569105163577,0.30591547374303113,-0.28058765871617514
long,Combo_Oracle,0.0,-143.32900309151594,0.23852288224617352,-1.4890915411043428,0.18960383875549403,-0.15453107266791372
long,LLM(Combined),,,0.0,1.0,0.3570945855092177,-0.31105
medium,Combo_Oracle,0.0,-169.4007188216334,0.183781599017607,-0.040098292639147326,0.15690272933904684,-0.03802448736689251
medium,EmpiricalLinear,2.0,-163.53113434559154,0.1872498713807591,-0.07972557363576893,0.2470341910937959,-0.14369040684777687
medium,Equal,0.0,-163.31298690384867,0.1953172988870446,-0.17476703423182438,0.24550844769410665,-0.15943066666700006
medium,Combo_NonOracle,0.0,-153.5090751017024,0.21543613923151636,-0.42924751894571567,0.25100707698397345,-0.182126407328277
medium,LLM(Combined),,,0.0,1.0,0.24482895158320908,-0.05260066666666667
short,Combo_Oracle,0.0,-168.91348531688175,0.18467922954617216,0.0039711478284697455,0.23488337924419703,0.19255556003480595
short,Equal,0.0,-161.87003915146624,0.1981560571057713,-0.14670185476196473,0.19708900483044406,0.10414582536334921
short,EmpiricalLinear,2.0,-160.97395912303182,0.19209992661085204,-0.07768095665442254,0.22782922428154995,0.13395873668049474
short,Combo_NonOracle,0.0,-150.15597896597976,0.22278239532009453,-0.44943101105752503,0.16422036198029277,0.06115885364988102
short,LLM(Combined),,,0.0,1.0,0.2745488548505953,0.20226761904761903
