range,model,k,aic,rmse_to_llm,r2_to_llm,rmse_vs_truth,bias_vs_truth
long,Equal,0.0,-504.1643370598728,0.08039352142164119,0.6397358134820252,0.05474482923876354,0.0373890002545
long,EmpiricalLinear,2.0,-482.21796125172915,0.0879409417462515,0.5689166875125582,0.03623960807079904,0.01755091911309374
long,Combo_Oracle,0.0,-453.4031273007836,0.10362096170634678,0.4014861227750526,0.026831565453381858,-0.007065019207349272
long,Combo_NonOracle,0.0,-442.9795738600921,0.10916466273794322,0.3357322900748603,0.030753390036495472,-0.013009250105765707
long,LLM(Combined),,,0.0,1.0,0.10164163516984563,0.06425
medium,Combo_Oracle,0.0,-594.3842235379515,0.051204845236924874,0.9092855701213776,0.015602466407793988,0.004410008670297745
medium,Combo_NonOracle,0.0,-590.0167665160794,0.05233531835018574,0.9052358655316032,0.018533860032061207,-0.006813301184915164
medium,EmpiricalLinear,2.0,-576.3715350514292,0.05492109965546631,0.8956403273041889,0.030668849835504018,0.016926687323236402
medium,Equal,0.0,-543.4949256141269,0.06604132290968551,0.8491011992479601,0.04993256905619858,0.032337459919028325
medium,LLM(Combined),,,0.0,1.0,0.052344565142906675,0.010894999999999993
short,Combo_NonOracle,0.0,-734.3228462425994,0.025435378188744577,0.9602076000788612,0.02394739190505873,-0.019026672447639895
short,Combo_Oracle,0.0,-679.4655185485841,0.03346257619239947,0.9311280340546021,0.013577772780003073,0.0026550105370532406
short,EmpiricalLinear,2.0,-658.7079073693081,0.036387151871035105,0.9185633573744711,0.02273967129349124,-0.0005156577625543017
short,Equal,0.0,-594.8395135348942,0.051088412544605534,0.8394654369423286,0.03642766926557815,0.011500735494387111
short,LLM(Combined),,,0.0,1.0,0.03318525169336847,-0.018143562122000002
