scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,StaticGain_basic,-272.9158005913283,0.966843752677484,0.42089544522342637,0.00899893474469707,4,0.4582769795543867,0.5234515106841,0.0
overall,Linear_basic,-265.17268063907125,0.020135348993350916,0.38203169330125475,0.009602853958588677,3,,,7.743119952257075
overall,SeqGain_basic,-263.10277845502264,0.0071529569796602915,0.38174364396013516,0.009607330071239852,4,0.3668545290850032,0.009900990099009901,9.813022136305676
overall,StaticGain_weber,-262.69872412387076,0.0058444860968819975,0.41281676668767,0.009124472526030365,4,0.45182205758529026,0.587356633685023,10.21707646745756
overall,Linear_weber,-250.5919597262626,1.3733962083287515e-05,0.3624636120897601,0.009906930112797327,3,,,22.323840865065733
overall,SeqGain_weber,-249.90085298984792,9.721290539336774e-06,0.35503570578766297,0.010022355286975218,4,0.42691244168219555,0.9088418816939794,23.0149476014804
overall,Static_basic,-179.49027180339002,4.991838021264986e-21,-0.09406263154920436,0.017001071994195125,3,,0.7816087805651392,93.4255287879383
overall,Static_weber,-161.08906283201588,5.040675340142075e-25,-0.1661435221071852,0.0181211654645723,3,,0.8135586477743417,111.82673775931244
overall,Seq_basic,-160.37871538739068,3.5337737356716485e-25,-0.24272721130576258,0.01931122970413272,3,,0.9900990099009901,112.53708520393764
overall,Seq_weber,-150.5995944584695,2.6590690182203005e-27,-0.2505894125342627,0.01943340355895976,3,,0.9900990099009901,122.31620613285881
range:long,Static_basic,-77.87734786163338,0.3274355205060317,0.19572342010158428,0.010938965763198352,3,,0.5695515565468106,0.0
range:long,Linear_basic,-77.87734786163317,0.3274355205059968,0.19572342010157728,0.010938965763198447,3,,,2.1316282072803006e-13
range:long,StaticGain_basic,-75.87734786163335,0.12045679630343757,0.19572342010159072,0.010938965763198265,4,1.2351247970365176,0.6514939647448188,2.0000000000000284
range:long,SeqGain_basic,-75.74050145390868,0.11249040711025647,0.19351915780826123,0.01096894593464984,4,0.43119549480180336,0.009900990099009901,2.136846407724704
range:long,Static_weber,-73.70362799984865,0.04062693299152136,0.18448490193437617,0.01109182084879055,3,,0.465684797341368,4.173719861784733
range:long,Linear_weber,-73.70362799984832,0.04062693299151472,0.18448490019853425,0.011091820872399736,3,,,4.1737198617850595
range:long,StaticGain_weber,-71.7036279998486,0.014945813405430192,0.18448490862119882,0.011091820757843075,4,3.4873125564496474,0.8467831051354848,6.173719861784775
range:long,SeqGain_weber,-71.60678669915757,0.014239368676736157,0.18202181767589465,0.011125321257790158,4,0.5357636457632413,0.009900990099009901,6.270561162475815
range:long,Seq_weber,-66.64735301035105,0.0011927883602736687,0.036840408513227785,0.013099933603811589,3,,0.30818173123391096,11.229994851282328
range:long,Seq_basic,-65.09879753067156,0.0005499191488013621,-0.03848086868868705,0.014124378295034833,3,,0.7364203572209845,12.77855033096182
range:medium,Linear_basic,-110.52527152733147,0.33171458251327063,0.018240855010707602,0.005693771066914102,3,,,0.0
range:medium,Static_basic,-110.52527152733145,0.3317145825132683,0.018240855010711488,0.0056937710669140796,3,,0.9313527372377394,1.4210854715202004e-14
range:medium,SeqGain_basic,-108.5591887000753,0.12411809536053356,0.018906599073883812,0.005689910044275067,4,0.1,0.20220958611817075,1.966082827256173
range:medium,StaticGain_basic,-108.52527152733,0.122030975243311,0.01824085501071626,0.005693771066914052,4,1.1962931663709149,0.9426166808474827,2.0000000000014637
