scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,SeqGain_weber,-331.15674067445866,0.9999989312831798,0.8818584392201496,0.006570880814156667,4,1.3503619632100279,0.7903636546501832,0.0
overall,SeqGain_basic,-303.65863640022735,1.0687153846697684e-06,0.8681862879602658,0.007331308184582449,4,1.2284403318548225,0.7769172273941162,27.49810427423131
overall,Seq_basic,-276.5860184145171,1.4129206107595152e-12,0.8399946734583033,0.008899289322026842,3,,0.7048510807379048,54.57072225994153
overall,Seq_weber,-268.19763780560993,2.131101109096631e-14,0.7975776882510873,0.011258467179951328,3,,0.667093742793739,62.95910286884873
overall,StaticGain_weber,-262.4427129847031,1.199328097601476e-15,0.8233758973984283,0.009823604152860054,4,1.3351848987896133,0.5386029991188338,68.71402768975554
overall,StaticGain_basic,-257.95343052805094,1.2708746268334015e-16,0.8212316156387398,0.009942866331062854,4,1.2182661435150024,0.5465904063477033,73.20331014640772
overall,Static_basic,-241.5344097783048,3.4574638988052984e-20,0.7978753679426298,0.011241910620506805,3,,0.4476264835195082,89.62233089615387
overall,Static_weber,-226.67966598882902,2.0563215418818218e-23,0.74875286787684,0.013974040542399277,3,,0.3839497171522745,104.47707468562965
overall,Linear_basic,-202.36600587297514,1.0800573422192661e-28,0.7375640137924228,0.014596350135656617,3,,,128.79073480148352
overall,Linear_weber,-198.01509801570808,1.2264763459714612e-29,0.7264389633497017,0.015215111052882193,3,,,133.14164265875058
range:long,Seq_basic,-113.57115973887664,0.7044847463861923,0.5360286801608343,0.005357272682802119,3,,0.5706523827941625,0.0
range:long,SeqGain_basic,-111.58752904416681,0.2612953383281841,0.5361805530549877,0.005355519073317404,4,0.9757705092952366,0.5557795184343297,1.9836306947098308
range:long,Static_basic,-104.94143995107828,0.009417849630552552,0.4486239099305087,0.006366497106552788,3,,0.3995431790518517,8.629719787798365
range:long,Linear_basic,-104.94143995107756,0.00941784963054914,0.44862390993048906,0.006366497106553015,3,,,8.62971978779909
range:long,Seq_weber,-104.73071622651943,0.008476053253453245,0.5341424866304585,0.005379051729572215,3,,0.5353408218019466,8.840443512357211
range:long,StaticGain_basic,-102.9414399510794,0.0034646332591262924,0.44862390993050905,0.006366497106552784,4,1.5647475665625625,0.6162595802428137,10.629719787797242
range:long,SeqGain_weber,-102.7441748448633,0.003139219595014431,0.5333767284607109,0.005387893602224696,4,1.0225871477057664,0.5491950078095451,10.82698489401335
range:long,Static_weber,-96.35281950533323,0.0001285157984131143,0.4504328686557927,0.006345609856093773,3,,0.36027705829394546,17.218340233543415
range:long,Linear_weber,-96.35281950533243,0.00012851579841306315,0.45043287032505264,0.006345609836819563,3,,,17.21834023354421
range:long,StaticGain_weber,-94.35281950533295,4.72783201019115e-05,0.45043286595745435,0.006345609887250299,4,2.258515472417994,0.7167506931320645,19.2183402335437
range:medium,SeqGain_weber,-75.84088293829433,0.9087260404833238,0.5584278451020825,0.010551878864985416,4,1.8195342736443885,0.8641796980004037,0.0
range:medium,Seq_weber,-69.99100394664931,0.04876945366202859,0.4518248565399431,0.01309928093614447,3,,0.7327211145095112,5.849878991645014
