scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,StaticGain_weber,-377.907172877384,0.930952864736656,0.8349938372526213,0.005985608820711286,4,1.4107337282769765,0.9454933802717478,0.0
overall,Seq_basic,-371.2274243885957,0.03299428626404949,0.8694634216222572,0.004735222502928609,3,,0.9900990099009901,6.679748488788334
overall,SeqGain_basic,-370.6166751946496,0.02431175081237496,0.8706668272242627,0.0046915688898372864,4,1.0386130332788803,0.9900990099009901,7.29049768273444
overall,StaticGain_basic,-368.5044809538175,0.008455885312089751,0.8688327659996511,0.00475809957487944,4,1.0677159502274514,0.8511205295097094,9.402691923566522
overall,Static_basic,-366.6136179416384,0.0032852119798295457,0.8653858966800038,0.004883134973921514,3,,0.8410390006547085,11.293554935745647
overall,SeqGain_weber,-336.38187173043605,8.950001723353919e-10,0.8548075805567481,0.005266864049498947,4,1.3713590547944723,0.9900990099009901,41.52530114694798
overall,Static_weber,-295.6038918971751,1.250251276312464e-18,0.7887639695011457,0.007662600149921171,3,,0.9231056883581185,82.30328098020891
overall,Seq_weber,-279.7762026262919,4.571495017407722e-22,0.7941387273869299,0.007467630473184969,3,,0.9900990099009901,98.13097025109215
overall,Linear_basic,-214.91400998213905,3.7619418311195116e-36,0.6299112243875412,0.013424993363087978,3,,,162.99316289524498
overall,Linear_weber,-158.9389769979612,2.6338321907178223e-48,0.6073948092942301,0.014241777721619222,3,,,218.96819587942284
range:long,SeqGain_weber,-134.7019222279103,0.9886058269942046,0.6022858609078446,0.0038629974330021046,4,2.0544010840235223,0.9900990099009901,0.0
range:long,SeqGain_basic,-124.69571387277327,0.006640528259483162,0.5757792232679049,0.00412045640439884,4,1.7795044018508104,0.9798770877009576,10.006208355137034
range:long,Seq_weber,-123.9476385804362,0.004568358140454569,0.4531632784878087,0.005311425076047914,3,,0.9009879743743723,10.754283647474097
range:long,Seq_basic,-117.50419719815265,0.00018221520965606522,0.49016642290679924,0.004952013534306259,3,,0.9058914000755907,17.19772502975765
range:long,Static_weber,-107.56741556932855,1.2671846703392564e-06,0.26293536173267396,0.007159108831490538,3,,0.5483731652183336,27.134506658581756
range:long,Linear_weber,-107.56741556932838,1.2671846703391484e-06,0.26293535653899236,0.007159108881936767,3,,,27.134506658581927
range:long,StaticGain_weber,-105.56741556932872,4.661711883854638e-07,0.26293535598077966,0.0071591088873586865,4,2.06403472933904,0.7811922330395551,29.134506658581586
range:long,Linear_basic,-100.07561016637156,2.992368245502494e-08,0.2775443068059352,0.0070172121479939505,3,,,34.62631206153874
range:long,Static_basic,-100.07561016637135,2.9923682455021747e-08,0.27754430680593734,0.00701721214799393,3,,0.5668312497764146,34.626312061538954
range:long,StaticGain_basic,-98.07561016636727,1.1008307579322646e-08,0.2775443068058958,0.007017212147994334,4,0.6846578441706269,0.3673206923294925,36.62631206154303
range:medium,Static_weber,-198.75296165296254,0.3041775900481657,0.06840429396862968,0.001076924636172265,3,,0.9442503071157601,0.0
range:medium,Linear_weber,-198.75296165295936,0.3041775900476816,0.06840427376113323,0.0010769246595321309,3,,,3.183231456205249e-12
range:medium,SeqGain_weber,-197.31811937013984,0.14844144448068672,0.07782440687717207,0.00106603498564999,4,0.18551717176255306,0.9900990099009901,1.4348422828227
range:medium,StaticGain_weber,-196.75296165296368,0.11190068184385887,0.06840429616112453,0.001076924633637741,4,1.951124060906359,0.9714268974336608,1.9999999999988631
range:medium,Static_basic,-195.11202856924774,0.049261614477687794,0.09274174051571682,0.0010487905479638323,3,,0.9308933077620934,3.640933083714799
range:medium,Linear_basic,-195.11202856924555,0.049261614477633886,0.09274174051572748,0.00104879054796382,3,,,3.6409330837169875
range:medium,StaticGain_basic,-193.112028569237,0.018122335205157467,0.0927417405155716,0.001048790547964,4,1.4245258981572753,0.9514878937103105,5.6409330837255425
range:medium,SeqGain_basic,-192.68759196562243,0.014657129391330091,0.08500748767355293,0.0010577313442493737,4,0.19280779452086652,0.9873173048845357,6.065369687340109
range:medium,Seq_weber,-152.39084061007293,2.6044771141904585e-11,-1.2269329668061686,0.002574334509627933,3,,0.9900990099009901,46.36212104288961
range:medium,Seq_basic,-146.99402022361673,1.7531371337276144e-12,-1.3750821772853752,0.002745594996941896,3,,0.9900990099009901,51.75894142934581
range:short,Static_basic,-185.6900682453491,0.18271268976927832,0.007126131879696351,0.0012662716164459104,3,,0.9748488601694492,0.0
range:short,Linear_basic,-185.69006824534733,0.18271268976911734,0.00712613187962674,0.001266271616445999,3,,,1.7621459846850485e-12
range:short,Static_weber,-185.46387578854313,0.16317425672535812,-0.0050815114447542165,0.0012818407564361817,3,,0.9702919448835552,0.22619245680596123
range:short,Linear_weber,-185.46387578854186,0.16317425672525376,-0.0050815144548141955,0.0012818407602750916,3,,,0.2261924568072402
range:short,SeqGain_basic,-184.36683179295946,0.09428260344374234,0.020474408647638387,0.0012492477581871478,4,0.12442614775685176,0.987842786415754,1.3232364523896365
range:short,SeqGain_weber,-184.1930481226037,0.08643605192810687,0.01027793938074506,0.0012622519272313729,4,0.19758730165942934,0.9900990099009901,1.497020122745397
range:short,StaticGain_basic,-183.69006824534748,0.06721624220719877,0.00712613187967881,0.0012662716164459327,4,0.10004210076662644,0.748594202810068,2.00000000000162
range:short,StaticGain_weber,-183.4638757885432,0.06002845437769192,-0.005081508659071421,0.0012818407528834334,4,2.3367915436732565,0.9872868211704405,2.2261924568059044
range:short,Seq_weber,-172.6011266125738,0.00026274904639648464,-0.3074745799720209,0.0016675007803131164,3,,0.9900990099009901,13.088941632775288
range:short,Seq_basic,-151.22935316584773,6.007855939433499e-09,-0.9779533679294996,0.0025226026073225665,3,,0.9900990099009901,34.46071507950137
