scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Linear_weber,-350.78721902414276,0.5795713957619706,0.8951066094582019,0.005273763340631636,3,,,0.0
overall,StaticGain_weber,-348.7872190241432,0.21321240119191506,0.8951066101835545,0.005273763304162819,4,1.2630751200818169,0.0,1.9999999999995453
overall,SeqGain_weber,-346.69786837833215,0.07500940717239075,0.8924764410083246,0.005406001281258809,4,1.2657585971899241,0.009900990099009901,4.089350645810612
overall,Linear_basic,-345.8270367815371,0.04853075575490358,0.8884397363413583,0.005608956157439689,3,,,4.96018224260564
overall,Static_basic,-345.80972255950536,0.04811243296070063,0.8884268584036341,0.005609603626222251,3,,0.0,4.977496464637397
overall,StaticGain_basic,-343.8270367815378,0.017853467306747774,0.888439736341359,0.005608956157439654,4,1.0038217836355279,0.0,6.960182242604958
overall,Seq_basic,-343.1746769577335,0.012884407048937091,0.8864495393937096,0.005709018016904173,3,,0.009900990099009901,7.612542066409276
overall,SeqGain_basic,-341.21056650764035,0.004825732801850134,0.8864767046432372,0.005707652219723266,4,1.0055665440288206,0.009900990099009901,9.576652516502406
overall,Static_weber,-294.9482098643592,4.34330338668017e-13,0.8305314741524734,0.008520431024197212,3,,0.0,55.83900915978353
overall,Seq_weber,-292.8227679123554,1.5006738365264056e-13,0.8273520872780246,0.008680282220326409,3,,0.009900990099009901,57.964451111787355
range:long,Linear_basic,-133.06037507855166,0.5803671210355877,0.8958684248088047,0.003627960740713276,3,,,0.0
range:long,StaticGain_basic,-131.060375078552,0.21350513216088723,0.895868424808805,0.0036279607407132654,4,1.9605893479289473,0.24822159757468137,1.999999999999659
range:long,SeqGain_basic,-130.98945716928327,0.206067114849747,0.8957206241444158,0.00363311013950869,4,1.4847491978718106,0.009900990099009901,2.0709179092683883
range:long,Linear_weber,-113.54659380917676,3.3599981450433586e-05,0.9014938639074782,0.0034319695424452333,3,,,19.513781269374903
range:long,SeqGain_weber,-111.87279748857898,1.4550529061909396e-05,0.9019666049573959,0.0034154991686275327,4,1.8281804781060815,0.03304644614124355,21.187577589972676
range:long,StaticGain_weber,-111.54659380917788,1.2360742399363275e-05,0.901493864984942,0.0034319695049062236,4,2.628247292846708,0.3209093423835049,21.51378126937378
range:long,Static_basic,-101.24536110618054,7.164077838644704e-08,0.8032457427290797,0.006854949804000027,3,,0.0,31.81501397237112
range:long,Seq_basic,-100.48811494425445,4.905986864640285e-08,0.8002432356259352,0.006959557631874714,3,,0.009900990099009901,32.57226013429721
range:long,Static_weber,-74.67754125620236,1.2190780658828173e-13,0.7073439650515119,0.010196183082570922,3,,0.0,58.3828338223493
range:long,Seq_weber,-74.23022857893895,9.74762478690399e-14,0.703386524725679,0.01033406093671339,3,,0.009900990099009901,58.83014649961271
range:medium,Linear_weber,-132.71315169854364,0.6048406537055548,0.8877279571661925,0.0038814870283772453,3,,,0.0
range:medium,StaticGain_weber,-130.71315169854373,0.22250844168297887,0.887727960802194,0.003881486902672823,4,1.8834110270729068,0.2418503831210472,1.9999999999999147
range:medium,SeqGain_weber,-129.87815739276422,0.1465648346865919,0.8839334074837901,0.004012672807125209,4,1.4365374051228832,0.009900990099009901,2.834994305779418
range:medium,Linear_basic,-125.47478831682446,0.016212512978640122,0.8778696409210205,0.004222310314935934,3,,,7.238363381719182
range:medium,StaticGain_basic,-123.4747883168236,0.005964250214564342,0.877869640921017,0.004222310314936051,4,1.6404106791347772,0.2911912690694396,9.238363381720035
range:medium,SeqGain_basic,-122.12200029502452,0.003032505996590104,0.874520204729288,0.004338107558866297,4,1.1691333485821636,0.009900990099009901,10.59115140351912
range:medium,Static_basic,-118.88808041920547,0.0006019561970871506,0.8606730750985765,0.00481683274,3,,0.0,13.825071279338175
range:medium,Seq_basic,-117.31437402590659,0.0002740557310500465,0.8562181418358458,0.004970849405548445,3,,0.009900990099009901,15.398777672637053
range:medium,Static_weber,-104.67722642122482,4.939888570426162e-07,0.7713441736428256,0.007905125813752452,3,,0.0,28.035925277318825
range:medium,Seq_weber,-103.64491751508729,2.948180856372776e-07,0.7649066616299389,0.008127684509063888,3,,0.009900990099009901,29.068234183456354
range:short,Linear_weber,-163.0537881682556,0.5687842384537769,0.8733191599334056,0.002786635176388495,3,,,0.0
range:short,SeqGain_weber,-161.16987481564396,0.22174864077354878,0.8719059984069171,0.0028177209003035076,4,1.5131858424896174,0.014541075470052607,1.8839133526116427
range:short,StaticGain_weber,-161.0537881682567,0.20924402778961282,0.8733191623882838,0.002786635122387829,4,1.513192791156344,0.010229686147255765,1.99999999999892
range:short,Linear_basic,-146.19105111941988,0.00012395119786050767,0.8731642166567412,0.002790043508578834,3,,,16.862737048835726
range:short,StaticGain_basic,-144.19105111941906,4.5599097401435646e-05,0.8731642166567399,0.0027900435085788603,4,2.2366011088003277,0.4830383298912134,18.86273704883655
range:short,SeqGain_basic,-144.04848748300992,4.246185333523159e-05,0.8728020571843775,0.0027980100355186645,4,1.164579718710536,0.009900990099009901,19.005300685245686
range:short,Static_basic,-140.27088981498125,6.422498845719289e-06,0.8572212211595145,0.0031407462040000224,3,,0.0,22.782898353274362
range:short,Seq_basic,-139.62703630657268,4.654714216649445e-06,0.8553707601175735,0.0031814513321732994,3,,0.009900990099009901,23.42675186168293
range:short,Static_weber,-124.25056065782988,2.132719595470729e-09,0.7292176716117295,0.005956477404432019,3,,0.0,38.80322751042573
range:short,Seq_weber,-123.53154756906807,1.4886823893816829e-09,0.7234423656296531,0.006083518484958487,3,,0.009900990099009901,39.52224059918754
