scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Linear_basic,-128.91944409051092,0.5825721759145619,0.28066446382462706,0.02381737251409013,3,,,0.0
overall,StaticGain_basic,-126.91944409051086,0.2143163265174741,0.28066446382462695,0.023817372514090135,4,0.4578584909549489,0.0,2.000000000000057
overall,SeqGain_basic,-126.8020702705117,0.20210071755818843,0.28010136914655637,0.023836016714235755,4,0.45870096906665464,0.009900990099009901,2.117373819999216
overall,Linear_weber,-115.14604599890134,0.0005949690087715156,0.26576302312651634,0.024310762797560014,3,,,13.773398091609579
overall,StaticGain_weber,-113.14604599890163,0.00021887686646122328,0.26576303729270045,0.024310762328514254,4,0.5045165880325333,0.0,15.773398091609295
overall,SeqGain_weber,-112.93476582970422,0.0001969341154562365,0.2644443503152214,0.02435442437131988,4,0.5050874761862281,0.009900990099009901,15.984678260806703
overall,Static_basic,-79.78568234930736,1.2476389912439252e-11,0.0018672024949111243,0.03304841685301336,3,,0.47181815272462024,49.13376174120356
overall,Static_weber,-78.50099676365164,6.563311375392563e-12,0.08909529899964863,0.0301602736101612,3,,0.43293720967335153,50.41844732685928
overall,Seq_basic,-68.2539631760743,3.9084803870062627e-14,-0.07789404547491041,0.03568933094601989,3,,0.31041194355633045,60.66548091443663
overall,Seq_weber,-65.010409090276,7.721098917436584e-15,0.04392195369159324,0.03165597393191936,3,,0.14507166613139325,63.90903500023492
range:long,Static_basic,-25.73414179908766,0.3332199881138866,0.10017601891451533,0.031037475969434437,3,,0.509588490923576,0.0
range:long,Linear_basic,-25.734141799087602,0.33321998811387715,0.10017601891451222,0.031037475969434545,3,,,5.684341886080802e-14
range:long,StaticGain_basic,-23.734141799087816,0.12258478301450085,0.10017601891451589,0.031037475969434417,4,1.3307488304763977,0.631477082420714,1.9999999999998437
range:long,SeqGain_basic,-23.73378456904998,0.12256288948647837,0.10016959000845449,0.031037697720600853,4,0.4940366290438004,0.009900990099009901,2.000357230037679
range:long,Seq_basic,-23.062659753111497,0.08762460818460358,0.050791187602474475,0.03274089858021327,3,,0.9900990099009901,2.6714820459761626
range:long,Linear_weber,-11.102161382668811,0.00022153220359392403,0.052077863202940056,0.032696517496946596,3,,,14.631980416418848
range:long,Static_weber,-11.102161382668783,0.0002215322035939209,0.052077861361013,0.03269651756047987,3,,0.42228323206894314,14.631980416418877
range:long,Seq_weber,-10.647198552539848,0.00017645864668840391,-0.0077300423677939545,0.034759461440377136,3,,0.9900990099009901,15.086943246547811
range:long,SeqGain_weber,-9.226461161900083,8.672288951756035e-05,-0.0070143343237663025,0.03473477464419858,4,1.788645489131817,0.9900990099009901,16.507680637187576
range:long,StaticGain_weber,-9.10216138266886,8.149714325961298e-05,0.052077863367227195,0.032696517491279865,4,1.7811235992462693,0.6756446995659378,16.6319804164188
range:medium,Static_weber,-43.26558617875186,0.25084323601752234,0.11728786820712944,0.022860209679504407,3,,0.5982523345526445,0.0
range:medium,Linear_weber,-43.26558617875163,0.2508432360174938,0.11728786429894267,0.022860209780717435,3,,,2.2737367544323206e-13
range:medium,Static_basic,-41.589296307234626,0.10849273915996965,0.12721120917282835,0.02260321802047244,3,,0.6169136907717446,1.676289871517234
range:medium,Linear_basic,-41.589296307234214,0.10849273915994728,0.12721120917282103,0.022603218020472632,3,,,1.6762898715176462
range:medium,SeqGain_weber,-41.332280676877076,0.09540924059801516,0.11645151436512113,0.022881869316328175,4,0.4239849763134782,0.07120456233921617,1.9333055018747842
range:medium,StaticGain_weber,-41.265586178751846,0.09228006948776167,0.11728787299419141,0.022860209555530534,4,2.9006145974679023,0.8614956711699828,2.000000000000014
range:medium,SeqGain_basic,-39.754356728231464,0.04334595814030496,0.13008771629171245,0.022528723116059246,4,0.4177326655444843,0.1067197871575696,3.5112294505203963
range:medium,StaticGain_basic,-39.58929630723444,0.039912248253325004,0.12721120917282858,0.022603218020472434,4,1.6250106398849296,0.7642561297948185,3.676289871517419
range:medium,Seq_weber,-36.43219136411388,0.008232837899424162,0.0010077841396303189,0.025871595846741514,3,,0.49426575690056546,6.833394814637977
range:medium,Seq_basic,-33.74472040207537,0.002147695266235826,-0.021048285832079294,0.026442797222704265,3,,0.5296437383726852,9.520865776676487
range:short,Static_basic,-60.1598257576553,0.30492709680816016,0.36668956628387805,0.015590810924806141,3,,0.2073351149657599,0.0
range:short,Linear_basic,-60.15982575765523,0.3049270968081493,0.3666895662838775,0.015590810924806157,3,,,7.105427357601002e-14
range:short,StaticGain_basic,-58.1598257576554,0.11217640997182182,0.3666895662838784,0.015590810924806133,4,1.0077296678908425,0.21341514934841305,1.9999999999999005
range:short,Seq_basic,-58.036808654208784,0.10548451548122975,0.3392199304816963,0.01626705732019882,3,,0.009900990099009901,2.1230171034465144
range:short,SeqGain_basic,-57.90048883285537,0.0985342554491913,0.36339621719034976,0.015671886461056658,4,0.7949558260110708,0.009900990099009901,2.259336924799925
range:short,Static_weber,-55.32556488262095,0.027192529467832266,0.3288827200885285,0.01652153835216941,3,,0.3678715751249306,4.834260875034346
range:short,Linear_weber,-55.325564882620675,0.0271925294678285,0.32888271332843455,0.016521538518589132,3,,,4.834260875034623
range:short,StaticGain_weber,-53.32556488262101,0.010003572544664397,0.3288827267280525,0.016521538188717873,4,1.4739507279035449,0.5711332767168669,6.834260875034289
range:short,SeqGain_weber,-53.119620766169085,0.00902474478757752,0.32366868310633656,0.01664989730603553,4,0.6339096138045015,0.009900990099009901,7.040204991486213
range:short,Seq_weber,-47.477093900673424,0.000537249213545029,0.28780187506442356,0.017532864951739023,3,,0.009900990099009901,12.682731856981874
