scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Linear_weber,-316.7157509602126,0.5957771156511118,0.7086905959448992,0.006697143269873989,3,,,0.0
overall,StaticGain_weber,-314.7157509602123,0.21917415236843366,0.7086905960995138,0.006697143266319432,4,0.6685027106995383,0.0,2.000000000000284
overall,SeqGain_weber,-314.3638033979031,0.18380820483455804,0.7079782931751601,0.006713518964012473,4,0.6702974083453435,0.009900990099009901,2.3519475623094763
overall,Linear_basic,-303.3340059658831,0.0007400734306707249,0.7160708023884252,0.006527473842023343,3,,,13.381744994329495
overall,StaticGain_basic,-301.33400596588285,0.0002722578001009475,0.7160708023884275,0.006527473842023292,4,0.626176315738987,0.0,15.381744994329722
overall,SeqGain_basic,-300.98091621575963,0.00022819591512456973,0.7153589008313093,0.006543840312366162,4,0.6277854283467984,0.009900990099009901,15.73483474445294
overall,Static_weber,-245.6293746227591,2.182093354238679e-16,0.5883251353779081,0.009464320446238106,3,,0.2177606452572562,71.08637633745349
overall,Seq_weber,-239.80711293059122,1.1873677914346041e-17,0.5807401997197732,0.009638696556614883,3,,0.1655009717000908,76.90863802962136
overall,Static_basic,-225.73056438669764,1.0420812592703035e-20,0.5076923031133387,0.011318052671887083,3,,0.2501894963249361,90.98518657351494
overall,Seq_basic,-220.09978402562558,6.240123224405749e-22,0.4876343482721206,0.011779180927282818,3,,0.2053503676398007,96.615966934587
range:long,Static_basic,-85.89731219335948,0.2924498297130131,0.5643590801689562,0.008974819849447212,3,,0.09708890586959476,0.0
range:long,Linear_basic,-85.8973121933592,0.29244982971297157,0.5643590801689526,0.008974819849447284,3,,,2.8421709430404007e-13
range:long,Seq_basic,-85.01093800934588,0.18774901374443398,0.5564069470595467,0.009138645052330939,3,,0.009900990099009901,0.8863741840136043
range:long,StaticGain_basic,-83.89731219335958,0.10758627992551208,0.564359080168956,0.008974819849447214,4,1.2041590405580498,0.25017292847117295,1.9999999999999005
range:long,SeqGain_basic,-83.65780293817375,0.0954438867995652,0.5622244791007145,0.009018795654211688,4,0.9076700878805092,0.009900990099009901,2.2395092551857374
range:long,Linear_weber,-78.6109210947186,0.007652998870902295,0.5604405103596561,0.009055547936513942,3,,,7.286391098640877
range:long,Static_weber,-78.08526903727959,0.005884204465682641,0.5449802770311712,0.009374050635955913,3,,0.0,7.812043156079895
range:long,Seq_weber,-77.89387009966103,0.005347194777624559,0.5412765643850761,0.009450352361206414,3,,0.009900990099009901,8.003442093698453
range:long,StaticGain_weber,-76.61092109471889,0.0028153809479136154,0.5604405175617981,0.009055547788139615,4,3.200911747442007,0.6520951200467487,9.286391098640593
range:long,SeqGain_weber,-76.46812852275448,0.0026213810423810677,0.5576421567017185,0.009113197984550687,4,1.119779694202528,0.009900990099009901,9.429183670605
range:medium,Seq_weber,-130.09029735154002,0.43146642047539535,0.668519145767291,0.004336843571331548,3,,0.36577531956684384,0.0
range:medium,SeqGain_weber,-129.2430302409468,0.28246541879478304,0.6769706057674956,0.004226271091798471,4,0.8737167215964239,0.2524831981233867,0.8472671105932079
range:medium,Static_weber,-127.27373312025108,0.10552074528942029,0.6560081065441445,0.0045005285001373865,3,,0.27119148682067745,2.816564231288936
range:medium,Linear_weber,-127.27373312025077,0.10552074528940379,0.6560081119919118,0.004500528428862939,3,,,2.8165642312892487
range:medium,StaticGain_weber,-125.27373312025114,0.038818912809067144,0.6560081084606433,0.004500528475063372,4,1.1465943295709449,0.3643710775084646,4.816564231288879
range:medium,SeqGain_basic,-122.92977776882901,0.01202430352852644,0.6737363116452326,0.004268586138030626,4,0.7279834434367194,0.21932336740939268,7.160519582711004
range:medium,Linear_basic,-122.34295857440162,0.008966723161645726,0.6564123322080748,0.004495239918762027,3,,,7.7473387771383955
range:medium,Static_basic,-122.34295857440154,0.008966723161645344,0.6564123322080733,0.004495239918762046,3,,0.3814861626843917,7.747338777138481
range:medium,StaticGain_basic,-120.34295857439926,0.0032986731058413676,0.6564123322080666,0.004495239918762134,4,1.4209539366228117,0.5647192598147968,9.747338777140754
range:medium,Seq_basic,-120.12043278091353,0.002951334384271555,0.6407951587746222,0.00469956314691351,3,,0.5023087725586052,9.969864570626484
range:short,Static_weber,-121.17635689701684,0.35717102850327154,0.730964911294429,0.0035706057871975985,3,,0.24948315719009487,0.0
range:short,Linear_weber,-121.17635689700599,0.35717102850133264,0.7309649134149954,0.003570605759053661,3,,,1.0857093002414331e-11
range:short,SeqGain_weber,-119.32000088863174,0.14118014998115777,0.7363043927203461,0.0034997407436386215,4,0.766913037894263,0.028674715307231435,1.8563560083851058
range:short,StaticGain_weber,-119.17635689701672,0.13139587836840444,0.7309649123949296,0.0035706057725918687,4,2.0648344628525614,0.6365244389756439,2.000000000000128
range:short,Seq_weber,-113.09992656654975,0.006296535574078669,0.7113054342425169,0.003831524327127005,3,,0.18829734279289256,8.07643033046709
range:short,Seq_basic,-110.8906130683401,0.002086197068684912,0.7271628982275515,0.00362106571019467,3,,0.17909998104996375,10.285743828676743
range:short,Static_basic,-110.19881357201459,0.0014761584568391479,0.7226316692264726,0.0036812037114205124,3,,0.18332175953474172,10.977543325002259
range:short,Linear_basic,-110.19881357201378,0.00147615845683855,0.7226316692264665,0.0036812037114205922,3,,,10.977543325003069
range:short,SeqGain_basic,-109.790921674027,0.0012038167412099295,0.7329491736631792,0.003544270862889893,4,0.8980753884906956,0.1206906481792804,11.385435222989841
range:short,StaticGain_basic,-108.19881357201406,0.0005430483481823417,0.7226316692264644,0.003681203711420621,4,1.4971474638658695,0.45451043264509644,12.977543325002785
